A	'a	 a 
persuasiu	p e ɾ s u a z 'i w	 p e ɾ s u a s 'i w 
pervers	p e ɾ v 'ɛ ɾ s	 p e ɾ v 'e ɾ s 
pes	p 'e s	 p 'ɛ s 
pesa	p 'e z a	 p 'ɛ z a 
pesca	p 'e s k a	 p 'ɛ s k a 
pesco	p 'e s k o	 p 'ɛ s k o 
pesen	p 'e z e n	 p 'ɛ z e n 
peses	p 'e z e s	 p 'ɛ z e s 
peso	p 'e z o	 p 'ɛ z o 
pesos	p 'e z o s	 p 'ɛ z o s 
pesquen	p 'e s k e n	 p 'ɛ s k e n 
pessebre	p e s 'e β ɾ e	 p e s 'ɛ β ɾ e 
pessigolles	p e s i ɣ 'o ʎ e s	 p e s i ɣ 'ɔ ʎ e s 
pesta	p 'e s t a	 p 'ɛ s t a 
petitesa	p e t i t 'e z a	 p e t i t 'ɛ z a 
peto	p 'e t o	 p 'ɛ t o 
picarol	p i k a ɾ 'o l	 p i k a ɾ 'ɔ l 
pícnic	p 'i g n i k	 p 'i k n i k 
piemontesa	p i e m o n t 'e z a	 p i e m o n t 'ɛ z a 
piemontesos	p i e m o n t 'e z o s	 p i e m o n t 'ɛ z o s 
pigarg	p i ɣ 'a ɾ k	 p i ɣ 'a ɾ i 
pigmeu	p i g m 'e w	 p i g m 'ɛ w 
pinacoteca	p i n a k o t 'e k a	 p i n a k o t 'ɛ k a 
pineda	p i n 'e ð a	 p i n 'ɛ ð a 
piquem	p i k 'ɛ m	 p i k 'e m 
Pirineu	p i ɾ i n 'e w	 p i ɾ i n 'ɛ w 
Pirineus	p i ɾ i n 'e w s	 p i ɾ i n 'ɛ w s 
piulada	p i w l 'a ð a	 p i u l 'a ð a 
piular	p i w l 'a ɾ	 p i u l 'a ɾ 
pixa	p 'i ʃ a	 p 'i k s a 
plàncton	p l 'a ŋ k t o n	 p l a ŋ k t 'o n 
plataforma	p l a t a f 'o ɾ m a	 p l a t a f 'ɔ ɾ m a 
ple	p l 'e	 p l 'ɛ 
plebeu	p l e β 'e w	 p l e β 'ɛ w 
plec	p l 'e k	 p l 'ɛ k 
plega	p l 'e ɣ a	 p l 'ɛ ɣ a 
plego	p l 'e ɣ o	 p l 'ɛ ɣ o 
pleguen	p l 'e ɣ e n	 p l 'ɛ ɣ e n 
plens	p l 'e n s	 p l 'ɛ n s 
plomo	p l 'o m o	 p l 'ɔ m o 
plores	p l 'ɔ ɾ e s	 p l 'o ɾ e s 
plou	p l 'ɔ w	 p l 'o w 
plutoni	p l u t 'ɔ n i	 p l u t 'o n i 
poblen	p 'o β l e n	 p 'ɔ β l e n 
pobresa	p o β ɾ 'e z a	 p o β ɾ 'ɛ z a 
poden	p 'o ð e n	 p 'ɔ ð e n 
poesia	p o e z 'i a	 p o e s 'i a 
polla	p 'o ʎ a	 p 'ɔ ʎ a 
pol·luir	p o l w 'i ɾ	 p o l u 'i ɾ 
polonesa	p o l o n 'e z a	 p o l o n 'ɛ z a 
poloneses	p o l o n 'e z e s	 p o l o n 'ɛ z e s 
polonesos	p o l o n 'e z o s	 p o l o n 'ɛ z o s 
poloni	p o l 'ɔ n i	 p o l 'o n i 
polpa	p 'o l p a	 p 'ɔ l p a 
poltre	p 'o l t ɾ e	 p 'ɔ l t ɾ e 
polze	p 'o l z e	 p 'ɔ l z e 
pop	p 'o p	 p 'ɔ p 
popa	p 'o p a	 p 'ɔ p a 
popes	p 'o p e s	 p 'ɔ p e s 
porpra	p 'o ɾ p ɾ a	 p 'ɔ ɾ p ɾ a 
porro	p 'o r o	 p 'ɔ r o 
porros	p 'o r o s	 p 'ɔ r o s 
port	p 'ɔ ɾ t	 p 'o ɾ t 
portuguesa	p o ɾ t u ɣ 'e z a	 p o ɾ t u ɣ 'ɛ z a 
portugueses	p o ɾ t u ɣ 'e z e s	 p o ɾ t u ɣ 'ɛ z e s 
portuguesos	p o ɾ t u ɣ 'e z o s	 p o ɾ t u ɣ 'ɛ z o s 
post	p 'ɔ s t	 p 'o s t 
postludi	p o s l 'u ð i	 p o s t l 'u ð i 
postres	p 'o s t ɾ e s	 p 'ɔ s t ɾ e s 
pòstums	p 'ɔ s t u m s	 p o s t 'u m s 
pous	p 'o w s	 p o 'u s 
prec	p ɾ 'e k	 p ɾ 'ɛ k 
precoç	p ɾ e k 'ɔ s	 p ɾ e k 'o s 
precs	p ɾ 'e k s	 p ɾ 'ɛ k s 
prega	p ɾ 'e ɣ a	 p ɾ 'ɛ ɣ a 
prego	p ɾ 'e ɣ o	 p ɾ 'ɛ ɣ o 
premsa	p ɾ 'e m s a	 p ɾ 'ɛ m z a 
pren	p ɾ 'e n	 p ɾ 'ɛ n 
prenen	p ɾ 'e n e n	 p ɾ 'ɛ n e n 
prens	p ɾ 'e n s	 p ɾ 'ɛ n s 
preqüela	p ɾ e k w 'ɛ l a	 p ɾ e k 'ɛ l a 
pres	p ɾ 'e s	 p ɾ 'ɛ s 
presa	p ɾ 'e z a	 p ɾ 'ɛ z a 
preses	p ɾ 'e z e s	 p ɾ 'ɛ z e s 
presos	p ɾ 'e z o s	 p ɾ 'ɛ z o s 
pressupost	p ɾ e s u p 'ɔ s t	 p ɾ e s u p 'o s t 
presta	p ɾ 'e s t a	 p ɾ 'ɛ s t a 
presten	p ɾ 'e s t e n	 p ɾ 'ɛ s t e n 
prestes	p ɾ 'e s t e s	 p ɾ 'ɛ s t e s 
presto	p ɾ 'e s t o	 p ɾ 'ɛ s t o 
presumpció	p ɾ e z u m s i 'o	 p ɾ e z u m p s i 'o 
presumpta	p ɾ e z 'u m t a	 p ɾ e z 'u m p t a 
presumpte	p ɾ e z 'u m t e	 p ɾ e z 'u m p t e 
pretendre	p ɾ e t 'e n d ɾ e	 p ɾ e t 'ɛ n d ɾ e 
pretesa	p ɾ e t 'e z a	 p ɾ e t 'ɛ z a 
preteses	p ɾ e t 'e z e s	 p ɾ e t 'ɛ z e s 
pretesos	p ɾ e t 'e z o s	 p ɾ e t 'ɛ z o s 
preufetaire	p ɾ e w f e t 'a j ɾ e	 p ɾ e w f e t a 'i ɾ e 
preveure	p ɾ e v 'e w ɾ e	 p ɾ e v 'ɛ w ɾ e 
prínceps	p ɾ 'i n s e p s	 p ɾ i n s 'e p s 
princesa	p ɾ i n s 'e z a	 p ɾ i n s 'ɛ z a 
proa	p ɾ 'o a	 p ɾ 'ɔ a 
produir	p ɾ o ð w 'i ɾ	 p ɾ o ð u 'i ɾ 
prohom	p ɾ o 'o m	 p ɾ o 'ɛ m 
prolixa	p ɾ o l 'i ʃ a	 p ɾ o l 'i k s a 
prolixes	p ɾ o l 'i ʃ e s	 p ɾ o l 'i k s e s 
promesa	p ɾ o m 'e z a	 p ɾ o m 'ɛ z a 
promeses	p ɾ o m 'e z e s	 p ɾ o m 'ɛ z e s 
promesos	p ɾ o m 'e z o s	 p ɾ o m 'ɛ z o s 
Prometeu	p ɾ o m e t 'e w	 p ɾ o m e t 'ɛ w 
prometre	p ɾ o m 'e t ɾ e	 p ɾ o m 'ɛ t ɾ e 
prona	p ɾ 'ɔ n a	 p ɾ 'o n a 
prones	p ɾ 'ɔ n e s	 p ɾ 'o n e s 
prosseguida	p ɾ o s e ɣ 'i ð a	 p ɾ o s e ɣ u 'i ð a 
prosseguides	p ɾ o s e ɣ 'i ð e s	 p ɾ o s e ɣ u 'i ð e s 
proteic	p ɾ o t 'ɛ j k	 p ɾ o t 'ɛ i k 
protesta	p ɾ o t 'e s t a	 p ɾ o t 'ɛ s t a 
prou	p ɾ 'ɔ w	 p ɾ 'o w 
pruir	p ɾ w 'i ɾ	 p ɾ u 'i ɾ 
púlsar	p 'u l s a ɾ	 p u l s 'a ɾ 
puresa	p u ɾ 'e z a	 p u ɾ 'ɛ z a 
quaresma	k w a ɾ 'e z m a	 k w a ɾ 'ɛ z m a 
queixa	k 'e j ʃ a	 k 'ɛ j ʃ a 
qüestió	k w e s t i 'o	 k e s t i 'o 
qüestionada	k w e s t i o n 'a ð a	 k e s t i o n 'a ð a 
qüestionades	k w e s t i o n 'a ð e s	 k e s t i o n 'a ð e s 
qüestionar	k w e s t i o n 'a ɾ	 k e s t i o n 'a ɾ 
qüestionari	k w e s t i o n 'a ɾ i	 k e s t i o n 'a ɾ i 
qüestionat	k w e s t i o n 'a t	 k e s t i o n 'a t 
qüestionats	k w e s t i o n 'a t s	 k e s t i o n 'a t s 
quid	k 'i t	 k 'i ð 
quítxua	k 'i t ʃ u a	 k 'i t ʃ w a 
rai	r 'a j	 r 'a i 
rail	r 'a j l	 r 'a i l 
readmetre	r e a d m 'e t ɾ e	 r e a d m 'ɛ t ɾ e 
reben	r 'e β e n	 r 'ɛ β e n 
rebo	r 'e β o	 r 'ɛ β o 
rebost	r e β 'ɔ s t	 r e β 'o s t 
rebre	r 'e β ɾ e	 r 'ɛ β ɾ e 
rec	r 'e k	 r 'ɛ k 
reca	r 'e k a	 r 'ɛ k a 
recompte	r e k 'o m t e	 r e k 'ɔ m p t e 
reconstruir	r e k o n s t ɾ w 'i ɾ	 r e k o n s t ɾ u 'i ɾ 
recorre	r e k 'o r e	 r e k 'ɔ r e 
redempció	r e ð e m s i 'o	 r e ð e m p s i 'o 
reduir	r e ð w 'i ɾ	 r e ð u 'i ɾ 
refeu	r e f 'e w	 r e f 'ɛ w 
refluir	r e f l w 'i ɾ	 r e f l u 'i ɾ 
reforma	r e f 'o ɾ m a	 r e f 'ɔ ɾ m a 
refresc	r e f ɾ 'e s k	 r e f ɾ 'ɛ s k 
rega	r 'e ɣ a	 r 'ɛ ɣ a 
regla	r 'e ɣ l a	 r 'ɛ ɣ l a 
regles	r 'e ɣ l e s	 r 'ɛ ɣ l e s 
rei	r 'e j	 r i 
reialme	r e j 'a l m e	 r e i 'a l m e 
reietó	r e j e t 'o	 r e i e t 'o 
reina	r 'e j n a	 r e 'i n a 
reintroduir	r e i n t ɾ o ð w 'i ɾ	 r e i n t ɾ o ð u 'i ɾ 
reis	r 'e j s	 r 'ɛ i s 
reiteració	r e i t e ɾ a s i 'o	 r e j t e ɾ a s i 'o 
reiterada	r e i t e ɾ 'a ð a	 r e j t e ɾ 'a ð a 
reiterades	r e i t e ɾ 'a ð e s	 r e j t e ɾ 'a ð e s 
reiterar	r e i t e ɾ 'a ɾ	 r e j t e ɾ 'a ɾ 
reiterat	r e i t e ɾ 'a t	 r e j t e ɾ 'a t 
reiterats	r e i t e ɾ 'a t s	 r e j t e ɾ 'a t s 
reïx	r e 'i ʃ	 r e 'i t ʃ 
reixa	r 'e j ʃ a	 r 'ɛ j ʃ a 
relleu	r e ʎ 'e w	 r e ʎ 'ɛ w 
remei	r e m 'e j	 r e m 'ɛ i 
remeis	r e m 'e j s	 r e m 'ɛ i s 
remes	r 'e m e s	 r 'ɛ m e s 
remetre	r e m 'e t ɾ e	 r e m 'ɛ t ɾ e 
remo	r 'e m o	 r 'ɛ m o 
ren	r 'e n	 r 'ɛ n 
renda	r 'e n d a	 r 'ɛ n d a 
rendes	r 'e n d e s	 r 'ɛ n d e s 
renebot	r e n e β 'o t	 r e n e β 'ɔ t 
renec	r e n 'e k	 r e n 'ɛ k 
rengla	r 'e ŋ g l a	 r 'ɛ ŋ g l a 
rengle	r 'e ŋ g l e	 r 'ɛ ŋ g l e 
rengles	r 'e ŋ g l e s	 r 'ɛ ŋ g l e s 
renou	r e n 'ɔ w	 r e n 'o w 
renten	r 'e n t e n	 r 'ɛ n t e n 
renya	r 'e ɲ a	 r 'ɛ ɲ a 
renyen	r 'e ɲ e n	 r 'ɛ ɲ e n 
rep	r 'e p	 r 'ɛ p 
represa	r e p ɾ 'e z a	 r e p ɾ 'ɛ z a 
represes	r e p ɾ 'e z e s	 r e p ɾ 'ɛ z e s 
reproduir	r e p ɾ o ð w 'i ɾ	 r e p ɾ o ð u 'i ɾ 
repta	r 'e p t a	 r 'ɛ p t a 
repte	r 'e p t e	 r 'ɛ p t e 
reptes	r 'e p t e s	 r 'ɛ p t e s 
repto	r 'e p t o	 r 'ɛ p t o 
rere	r 'e ɾ e	 r 'ɛ ɾ e 
resa	r 'e z a	 r 'ɛ z a 
resclosa	r e s k l 'ɔ z a	 r e s k l 'o z a 
resen	r 'e z e n	 r 'ɛ z e n 
reso	r 'e z o	 r 'ɛ z o 
respatller	r e s p a l l 'e ɾ	 r e s p a t ʎ 'e ɾ 
respost	r e s p 'ɔ s t	 r e s p 'o s t 
ressec	r e s 'e k	 r e s 'ɛ k 
resseguida	r e s e ɣ 'i ð a	 r e s e ɣ u 'i ð a 
resseguides	r e s e ɣ 'i ð e s	 r e s e ɣ u 'i ð e s 
ressenya	r e s 'e ɲ a	 r e s 'ɛ ɲ a 
resta	r 'e s t a	 r s t a 
resten	r 'e s t e n	 r s t e n 
restes	r 'e s t e s	 r s t e s 
resto	r 'e s t o	 r s t o 
reten	r 'e t e n	 r 'ɛ t e n 
reto	r 'e t o	 r 'ɛ t o 
retre	r 'e t ɾ e	 r 'ɛ t ɾ e 
retreure	r e t ɾ 'e w ɾ e	 r e t ɾ 'ɛ w ɾ e 
reu	r 'e w	 r 'ɛ w 
reus	r 'e w s	 r 'ɛ w s 
Reus	r 'e w s	 r 'ɛ w s 
revetlla	r e v 'e l l a	 r e v 'ɛ l ʎ a 
reveure	r e v 'e w ɾ e	 r e v 'ɛ w ɾ e 
revolt	r e v 'ɔ l t	 r e v 'o l t 
Ribagorça	r i β a ɣ 'o ɾ s a	 r i β a ɣ 'ɔ ɾ s a 
riquesa	r i k 'e z a	 r i k 'ɛ z a 
roina	r 'ɔ j n a	 r 'ɔ i n a 
romanesa	r o m a n 'e z a	 r o m a n 'ɛ z a 
romanesos	r o m a n 'e z o s	 r o m a n 'ɛ z o s 
rombe	r 'o m b e	 r 'ɔ m b e 
rombes	r 'o m b e s	 r 'ɔ m b e s 
romesco	r o m 'e s k o	 r o m 'ɛ s k o 
romeu	r o m 'e w	 r o m 'ɛ w 
rompre	r 'o m p ɾ e	 r 'ɔ m p ɾ e 
ronca	r 'o ŋ k a	 r 'ɔ ŋ k a 
ronda	r 'o n d a	 r 'ɔ n d a 
rondes	r 'o n d e s	 r 'ɔ n d e s 
roquerol	r o k e ɾ 'o l	 r o k e ɾ 'ɔ l 
rosca	r 'o s k a	 r 'ɔ s k a 
rosques	r 'o s k e s	 r 'ɔ s k e s 
rossos	r 'o s o s	 r 'ɔ s o s 
rot	r 'o t	 r 'ɔ t 
rotonda	r o t 'o n d a	 r o t 'ɔ n d a 
roure	r 'o w ɾ e	 r 'ɔ w ɾ e 
rouró	r o w ɾ 'o	 r o u ɾ 'o 
rovellol	r o v e ʎ 'o l	 r o v e ʎ 'ɔ l 
ruandesa	r u a n d 'e z a	 r u a n d 'ɛ z a 
ruandesos	r u a n d 'e z o s	 r u a n d 'ɛ z o s 
rugbi	r 'u g b i	 r 'u g β i 
ruixada	r u j ʃ 'a ð a	 r i ʃ 'a ð a 
ruixades	r u j ʃ 'a ð e s	 r i ʃ 'a ð e s 
ruixar	r u j ʃ 'a ɾ	 r i ʃ 'a ɾ 
ruixat	r u j ʃ 'a t	 r i ʃ 'a t 
ruixats	r u j ʃ 'a t s	 r i ʃ 'a t s 
ruixim	r u j ʃ 'i m	 r i ʃ 'i m 
rumb	r 'u m p	 r 'u m b 
sa	s 'a	 s a 
saharià	s a a ɾ i 'a	 s a w a ɾ i 'a 
sahrauí	s a ɾ a w 'i	 s a r a w 'i 
sainet	s a j n 'e t	 s a i n 'e t 
sanefa	s a n 'e f a	 s a n 'ɛ f a 
sanglot	s a ŋ g l 'o t	 s a ŋ g l 'ɔ t 
sanguinyol	s a ŋ g i ɲ 'o l	 s a ŋ g i ɲ 'ɔ l 
sauna	s 'a w n a	 s a 'u n a 
saviesa	s a v i 'e z a	 s a v i 'ɛ z a 
sec	s 'e k	 s 'ɛ k 
seca	s 'e k a	 s 'ɛ k a 
secs	s 'e k s	 s 'ɛ k s 
seda	s 'e ð a	 s 'ɛ ð a 
sedes	s 'e ð e s	 s 'ɛ ð e s 
seduir	s e ð w 'i ɾ	 s e ð u 'i ɾ 
sega	s 'e ɣ a	 s 'ɛ ɣ a 
segle	s 'e ɣ l e	 s 'ɛ ɣ l e 
segles	s 'e ɣ l e s	 s 'ɛ ɣ l e s 
segrest	s e ɣ ɾ 'e s t	 s e ɣ ɾ 'ɛ s t 
seguici	s e ɣ 'i s i	 s e ɣ u 'i s i 
seguida	s e ɣ 'i ð a	 s e ɣ u 'i ð a 
seguides	s e ɣ 'i ð e s	 s e ɣ u 'i ð e s 
seient	s e j 'e n t	 s e i 'e n t 
seitó	s e j t 'o	 s e i t 'o 
sembla	s 'e m b l a	 s 'ɛ m b l a 
semblen	s 'e m b l e n	 s 'ɛ m b l e n 
sembles	s 'e m b l e s	 s 'ɛ m b l e s 
semblo	s 'e m b l o	 s 'ɛ m b l o 
sembra	s 'e m b ɾ a	 s 'ɛ m b ɾ a 
sembren	s 'e m b ɾ e n	 s 'ɛ m b ɾ e n 
semen	s 'e m e n	 s 'ɛ m e n 
semestre	s e m 'e s t ɾ e	 s e m 'ɛ s t ɾ e 
seminoma	s e m i n 'ɔ m a	 s e m i n 'o m a 
seminomes	s e m i n 'ɔ m e s	 s e m i n 'o m e s 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
senda	s 'e n d a	 s 'ɛ n d a 
senegalesa	s e n e ɣ a l 'e z a	 s e n e ɣ a l 'ɛ z a 
senegalesos	s e n e ɣ a l 'e z o s	 s e n e ɣ a l 'ɛ z o s 
sengles	s 'e ŋ g l e s	 s 'ɛ ŋ g l e s 
sénia	s 'e n i a	 s e n 'i a 
sens	s 'e n s	 s 'ɛ n s 
sense	s 'e n s e	 s 'ɛ n s e 
senten	s 'e n t e n	 s 'ɛ n t e n 
sento	s 'e n t o	 s 'ɛ n t o 
seny	s 'e ɲ	 s 'ɛ ɲ 
senyes	s 'e ɲ e s	 s 'ɛ ɲ e s 
senzillesa	s e n z i ʎ 'e z a	 s e n z i ʎ 'ɛ z a 
sépia	s 'e p i a	 s e p 'i a 
seques	s 'e k e s	 s 'ɛ k e s 
serp	s 'e ɾ p	 s 'ɛ ɾ p 
servei	s e ɾ v 'e j	 s e ɾ v 'ɛ i 
ses	s 'e s	 s e s 
sèsam	s 'ɛ z a m	 s e z 'a m 
setembre	s e t 'e m b ɾ e	 s e t 'ɛ m b ɾ e 
setze	s 'e d z e	 s 'ɛ d z e 
seu	s 'e w	 s 'ɛ w 
seua	s 'e w a	 s 'ɛ w a 
seure	s 'e w ɾ e	 s 'ɛ w ɾ e 
seus	s 'e w s	 s 'ɛ w s 
seva	s 'e v a	 s 'ɛ v a 
severs	s e v 'ɛ ɾ s	 s e v 'e ɾ s 
seves	s 'e v e s	 s 'ɛ v e s 
si	s 'i	 s i 
siameses	s i a m 'e z e s	 s i a m 'ɛ z e s 
siamesos	s i a m 'e z o s	 s i a m 'ɛ z o s 
síl·laba	s 'i l a β a	 s i l 'a β a 
simptomàtic	s i m t o m 'a t i k	 s i m p t o m 'a t i k 
simptomàtica	s i m t o m 'a t i k a	 s i m p t o m 'a t i k a 
simptomàtics	s i m t o m 'a t i k s	 s i m p t o m 'a t i k s 
sinagoga	s i n a ɣ 'o ɣ a	 s i n a ɣ 'ɔ ɣ a 
síndria	s 'i n d ɾ i a	 s i n d ɾ 'i a 
síndrome	s 'i n d ɾ o m e	 s i n d ɾ 'ɔ m e 
singlot	s i ŋ g l 'o t	 s i ŋ g l 'ɔ t 
sobra	s 'o β ɾ a	 s 'ɔ β ɾ a 
sobre	s 'o β ɾ e	 s 'ɔ β ɾ e 
sobta	s 'o p t a	 s 'ɔ p t a 
socs	s 'o k s	 s 'ɔ k s 
sofre	s 'o f ɾ e	 s 'ɔ f ɾ e 
solemne	s o l 'e m n e	 s o l 'ɛ m n e 
soler	s o l 'ɛ ɾ	 s o l 'e ɾ 
sòlids	s 'ɔ l i t s	 s o l i 'a s 
solos	s 'o l o s	 s 'ɔ l o s 
solquen	s 'o l k e n	 s 'ɔ l k e n 
sonda	s 'o n d a	 s 'ɔ n d a 
sondes	s 'o n d e s	 s 'ɔ n d e s 
sones	s 'ɔ n e s	 s 'o n e s 
soni	s 'ɔ n i	 s 'o n i 
sonin	s 'ɔ n i n	 s 'o n i n 
sonis	s 'ɔ n i s	 s 'o n i s 
sopa	s 'o p a	 s 'ɔ p a 
sopen	s 'o p e n	 s 'ɔ p e n 
sopes	s 'o p e s	 s 'ɔ p e s 
sorda	s 'o ɾ ð a	 s 'ɔ ɾ ð a 
sordes	s 'o ɾ ð e s	 s 'ɔ ɾ ð e s 
sordesa	s o ɾ ð 'e z a	 s o ɾ ð 'ɛ z a 
sorna	s 'o ɾ n a	 s 'ɔ ɾ n a 
sorpresa	s o ɾ p ɾ 'e z a	 s o ɾ p ɾ 'ɛ z a 
sorpreses	s o ɾ p ɾ 'e z e s	 s o ɾ p ɾ 'ɛ z e s 
sorpresos	s o ɾ p ɾ 'e z o s	 s o ɾ p ɾ 'ɛ z o s 
sort	s 'ɔ ɾ t	 s 'o ɾ t 
sostre	s 'o s t ɾ e	 s 'ɔ s t ɾ e 
sostres	s 'o s t ɾ e s	 s 'ɔ s t ɾ e s 
sostreure	s o s t ɾ 'e w ɾ e	 s o s t ɾ 'ɛ w ɾ e 
sota	s 'o t a	 s 'ɔ t a 
sotmesa	s o d m 'e z a	 s o d m 'ɛ z a 
sotmeses	s o d m 'e z e s	 s o d m 'ɛ z e s 
sotmesos	s o d m 'e z o s	 s o d m 'ɛ z o s 
sotmetre	s o d m 'e t ɾ e	 s o d m 'ɛ t ɾ e 
sous	s 'ɔ w s	 s o 'u s 
subduir	s u b d w 'i ɾ	 s u b d u 'i ɾ 
subhasta	s u β 'a s t a	 s u β u 'a s t a 
subsaharià	s u p s a a ɾ i 'a	 s u p s a w a ɾ i 'a 
suec	s u 'e k	 s u 'ɛ k 
sueca	s u 'e k a	 s u 'ɛ k a 
supero	s u p 'e ɾ o	 s u p 'ɛ ɾ o 
suport	s u p 'ɔ ɾ t	 s u p 'o ɾ t 
suspendre	s u s p 'e n d ɾ e	 s u s p 'ɛ n d ɾ e 
t'estimo	t a s t 'i m o	 t e s t 'i m o 
tabloide	t a β l 'ɔ j ð e	 t 'a β l 'ɔ 'i ð e 
tailandesa	t a j l a n d 'e z a	 t 'a j l 'a n d 'ɛ z a 
Tailàndia	t a j l 'a n d i a	 t a i l 'a n d i a 
tallarol	t a ʎ a ɾ 'o l	 t a ʎ a ɾ 'ɔ l 
tanmateix	t a m m a t 'e j ʃ	 t a n m a t 'e j ʃ 
tàrtar	t 'a ɾ t a ɾ	 t a ɾ t 'a ɾ 
Tàrtar	t 'a ɾ t a ɾ	 t a ɾ t 'a ɾ 
te	t 'e	 t e 
tecla	t 'e k l a	 t 'ɛ k l a 
tecles	t 'e k l e s	 t 'ɛ k l e s 
tecnicisme	t e g n i s 'i z m e	 t e k n i s 'i z m e 
tecnoestructura	t e g n o e s t ɾ u k t 'u ɾ a	 t e k n o e s t ɾ u k t 'u ɾ a 
teia	t 'e j a	 t 'ɛ j a 
telefoni	t e l e f 'ɔ n i	 t e l e f 'o n i 
telèfons	t e l 'ɛ f o n s	 t e l e f 'o n s 
telègraf	t e l 'ɛ ɣ ɾ a f	 t e l e ɣ ɾ 'a f 
temen	t 'e m e n	 t 'ɛ m e n 
temes	t 'e m e s	 t 'ɛ m e s 
temo	t 'e m o	 t 'ɛ m o 
tempesta	t e m p 'e s t a	 t e m p 'ɛ s t a 
templa	t 'e m p l a	 t 'ɛ m p l a 
temple	t 'e m p l e	 t 'ɛ m p l e 
temples	t 'e m p l e s	 t 'ɛ m p l e s 
temps	t 'e m s	 t 'ɛ m p s 
tempteig	t e m t 'e t ʃ	 t e m p t 'e t ʃ 
tenda	t 'e n d a	 t 'ɛ n d a 
tendes	t 'e n d e s	 t 'ɛ n d e s 
tenebra	t e n 'e β ɾ a	 t e n 'ɛ β ɾ a 
tenebres	t e n 'e β ɾ e s	 t e n 'ɛ β ɾ e s 
tenen	t 'e n e n	 t 'ɛ n e n 
tens	t 'e n s	 t 'ɛ n s 
tensa	t 'e n s a	 t 'ɛ n s a 
tenses	t 'e n s e s	 t 'ɛ n s e s 
tensos	t 'e n s o s	 t 'ɛ n s o s 
téntol	t 'e n t o l	 t e n t 'ɔ l 
Teresa	t e ɾ 'e z a	 t e ɾ 'ɛ z a 
terreny	t e r 'e ɲ	 t e r 'ɛ ɲ 
terrestre	t e r 'e s t ɾ e	 t e r 'ɛ s t ɾ e 
terrestres	t e r 'e s t ɾ e s	 t e r 'ɛ s t ɾ e s 
tes	t 'e s	 t e s 
Teseu	t e z 'ɛ w	 t e s 'ɛ w 
test	t 'e s t	 t 'ɛ s t 
testa	t 'e s t a	 t 'ɛ s t a 
testimoni	t e s t i m 'ɔ n i	 t e s t i m 'o n i 
testos	t 'e s t o s	 t 'ɛ s t o s 
tètan	t 'ɛ t a n	 t e t 'a n 
tètanus	t 'ɛ t a n u s	 t e t a n 'u s 
teu	t 'e w	 t 'ɛ w 
teula	t 'e w l a	 t 'ɛ w l a 
teus	t 'e w s	 t 'ɛ w s 
teva	t 'e v a	 t 'ɛ v a 
teves	t 'e v e s	 t 'ɛ v e s 
Texas	t 'ɛ k s a s	 t e k s 'a s 
Tirol	t i ɾ 'o l	 t i ɾ 'ɔ l 
titllada	t i l l 'a ð a	 t i t e l 'a ð a 
titllades	t i l l 'a ð e s	 t i t e l 'a ð e s 
titllar	t i l l 'a ɾ	 t i t a l 'a ɾ 
titllat	t i l l 'a t	 t i t u l 'a t 
titllats	t i l l 'a t s	 t i t u l 'a t s 
tomb	t 'o m p	 t 'o m b 
tomba	t 'o m b a	 t 'ɔ m b a 
tomben	t 'o m b e n	 t 'ɔ m b e n 
tombes	t 'o m b e s	 t 'ɔ m b e s 
tonya	t 'ɔ ɲ a	 t 'o ɲ a 
topa	t 'o p a	 t 'ɔ p a 
topants	t o p 'a n s	 t o p 'a n t s 
topen	t 'o p e n	 t 'ɔ p e n 
topo	t 'o p o	 t 'ɔ p o 
torna	t 'o ɾ n a	 t 'ɔ ɾ n a 
tornen	t 'o ɾ n e n	 t 'ɔ ɾ n e n 
tornes	t 'o ɾ n e s	 t 'ɔ ɾ n e s 
torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
torpede	t o ɾ p 'e ð e	 t o ɾ p 'ɛ ð e 
torra	t 'ɔ r a	 t 'o r a 
torre	t 'o r e	 t 'ɔ r e 
tort	t 'ɔ ɾ t	 t 'o ɾ t 
tosca	t 'o s k a	 t 'ɔ s k a 
tot	t 'o t	 t 'ɔ t 
tota	t 'o t a	 t 'ɔ t a 
totes	t 'o t e s	 t 'ɔ t e s 
totxo	t 'o t ʃ o	 t 'ɔ t ʃ o 
tova	t 'o v a	 t 'ɔ v a 
toves	t 'o v e s	 t 'ɔ v e s 
traduir	t ɾ a ð w 'i ɾ	 t ɾ a ð u 'i ɾ 
trametre	t ɾ a m 'e t ɾ e	 t ɾ a m 'ɛ t ɾ e 
transmesa	t ɾ a n z m 'e z a	 t ɾ a n z m 'ɛ z a 
transmeses	t ɾ a n z m 'e z e s	 t ɾ a n z m 'ɛ z e s 
transmesos	t ɾ a n z m 'e z o s	 t ɾ a n z m 'ɛ z o s 
transmetre	t ɾ a n z m 'e t ɾ e	 t ɾ a n z m 'ɛ t ɾ e 
trapezoide	t ɾ a p e z 'ɔ j ð e	 t ɾ 'a p e z 'ɔ 'i ð e 
trec	t ɾ 'e k	 t ɾ 'ɛ k 
tren	t ɾ 'e n	 t ɾ 'ɛ n 
trenquen	t ɾ 'e ŋ k e n	 t ɾ 'ɛ ŋ k e n 
