Aaró	a a ɾ 'o
donarem	d o n a ɾ 'e m
donar-hi	d o n 'a ɾ i
donant-nos	d o n 'a n n o s
donant-los	d o n 'a n l o s
donant-li	d o n 'a n l i
donades	d o n 'a ð e s
dominants	d o m i n 'a n s
domina	d o m 'i n a
domesticar	d o m e s t i k 'a
dolorós	d o l o ɾ 'o s
dolentot	d o l e n t 'ɔ t
dogmàtics	d o g m 'a t i k s
dodecàedres	d o ð e k 'a e ð ɾ e s
documents	d o k u m 'e n s
doctoral	d o k t o ɾ 'a l
doctora	d o k t 'o ɾ a
doctor	d o k t 'o
docent	d o s 'e n
doblatge	d o β l 'a dʒ e
dobla	d 'o β l a
divuitena	d i β u j t 'e n a
divisibilitat	d i β i z i β i l i t 'a t
divises	d i β 'i z e s
divina	d i β 'i n a
dividits	d i β i ð 'i t s
dividint	d i β i ð 'i n
diuen	d 'i w e n
districte	d i s t ɾ 'i k t e
distribuïts	d i s t ɾ i β u 'i t s
distribuir	d i s t ɾ i β u 'i
distribueixin	d i s t ɾ i β u 'e j ʃ i n
distreuen	d i s t ɾ 'e w e n
distragué	d i s t ɾ a ɣ 'e
distintes	d i s t 'i n t e s
distingint	d i s t i n dʒ 'i n
distaven	d i s t 'a β e n
distant	d i s t 'a n
dissimula	d i s i m 'u l a
dissetena	d i s e t 'e n a
dissenyar	d i s e ɲ 'a
disputes	d i s p 'u t e s
disputar	d i s p u t 'a
disposo	d i s p 'o z o
disposaves	d i s p o z 'a β e s
disposaven	d i s p o z 'a β e n
disposada	d i s p o z 'a ð a
disponibilitat	d i s p o n i β i l i t 'a t
disparada	d i s p a ɾ 'a ð a
disminuïts	d i z m i n u 'i t s
disgustos	d i z ɣ 'u s t o s
disgust	d i z ɣ 'u s t
disfressada	d i s f ɾ e s 'a ð a
disfressa	d i s f ɾ 'e s a
discretes	d i s k ɾ 'e t e s
discrepo	d i s k ɾ 'e p o
discapacitat	d i s k a p a s i t 'a t
disc	d 'i s k
dirà	d i ɾ 'a
dirigides	d i ɾ i ʒ 'i ð e s
dirigent	d i ɾ i ʒ 'e n
dirigeixi's	d i ɾ i ʒ 'e j ʃ i s
diries	d i ɾ 'i e s
directiva	d i ɾ e k t 'i β a
directes	d i ɾ 'ɛ k t e s
diputats	d i p u t 'a t s
dipositen	d i p o z 'i t e n
dipositaren	d i p o z i t 'a ɾ e n
diplomatura	d i p l o m a t 'u ɾ a
dinovena	d i n o β 'e n a
dinat	d i n 'a t
diminut	d i m i n 'u t
digueren	d i ɣ 'e ɾ e n
dignes	d 'i g n e s
digna	d 'i g n a
difosa	d i f 'o z a
dificultat	d i f i k u l t 'a t
dificulta	d i f i k 'u l t a
diferent	d i f e ɾ 'e n
diferencio	d i f e ɾ e n s 'i o
diferencien	d i f e ɾ e n s 'i e n
diferencia	d i f e ɾ e n s 'i a
difereix	d i f e ɾ 'e j ʃ
didàctic	d i ð 'a k t i k
dicti	d 'i k t i
dictamen	d i k t 'a m e n
dictadura	d i k t a ð 'u ɾ a
dibuixi	d i β 'u j ʃ i
dibuixats	d i β u j ʃ 'a t s
dibuixat	d i β u j ʃ 'a t
dibuixant-me	d i β u j ʃ 'a m m e
dibuix	d i β 'u j ʃ
devorava	d e β o ɾ 'a β a
devorat	d e β o ɾ 'a t
devien	d e β 'i e n
devastador	d e β a s t a ð 'o
detinguts	d e t i ŋ g 'u t s
detingui	d e t 'i ŋ g i
detesto	d e t 'e s t o
deteniment	d e t e n i m 'e n
detecta	d e t 'ɛ k t a
detallades	d e t a ʎ 'a ð e s
desànim	d e z 'a n i m
destruït	d e s t ɾ u 'i t
destruïda	d e s t ɾ u 'i ð a
destruir	d e s t ɾ u 'i
destrueix	d e s t ɾ u 'e j ʃ
destrossa	d e s t ɾ 'ɔ s a
destresa	d e s t ɾ 'e z a
destinades	d e s t i n 'a ð e s
destapar	d e s t a p 'a
destacables	d e s t a k 'a β l e s
desqualificada	d e s k w a l i f i k 'a ð a
despreniments	d e s p ɾ e n i m 'e n s
desplom	d e s p l 'o m
desplegables	d e s p l e ɣ 'a β l e s
desplegable	d e s p l e ɣ 'a β l e
desplacen	d e s p l 'a s e n
despentinat	d e s p e n t i n 'a t
desmuntava	d e z m u n t 'a β a
desmesurada	d e z m e z u ɾ 'a ð a
deslocalitzar	d e z l o k a l i d z 'a
deslluïts	d e z ʎ u 'i t s
desitjat	d e z i dʒ 'a t
desitjaria	d e z i dʒ a ɾ 'i a
desitgi	d e z 'i dʒ i
desitges	d e z 'i dʒ e s
desitgem	d e z i dʒ 'e m
desinteressats	d e z i n t e ɾ e s 'a t s
desigs	d e z 'i tʃ s
designar	d e z i g n 'a
desglossar	d e z ɣ l o s 'a
desglossa	d e z ɣ l 'ɔ s a
desglaç	d e z ɣ l 'a s
desgana	d e z ɣ 'a n a
desfà	d e s f 'a
desfilat	d e s f i l 'a t
desdoblat	d e z ð o β l 'a t
desdibuixats	d e z ð i β u j ʃ 'a t s
descrit	d e s k ɾ 'i t
descobríssim	d e s k o β ɾ 'i s i m
descobrint	d e s k o β ɾ 'i n
descobridors	d e s k o β ɾ i ð 'o s
descobridor	d e s k o β ɾ i ð 'o
descobreixin	d e s k o β ɾ 'e j ʃ i n
descarreguen	d e s k a r 'e ɣ e n
descansen	d e s k 'a n s e n
descansava	d e s k a n s 'a β a
descansant	d e s k a n s 'a n
descansada	d e s k a n s 'a ð a
descalços	d e s k 'a l s o s
descafeïnat	d e s k a f e i n 'a t
desbocades	d e z β o k 'a ð e s
desava	d e z 'a β a
desar-hi	d e z 'a ɾ i
desar	d e z 'a
desapareixeria	d e z a p a ɾ e j ʃ e ɾ 'i a
desapareixent	d e z a p a ɾ e j ʃ 'e n
desant	d e z 'a n
desallotjat	d e z a ʎ o dʒ 'a t
desagradables	d e z a ɣ ɾ a ð 'a β l e s
desactivat	d e z a k t i β 'a t
desaconsellada	d e z a k o n s e ʎ 'a ð a
derrota	d e r 'ɔ t a
derrapat	d e r a p 'a t
derivin	d e ɾ 'i β i n
depurador	d e p u ɾ a ð 'o
deposar	d e p o z 'a
depilar	d e p i l 'a
depenent	d e p e n 'e n
dependrà	d e p e n d ɾ 'a
dentifrici	d e n t i f ɾ 'i s i
dent	d 'e n
denegada	d e n e ɣ 'a ð a
demostrarà	d e m o s t ɾ a ɾ 'a
demostraria	d e m o s t ɾ a ɾ 'i a
demores	d e m 'o ɾ e s
demolir	d e m o l 'i
democràtica	d e m o k ɾ 'a t i k a
dematí	d e m a t 'i
demano	d e m 'a n o
demanes	d e m 'a n e s
demandar	d e m a n d 'a
demanarà	d e m a n a ɾ 'a
demanaren	d e m a n 'a ɾ e n
demanarem	d e m a n a ɾ 'e m
demanant	d e m a n 'a n
demanada	d e m a n 'a ð a
deltaic	d e l t 'a j k
delinqüents	d e l i ŋ k w 'e n s
delimiten	d e l i m 'i t e n
delimitada	d e l i m i t 'a ð a
delia	d e l 'i a
delerosa	d e l e ɾ 'o z a
delator	d e l a t 'o
deixis	d 'e j ʃ i s
deixi'm	d 'e j ʃ i m
deixessin	d e j ʃ 'e s i n
deixes	d 'e j ʃ e s
deixaries	d e j ʃ a ɾ 'i e s
deixant-me	d e j ʃ 'a m m e
deixa't	d 'e j ʃ a t
deixa'm	d 'e j ʃ a m
degraden	d e ɣ ɾ 'a ð e n
degenera	d e ʒ e n 'e ɾ a
definia	d e f i n 'i a
defensors	d e f e n s 'o s
defenses	d e f 'e n s e s
deessa	d e 'e s a
dedicaré	d e ð i k a ɾ 'e
dedicarà	d e ð i k a ɾ 'a
dedicar-hi	d e ð i k 'a ɾ i
decrets	d e k ɾ 'e t s
decreixement	d e k ɾ e j ʃ e m 'e n
decora	d e k 'o ɾ a
decidís	d e s i ð 'i s
decidits	d e s i ð 'i t s
decidiren	d e s i ð 'i ɾ e n
decidiran	d e s i ð i ɾ 'a n
decideixi	d e s i ð 'e j ʃ i
decibels	d e s i β 'ɛ l s
decep	d e s 'e p
decebuda	d e s e β 'u ð a
decanta	d e k 'a n t a
debutant	d e β u t 'a n
debilitat	d e β i l i t 'a t
debatut	d e β a t 'u t
datava	d a t 'a β a
datats	d a t 'a t s
darrers	d a r 'e s
danyar	d a ɲ 'a
danya	d 'a ɲ a
danesos	d a n 'e z o s
damisel·la	d a m i z 'ɛ l a
dames	d 'a m e s
dama	d 'a m a
daga	d 'a ɣ a
d'òptic	d 'ɔ p t i k
d'índexs	d 'i n d e k s s
d'àrab	d 'a ɾ a p
d'àmbit	d 'a m b i t
d'Àvila	d 'a β i l a
d'utilitzats	d u t i l i d z 'a t s
d'usos	d 'u z o s
d'usar	d u z 'a
d'unça	d 'u n s a
d'orina	d o ɾ 'i n a
d'or	d 'ɔ r
d'olor	d o l 'o
d'inventar	d i m b e n t 'a
d'intestí	d i n t e s t 'i
d'intentar	d i n t e n t 'a
d'intensitat	d i n t e n s i t 'a t
d'instituts	d i n s t i t 'u t s
d'insomni	d i n s 'ɔ m n i
d'insofrible	d i n s o f ɾ 'i β l e
d'insectes	d i n s 'ɛ k t e s
d'ingressar	d i ŋ g ɾ e s 'a
d'indesitjables	d i n d e z i dʒ 'a β l e s
d'incívica	d i n s 'i β i k a
d'incredulitat	d i ŋ k ɾ e ð u l i t 'a t
d'imprimir	d i m p ɾ i m 'i
d'imprevisible	d i m p ɾ e β i z 'i β l e
d'impedir	d i m p e ð 'i
d'immobles	d i m m 'ɔ β l e s
d'identitats	d i ð e n t i t 'a t s
d'humans	d u m 'a n s
d'hotel	d o t 'ɛ l
d'hipòtesis	d i p 'ɔ t e z i s
d'heroïcitat	d e ɾ o i s i t 'a t
d'expressar	d e k s p ɾ e s 'a
d'exotisme	d e g z o t 'i z m e
d'existir	d e g z i s t 'i
d'executar	d e g z e k u t 'a
d'entrevistes	d e n t ɾ e β 'i s t e s
d'entrevistar	d e n t ɾ e β i s t 'a
d'entrenar	d e n t ɾ e n 'a
d'elogi	d e l 'ɔ ʒ i
d'elit	d e l 'i t
d'elaborar	d e l a β o ɾ 'a
d'efectuar	d e f e k t u 'a
d'editar	d e ð i t 'a
d'avís	d a β 'i s
d'aventures	d a β e n t 'u ɾ e s
d'atacar	d a t a k 'a
d'assumir	d a s u m 'i
d'assassinats	d a s a s i n 'a t s
d'ase	d 'a z e
d'arròs	d a r 'ɔ s
d'arrels	d a r 'ɛ l s
d'aranya	d a ɾ 'a ɲ a
d'aprenentatge	d a p ɾ e n e n t 'a dʒ e
d'anècdotes	d a n 'ɛ g d o t e s
d'anàlisi	d a n 'a l i z i
d'anxoves	d a n tʃ 'ɔ β e s
d'animals	d a n i m 'a l s
d'angles	d 'a ŋ g l e s
d'amigdalitis	d a m i g d a l 'i t i s
d'amagat	d a m a ɣ 'a t
d'alzines	d a l z 'i n e s
d'alts	d 'a l s
d'altri	d 'a l t ɾ i
d'altra	d 'a l t ɾ a
d'alta	d 'a l t a
d'alcohol	d a l k o 'o l
d'ajuts	d a ʒ 'u t s
d'agulla	d a ɣ 'u ʎ a
d'afeitar	d a f e j t 'a
d'advocats	d a d b o k 'a t s
d'adults	d a ð 'u l s
d'adobar	d a ð o β 'a
d'admiradors	d a d m i ɾ a ð 'o s
d'acudits	d a k u ð 'i t s
d'actualitzar	d a k t u a l i d z 'a
d'actes	d 'a k t e s
d'acompanyar	d a k o m p a ɲ 'a
d'acceptar	d a k s e p t 'a
d'Osca	d 'ɔ s k a
d'Onyar	d o ɲ 'a
d'Egara	d e ɣ 'a ɾ a
d'Assís	d a s 'i s
d'Ascó	d a s k 'o
d'Andalusia	d a n d a l u z 'i a
d'Amèrica	d a m 'ɛ ɾ i k a
d'Alcohòlics	d a l k o 'ɔ l i k s
d'Alacant	d a l a k 'a n
d'Agricultura	d a ɣ ɾ i k u l t 'u ɾ a
cònjuge	k 'ɔ n dʒ u ʒ e
còmplices	k 'ɔ m p l i s e s
còmiques	k 'ɔ m i k e s
cívics	s 'i β i k s
cítrics	s 'i t ɾ i k s
cínic	s 'i n i k
cèlebre	s 'ɛ l e β ɾ e
càstigs	k 'a s t i k s
càrrecs	k 'a r e k s
cànon	k 'a n o n
càmping	k 'a m p i ŋ
càlids	k 'a l i t s
càlid	k 'a l i t
càlcul	k 'a l k u l
curador	k u ɾ a ð 'o
cuques	k 'u k e s
cunyat	k u ɲ 'a t
cuneta	k u n 'e t a
culte	k 'u l t e
culpar	k u l p 'a
culebró	k u l e β ɾ 'o
cuixa	k 'u j ʃ a
cuirassada	k u j ɾ a s 'a ð a
cuinés	k u j n 'e s
cuinera	k u j n 'e ɾ a
cuinaria	k u j n a ɾ 'i a
cuinar	k u j n 'a
cuidava	k u j ð 'a β a
cuidant	k u j ð 'a n
cuida	k 'u j ð a
cues	k 'u e s
cuers	k u 'e s
cubà	k u β 'a
cubata	k u β 'a t a
crítiques	k ɾ 'i t i k e s
crític	k ɾ 'i t i k
créixens	k ɾ 'e j ʃ e n s
cruspit	k ɾ u s p 'i t
cruentes	k ɾ u 'e n t e s
crueltat	k ɾ u e l t 'a t
cromosomes	k ɾ o m o z 'o m e s
cromos	k ɾ 'o m o s
croada	k ɾ o 'a ð a
criteri	k ɾ i t 'ɛ ɾ i
cristal·litzar	k ɾ i s t a l i d z 'a
cristalls	k ɾ i s t 'a ʎ s
crispa	k ɾ 'i s p a
crims	k ɾ 'i m s
criminal	k ɾ i m i n 'a l
cries	k ɾ 'i e s
crien	k ɾ 'i e n
criden	k ɾ 'i ð e n
cridaven	k ɾ i ð 'a β e n
creïn	k ɾ 'e i n
creà	k ɾ e 'a
creuat	k ɾ e w 'a t
crescuts	k ɾ e s k 'u t s
cremàvem	k ɾ e m 'a β e m
cremor	k ɾ e m 'o
cremes	k ɾ 'e m e s
cremen	k ɾ 'e m e n
crema	k ɾ 'e m a
creixia	k ɾ e j ʃ 'i a
cregués	k ɾ e ɣ 'e s
creessin	k ɾ e 'e s i n
credo	k ɾ 'e ð o
creativitat	k ɾ e a t i β i t 'a t
creant	k ɾ e 'a n
creades	k ɾ e 'a ð e s
crani	k ɾ 'a n i
cotorres	k o t 'o r e s
cota	k 'ɔ t a
costés	k o s t 'e s
costumistes	k o s t u m 'i s t e s
costum	k o s t 'u m
costava	k o s t 'a β a
costaria	k o s t a ɾ 'i a
costaneres	k o s t a n 'e ɾ e s
costanera	k o s t a n 'e ɾ a
cosmopolita	k o z m o p o l 'i t a
cosir	k o z 'i
cosidor	k o z i ð 'o
cosa	k 'ɔ z a
corresponia	k o r e s p o n 'i a
corresponents	k o r e s p o n 'e n s
correm	k o r 'e m
corregirem	k o r e ʒ i ɾ 'e m
corregir	k o r e ʒ 'i
correfoc	k o r e f 'ɔ k
corredisses	k o r e ð 'i s e s
corrector	k o r e k t 'o
correctes	k o r 'ɛ k t e s
coronat	k o ɾ o n 'a t
coral	k o ɾ 'a l
coquetejar	k o k e t e ʒ 'a
coquetejant	k o k e t e ʒ 'a n
copular	k o p u l 'a
copsem	k o p s 'e m
conya	k 'o ɲ a
convocar	k o m b o k 'a
convido	k o m b 'i ð o
convidat	k o m b i ð 'a t
convidaria	k o m b i ð a ɾ 'i a
convidant-los	k o m b i ð 'a n l o s
convidant-la	k o m b i ð 'a n l a
contínua	k o n t 'i n u a
contundent	k o n t u n d 'e n
controlo	k o n t ɾ 'o l o
contrincant	k o n t ɾ i ŋ k 'a n
contribuiria	k o n t ɾ i β u i ɾ 'i a
contribuir	k o n t ɾ i β u 'i
contrasta	k o n t ɾ 'a s t a
contraris	k o n t ɾ 'a ɾ i s
contrades	k o n t ɾ 'a ð e s
contrada	k o n t ɾ 'a ð a
contractar	k o n t ɾ a k t 'a
continuessin	k o n t i n u 'e s i n
continuen	k o n t i n 'u e n
continuem	k o n t i n u 'e m
continuat	k o n t i n u 'a t
continuar-hi	k o n t i n u 'a ɾ i
continu	k o n t 'i n u
continguin	k o n t 'i ŋ g i n
continguda	k o n t i ŋ g 'u ð a
contextual	k o n t e k s t u 'a l
contestà	k o n t e s t 'a
contesto	k o n t 'e s t o
contestem	k o n t e s t 'e m
contestat	k o n t e s t 'a t
contenia	k o n t e n 'i a
contenen	k o n t 'e n e n
contemplem	k o n t e m p l 'e m
contemplarà	k o n t e m p l a ɾ 'a
contemplant-li	k o n t e m p l 'a n l i
contemplant	k o n t e m p l 'a n
contaminants	k o n t a m i n 'a n s
contaminant	k o n t a m i n 'a n
contagi	k o n t 'a ʒ i
contactin	k o n t 'a k t i n
contactar	k o n t a k t 'a
contacta	k o n t 'a k t a
consums	k o n s 'u m s
consumir	k o n s u m 'i
consumia	k o n s u m 'i a
construïts	k o n s t ɾ u 'i t s
construït	k o n s t ɾ u 'i t
construïda	k o n s t ɾ u 'i ð a
construïa	k o n s t ɾ u 'i a
construirà	k o n s t ɾ u i ɾ 'a
construint	k o n s t ɾ u 'i n
construeix	k o n s t ɾ u 'e j ʃ
constructores	k o n s t ɾ u k t 'o ɾ e s
constituït	k o n s t i t u 'i t
constitueixen	k o n s t i t u 'e j ʃ e n
constipats	k o n s t i p 'a t s
constatat	k o n s t a t 'a t
consta	k 'o n s t a
consolà	k o n s o l 'a
consistir	k o n s i s t 'i
consisteix	k o n s i s t 'e j ʃ
considero	k o n s i ð 'e ɾ o
considerats	k o n s i ð e ɾ 'a t s
considerades	k o n s i ð e ɾ 'a ð e s
considerable	k o n s i ð e ɾ 'a β l e
conseqüents	k o n s e k w 'e n s
conseqüent	k o n s e k w 'e n
conselleria	k o n s e ʎ e ɾ 'i a
consagrada	k o n s a ɣ ɾ 'a ð a
conques	k 'o ŋ k e s
connectar	k o n n e k t 'a
connectada	k o n n e k t 'a ð a
connecta	k o n n 'ɛ k t a
conjura	k o n dʒ 'u ɾ a
congruent	k o ŋ g ɾ u 'e n
conglomerats	k o ŋ g l o m e ɾ 'a t s
congela	k o n dʒ 'ɛ l a
coneixíem	k o n e j ʃ 'i e m
coneixéssim	k o n e j ʃ 'e s i m
coneixien	k o n e j ʃ 'i e n
coneixerem	k o n e j ʃ e ɾ 'e m
coneixem	k o n e j ʃ 'e m
coneixedors	k o n e j ʃ e ð 'o s
coneguts	k o n e ɣ 'u t s
conegui	k o n 'ɛ ɣ i
conegudes	k o n e ɣ 'u ð e s
condueixi	k o n d u 'e j ʃ i
condueixen	k o n d u 'e j ʃ e n
conductes	k o n d 'u k t e s
condensadors	k o n d e n s a ð 'o s
condemna	k o n d 'e m n a
concretem	k o ŋ k ɾ e t 'e m
concretaran	k o ŋ k ɾ e t a ɾ 'a n
concretant	k o ŋ k ɾ e t 'a n
concentrem	k o n s e n t ɾ 'e m
concentrats	k o n s e n t ɾ 'a t s
concedís	k o n s e ð 'i s
comunitari	k o m u n i t 'a ɾ i
comuniqui	k o m u n 'i k i
comunicarà	k o m u n i k a ɾ 'a
comtats	k o m t 'a t s
computadors	k o m p u t a ð 'o s
comptem	k o m t 'e m
comprés	k o m p ɾ 'e s
comprèn	k o m p ɾ 'ɛ n
comprovem	k o m p ɾ o β 'e m
comprovat	k o m p ɾ o β 'a t
comprovant	k o m p ɾ o β 'a n
compromissaris	k o m p ɾ o m i s 'a ɾ i s
comprometem	k o m p ɾ o m e t 'e m
compromet	k o m p ɾ o m 'e t
compresa	k o m p ɾ 'e z a
comprensiva	k o m p ɾ e n s 'i β a
comprenent	k o m p ɾ e n 'e n
comprenen	k o m p ɾ 'e n e n
comprant	k o m p ɾ 'a n
compradors	k o m p ɾ a ð 'o s
compositor	k o m p o z i t 'o
composa	k o m p 'o z a
complint	k o m p l 'i n
compliment	k o m p l i m 'e n
complicades	k o m p l i k 'a ð e s
completa-la	k o m p l 'e t a l a
complements	k o m p l e m 'e n s
complementem	k o m p l e m e n t 'e m
complauen	k o m p l 'a w e n
compilador	k o m p i l a ð 'o
competitivitat	k o m p e t i t i β i t 'a t
competitiva	k o m p e t i t 'i β a
competia	k o m p e t 'i a
compareixença	k o m p a ɾ e j ʃ 'e n s a
comparada	k o m p a ɾ 'a ð a
comissari	k o m i s 'a ɾ i
cometre	k o m 'e t ɾ e
cometes	k o m 'e t e s
comet	k o m 'e t
començaven	k o m e n s 'a β e n
començarà	k o m e n s a ɾ 'a
comentem	k o m e n t 'e m
comentat	k o m e n t 'a t
comentant	k o m e n t 'a n
comenta	k o m 'e n t a
comences	k o m 'e n s e s
comandant	k o m a n d 'a n
col·locàvem	k o l o k 'a β e m
col·loco	k o l 'ɔ k o
col·locat	k o l o k 'a t
col·locar	k o l o k 'a
col·locades	k o l o k 'a ð e s
col·locada	k o l o k 'a ð a
col·legues	k o l 'e ɣ e s
col·lapse	k o l 'a p s e
col·lapsats	k o l a p s 'a t s
col·lapsada	k o l a p s 'a ð a
col·laborin	k o l a β 'ɔ ɾ i n
col·laboradors	k o l a β o ɾ a ð 'o s
coloraines	k o l o ɾ 'a j n e s
color	k o l 'o
collonut	k o ʎ o n 'u t
collons	k o ʎ 'o n s
collonades	k o ʎ o n 'a ð e s
collita	k o ʎ 'i t a
collaret	k o ʎ a ɾ 'e t
colat	k o l 'a t
colar	k o l 'a
coixa	k 'o j ʃ a
coincidiran	k o i n s i ð i ɾ 'a n
coincidia	k o i n s i ð 'i a
coincidents	k o i n s i ð 'e n s
coincideix	k o i n s i ð 'e j ʃ
coherents	k o e ɾ 'e n s
cofoi	k o f 'ɔ j
coets	k o 'e t s
codis	k 'ɔ ð i s
codifica	k o ð i f 'i k a
coco	k 'o k o
cobrien	k o β ɾ 'i e n
cobren	k 'o β ɾ e n
cobreixi	k o β ɾ 'e j ʃ i
cobrar	k o β ɾ 'a
cobejada	k o β e ʒ 'a ð a
clínica	k l 'i n i k a
clàssiques	k l 'a s i k e s
clàssic	k l 'a s i k
clucs	k l 'u k s
clubs	k l 'u p s
club	k l 'u p
clons	k l 'o n s
cliva	k l 'i β a
clissar	k l i s 'a
cliqui	k l 'i k i
climàtic	k l i m 'a t i k
clavells	k l a β 'e ʎ s
clavats	k l a β 'a t s
clavat	k l a β 'a t
clavar-hi	k l a β 'a ɾ i
clavant-li	k l a β 'a n l i
clava	k l 'a β a
clauers	k l a w 'e s
clauer	k l a w 'e
clatellada	k l a t e ʎ 'a ð a
classifiquin	k l a s i f 'i k i n
classifiquen	k l a s i f 'i k e n
classificava	k l a s i f i k 'a β a
classificats	k l a s i f i k 'a t s
classe	k l 'a s e
claríssim	k l a ɾ 'i s i m
clarificar	k l a ɾ i f i k 'a
clares	k l 'a ɾ e s
clara	k l 'a ɾ a
clapes	k l 'a p e s
civisme	s i β 'i z m e
cistell	s i s t 'e ʎ
cisellada	s i z e ʎ 'a ð a
cinèfils	s i n 'ɛ f i l s
cinglera	s i ŋ g l 'e ɾ a
cinematogràfic	s i n e m a t o ɣ ɾ 'a f i k
cineasta	s i n e 'a s t a
cicatritzar	s i k a t ɾ i d z 'a
cicatritzants	s i k a t ɾ i d z 'a n s
ceràmiques	s e ɾ 'a m i k e s
cenyit	s e ɲ 'i t
centígrads	s e n t 'i ɣ ɾ a t s
cents	s 'e n s
centristes	s e n t ɾ 'i s t e s
centrats	s e n t ɾ 'a t s
centilitres	s e n t i l 'i t ɾ e s
cendrers	s e n d ɾ 'e s
cendrer	s e n d ɾ 'e
cel·lulitis	s e l u l 'i t i s
cel·les	s 'ɛ l e s
celo	s 'ɛ l o
celler	s e ʎ 'e
celebren	s e l 'e β ɾ e n
celebrat	s e l e β ɾ 'a t
cedits	s e ð 'i t s
cedit	s e ð 'i t
cec	s 'e k
caòtica	k a 'ɔ t i k a
caçadores	k a s a ð 'o ɾ e s
caçador	k a s a ð 'o
cavalleria	k a β a ʎ e ɾ 'i a
cavalcaven	k a β a l k 'a β e n
cauen	k 'a w e n
catòlic	k a t 'ɔ l i k
catàleg	k a t 'a l e k
catolicisme	k a t o l i s 'i z m e
catastrofista	k a t a s t ɾ o f 'i s t a
cat	k 'a t
casés	k a z 'e s
castigant	k a s t i ɣ 'a n
castellana	k a s t e ʎ 'a n a
cassó	k a s 'o
casino	k a z 'i n o
caselles	k a z 'e ʎ e s
casella	k a z 'e ʎ a
cascada	k a s k 'a ð a
casc	k 'a s k
casals	k a z 'a l s
carruatges	k a r u 'a dʒ e s
carruatge	k a r u 'a dʒ e
carrosseria	k a r o s e ɾ 'i a
carreres	k a r 'e ɾ e s
carrego	k a r 'e ɣ o
carregaran	k a r e ɣ a ɾ 'a n
carregant	k a r e ɣ 'a n
carregada	k a r e ɣ 'a ð a
caritat	k a ɾ i t 'a t
carinyosos	k a ɾ i ɲ 'o z o s
carinyo	k a ɾ 'i ɲ o
caricaturistes	k a ɾ i k a t u ɾ 'i s t e s
caribenya	k a ɾ i β 'e ɲ a
caravana	k a ɾ a β 'a n a
caramel	k a ɾ a m 'ɛ l
caram	k a ɾ 'a m
carai	k a ɾ 'a j
caracteritzant-lo	k a ɾ a k t e ɾ i d z 'a n l o
caracteritzada	k a ɾ a k t e ɾ i d z 'a ð a
caputxeta	k a p u tʃ 'e t a
capuccinos	k a p u k s 'i n o s
captura	k a p t 'u ɾ a
captivadora	k a p t i β a ð 'o ɾ a
captiva	k a p t 'i β a
captar	k a p t 'a
capta	k 'a p t a
capritxós	k a p ɾ i tʃ 'o s
capes	k 'a p e s
capbussar	k a b b u s 'a
capacitats	k a p a s i t 'a t s
canyissos	k a ɲ 'i s o s
canviï	k a m b 'i i
canvien	k a m b 'i e n
cants	k 'a n s
cantonades	k a n t o n 'a ð e s
cantaven	k a n t 'a β e n
cantats	k a n t 'a t s
canta	k 'a n t a
cant	k 'a n
canso	k 'a n s o
cansant	k a n s 'a n
cansament	k a n s a m 'e n
canonades	k a n o n 'a ð e s
canonada	k a n o n 'a ð a
canari	k a n 'a ɾ i
can	k 'a n
campus	k 'a m p u s
camises	k a m 'i z e s
caminava	k a m i n 'a β a
caminat	k a m i n 'a t
camina	k a m 'i n a
camell	k a m 'e ʎ
camaleó	k a m a l e 'o
calories	k a l o ɾ 'i e s
calli	k 'a ʎ i
callat	k a ʎ 'a t
callant	k a ʎ 'a n
calibre	k a l 'i β ɾ e
calcari	k a l k 'a ɾ i
calavera	k a l a β 'e ɾ a
calaixets	k a l a j ʃ 'e t s
calades	k a l 'a ð e s
caixer	k a j ʃ 'e
caigudes	k a j ɣ 'u ð e s
caic	k 'a j k
cago	k 'a ɣ o
cagat	k a ɣ 'a t
cagar	k a ɣ 'a
caducades	k a ð u k 'a ð e s
cadenat	k a ð e n 'a t
cacera	k a s 'e ɾ a
cacen	k 'a s e n
cabíem	k a β 'i e m
cabró	k a β ɾ 'o
cables	k 'a β l e s
cabirons	k a β i ɾ 'o n s
cabina	k a β 'i n a
cabien	k a β 'i e n
cabellera	k a β e ʎ 'e ɾ a
cabanyes	k a β 'a ɲ e s
bàndol	b 'a n d o l
bàdminton	b 'a d m i n t o n
butaca	b u t 'a k a
bust	b 'u s t
burros	b 'u r o s
bullit	b u ʎ 'i t
buldòzer	b u l d 'ɔ z e
buidor	b u j ð 'o
bufó	b u f 'o
bufons	b u f 'o n s
bufo	b 'u f o
bufet	b u f 'e t
bufar	b u f 'a
bruixes	b ɾ 'u j ʃ e s
brots	b ɾ 'o t s
bromur	b ɾ o m 'u
bromejant	b ɾ o m e ʒ 'a n
brollen	b ɾ 'o ʎ e n
brogits	b ɾ o ʒ 'i t s
brodats	b ɾ o ð 'a t s
brodat	b ɾ o ð 'a t
brindis	b ɾ 'i n d i s
brillen	b ɾ 'i ʎ e n
brillava	b ɾ i ʎ 'a β a
brilla	b ɾ 'i ʎ a
brevetat	b ɾ e β e t 'a t
bretolades	b ɾ e t o l 'a ð e s
bressolat	b ɾ e s o l 'a t
braçalets	b ɾ a s a l 'e t s
brasa	b ɾ 'a z a
botzines	b o d z 'i n e s
botifarretes	b o t i f a r 'e t e s
botifarra	b o t i f 'a r a
botella	b o t 'e ʎ a
