A	'a	 a 
Ribera	r i β 'e ɾ a	 r i β 'ɛ ɾ a 
Ribagorça	r i β a ɣ 'o ɾ s a	 r i β a ɣ 'ɔ ɾ s a 
Ona	'o n a	 'ɔ n a 
Noruega	n o ɾ u 'e ɣ a	 n o ɾ u 'ɛ ɣ a 
Naturalesa	n a t u ɾ a l 'e z a	 n a t u ɾ 'a l 'ɛ z a 
Mig	m 'i t ʃ	 m 'i k 
Me	m 'e	 m e 
Maresme	m a ɾ 'e z m e	 m 'a ɾ 'ɛ z m e 
Magdalena	m a g d a l 'e n a	 m a g d a l 'ɛ n a 
Llei	ʎ 'e j	 ʎ 'ɛ i 
Jocs	d ʒ 'ɔ k s	 d ʒ 'o k s 
Güell	g w 'e ʎ	 g w 'ɛ ʎ 
Formes	f 'o ɾ m e s	 f 'ɔ ɾ m e s 
Fitxer	f i t ʃ 'e ɾ	 f i t ʃ 'ɛ ɾ 
Fer	f 'e ɾ	 f 'ɛ ɾ 
Fem	f 'e m	 f 'ɛ m 
Farem	f a ɾ 'e m	 f a ɾ 'ɛ m 
Escolta	a s k 'o l t a	 a s k 'ɔ l t a 
Ells	'e ʎ s	 'ɛ ʎ s 
Eivissa	e j v 'i s a	 e i v 'i s a 
Dreceres	d ɾ e s 'e ɾ e s	 d ɾ e s 'ɛ ɾ e s 
Dimecres	d i m 'e k ɾ e s	 d i m 'ɛ k ɾ e s 
Dilluns	d i ʎ 'u n s	 d 'i ʎ 'u n s 
Descarrega't	d e s k a r 'e ɣ a t	 d e s k a r e ɣ 'a t 
Del	d 'e l	 d e l 
Cultura	k u l t 'u ɾ a	 k 'u l t 'u ɾ a 
Camps	k 'a m s	 k 'a m p s 
Bloc	b l 'ɔ k	 b l 'o k 
Bellver	b e ʎ v 'e ɾ	 b e ʎ v 'ɛ ɾ 
Belgrad	b e l ɣ ɾ 'a t	 b 'ɛ l ɣ ɾ 'a t 
per	p 'e ɾ	 p e ɾ 
Volen	v 'o l e n	 v 'ɔ l e n 
Pot	p 'ɔ t	 p 'o t 
Hi	'i	 i 
De	d 'e	 d e 
vots	v 'ɔ t s	 v 'o t s 
vinguessis	v i ŋ g 'e s i s	 v i ŋ g 'u 'ɛ s i s 
vents	v 'e n s	 v 'ɛ n t s 
vendre	v 'e n d ɾ e	 v 'ɛ n d ɾ e 
velleta	v e ʎ 'e t a	 v e ʎ 'ɛ t a 
velles	v 'e ʎ e s	 v 'ɛ ʎ e s 
trossets	t ɾ o s 'e t s	 t ɾ o s 'ɛ t s 
trosset	t ɾ o s 'e t	 t ɾ o s 'ɛ t 
travessar	t ɾ a v e s 'a ɾ	 t ɾ 'a v e s 'a ɾ 
transbordament	t ɾ a n z β o ɾ ð a m 'e n t	 t ɾ a n z β 'ɔ ɾ ð a m 'ɛ n t 
tornem-hi	t o ɾ n 'e m i	 t 'o ɾ n 'ɛ m i 
tenda	t 'e n d a	 t 'ɛ n d a 
targetes	t a ɾ d ʒ 'e t e s	 t a ɾ d ʒ 'ɛ t e s 
sorprenents	s o ɾ p ɾ e n 'e n s	 s o ɾ p ɾ e n 'ɛ n s 
sorprenent	s o ɾ p ɾ e n 'e n t	 s o ɾ p ɾ e n 'ɛ n t 
sincera	s i n s 'e ɾ a	 s i n s 'ɛ ɾ a 
serena	s e ɾ 'e n a	 s e ɾ 'ɛ n a 
serem	s e ɾ 'e m	 s e ɾ 'ɛ m 
seny	s 'e ɲ	 s 'ɛ ɲ 
sens	s 'e n s	 s 'ɛ n s 
seguien	s e ɣ 'i e n	 s e ɣ u 'i e n 
s'escapava	s a s k a p 'a v a	 s e s k a p 'a v a 
s'encarregarà	s a ŋ k a r e ɣ a ɾ 'a	 s e ŋ k a r e ɣ a ɾ 'a 
retorna	r e t 'o ɾ n a	 r e t 'ɔ ɾ n a 
resten	r 'e s t e n	 r s t e n 
repartiment	r e p a ɾ t i m 'e n t	 r e p 'a ɾ t i m 'ɛ n t 
rentadora	r e n t a ð 'o ɾ a	 r e n t a ð 'ɔ ɾ a 
reiterada	r e i t e ɾ 'a ð a	 r 'e j t e ɾ 'a ð a 
reguitzell	r e ɣ i d z 'e ʎ	 r e ɣ i d z 'ɛ ʎ 
recurrent	r e k u r 'e n t	 r e k 'u r 'ɛ n t 
recent	r e s 'e n t	 r e s 'ɛ n t 
pudent	p u ð 'e n t	 p u ð 'ɛ n t 
procediment	p ɾ o s e ð i m 'e n t	 p ɾ o s 'ɛ ð i m 'ɛ n t 
presumpte	p ɾ e z 'u m t e	 p ɾ e z 'u m p t e 
prenen	p ɾ 'e n e n	 p ɾ 'ɛ n e n 
polseguera	p o l s e ɣ 'e ɾ a	 p o l s e ɣ 'ɛ ɾ a 
polonesa	p o l o n 'e z a	 p o l o n 'ɛ z a 
poetes	p o 'e t e s	 p o 'ɛ t e s 
poder-hi	p o ð 'e ɾ i	 p o ð 'ɛ ɾ i 
pinedes	p i n 'e ð e s	 p i n 'ɛ ð e s 
pessigolles	p e s i ɣ 'o ʎ e s	 p e s i ɣ 'ɔ ʎ e s 
perseguir	p e ɾ s e ɣ 'i ɾ	 p 'e ɾ s e ɣ 'i ɾ 
permesa	p e ɾ m 'e z a	 p e ɾ m 'ɛ z a 
perillosos	p e ɾ i ʎ 'o z o s	 p e ɾ i ʎ 'ɔ z o s 
perdona	p e ɾ ð 'o n a	 p e ɾ ð 'ɔ n a 
penses	p 'e n s e s	 p 'ɛ n s e s 
pegues	p 'e ɣ e s	 p 'ɛ ɣ e s 
paviment	p a v i m 'e n t	 p 'a v i m 'ɛ n t 
passegem	p a s e d ʒ 'e m	 p a s e d ʒ 'ɛ m 
ombra	'o m b ɾ a	 'ɔ m b ɾ a 
oi	'ɔ j	 'o i 
observem	o p s e ɾ v 'e m	 o p s e ɾ v 'ɛ m 
nèctar	n 'ɛ k t a ɾ	 n 'ɛ k t 'a ɾ 
novena	n o v 'e n a	 n o v 'ɛ n a 
ninots	n i n 'ɔ t s	 n i n 'o t s 
mossec	m o s 'e k	 m o s 'ɛ k 
morro	m 'o r o	 m 'ɔ r o 
molesta	m o l 'e s t a	 m o l 'ɛ s t a 
millores	m i ʎ 'o ɾ e s	 m i ʎ 'ɔ ɾ e s 
microones	m i k ɾ o 'o n e s	 m i k ɾ 'ɔ 'ɔ n e s 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
meravelles	m e ɾ a v 'e ʎ e s	 m e ɾ a v 'ɛ ʎ e s 
meravella	m e ɾ a v 'e ʎ a	 m e ɾ a v 'ɛ ʎ a 
manifestants	m a n i f e s t 'a n s	 m a n 'i f e s t 'a n s 
maduresa	m a ð u ɾ 'e z a	 m a ð 'u ɾ 'ɛ z a 
m'havien	m a v 'i e n	 m e a v 'i e n 
locomotora	l o k o m o t 'o ɾ a	 l o k o m o t 'ɔ ɾ a 
llet	ʎ 'e t	 ʎ 'ɛ t 
llença	ʎ 'e n s a	 ʎ 'ɛ n s a 
lleixes	ʎ 'e j ʃ e s	 ʎ 'ɛ j ʃ e s 
lectures	l e k t 'u ɾ e s	 l 'e k t 'u ɾ e s 
lamenta	l a m 'e n t a	 l a m 'ɛ n t a 
l'optimisme	l o p t i m 'i z m e	 l 'ɔ p t i m 'i z m e 
l'himne	l 'i m n e	 a 'i m n e 
l'agricultura	l a ɣ ɾ i k u l t 'u ɾ a	 l a ɣ ɾ i k 'u l t 'u ɾ a 
irrompre	i r 'o m p ɾ e	 i r 'ɔ m p ɾ e 
independents	i n d e p e n d 'e n s	 i n d e p e n d 'ɛ n t s 
impresos	i m p ɾ 'e z o s	 i m p ɾ 'ɛ z o s 
hortet	o ɾ t 'e t	 o ɾ t 'ɛ t 
honest	o n 'e s t	 o n 'ɛ s t 
himne	'i m n e	 u 'i m n e 
gruixut	g ɾ u j ʃ 'u t	 g ɾ 'u j ʃ 'u t 
grotesc	g ɾ o t 'e s k	 g ɾ o t 'ɛ s k 
greix	g ɾ 'e j ʃ	 g ɾ 'ɛ j ʃ 
goma	g 'o m a	 g 'ɔ m a 
fruita	f ɾ w 'i t a	 f ɾ d ʒ 'i t a 
fortuna	f o ɾ t 'u n a	 f 'o ɾ t 'u n a 
forcés	f o ɾ s 'e s	 f 'o ɾ s 'e s 
fonda	f 'o n d a	 f 'ɔ n d a 
foguera	f o ɣ 'e ɾ a	 f 'ɔ ɣ 'ɛ ɾ a 
fleca	f l 'e k a	 f l 'ɛ k a 
financeres	f i n a n s 'e ɾ e s	 f i n a n s 'ɛ ɾ e s 
fer-te	f 'e ɾ t e	 f 'ɛ ɾ t e 
feble	f 'e β l e	 f 'ɛ β l e 
existents	e g z i s t 'e n s	 e g z i s t 'ɛ n t s 
estrident	a s t ɾ i ð 'e n t	 a s t ɾ i ð 'ɛ n t 
estrella	a s t ɾ 'e ʎ a	 a s t ɾ 'ɛ ʎ a 
estrangeres	a s t ɾ a n d ʒ 'e ɾ e s	 a s t ɾ a n d ʒ 'ɛ ɾ e s 
estranger	a s t ɾ a n d ʒ 'e ɾ	 a s t ɾ a n d ʒ 'ɛ ɾ 
estaments	a s t a m 'e n s	 a s t a m 'ɛ n t s 
escenes	a s 'e n e s	 a s 'ɛ n e s 
escena	a s 'e n a	 a s 'ɛ n a 
encreuaments	a ŋ k ɾ e w a m 'e n s	 a ŋ k ɾ e w a m 'ɛ n t s 
encegadora	a n s e ɣ a ð 'o ɾ a	 a n s e ɣ a ð 'ɔ ɾ a 
embarassada	a m b a ɾ a s 'a ð a	 a m b 'a ɾ a s 'a ð a 
ema	'e m a	 'ɛ m a 
elefants	e l e f 'a n s	 e l e f 'a n t s 
doloroses	d o l o ɾ 'o z e s	 d o l o ɾ 'ɔ z e s 
distendre	d i s t 'e n d ɾ e	 d i s t 'ɛ n d ɾ e 
dirigents	d i ɾ i d ʒ 'e n s	 d i ɾ i d ʒ 'ɛ n t s 
dirhams	d i ɾ 'a m s	 d i ɾ 'a 'a m s 
desmai	d e z m 'a j	 d e z m 'a i 
deshidratades	d e s i ð ɾ a t 'a ð e s	 d e z i ð ɾ a t 'a ð e s 
desfer	d e s f 'e ɾ	 d e s f 'ɛ ɾ 
descomptes	d e s k 'o m t e s	 d e s k 'ɔ m p t e s 
descompte	d e s k 'o m t e	 d e s k 'ɔ m p t e 
depenen	d e p 'e n e n	 d e p 'ɛ n e n 
deixem	d e j ʃ 'e m	 d e j ʃ 'ɛ m 
deixarem	d e j ʃ a ɾ 'e m	 d e j ʃ a ɾ 'ɛ m 
decret	d e k ɾ 'e t	 d e k ɾ 'ɛ t 
decadent	d e k a ð 'e n t	 d e k a ð 'ɛ n t 
crispetes	k ɾ i s p 'e t e s	 k ɾ i s p 'ɛ t e s 
creuen	k ɾ 'e w e n	 k ɾ 'ɛ w e n 
costelles	k o s t 'e ʎ e s	 k o s t 'ɛ ʎ e s 
corro	k 'o r o	 k 'ɔ r o 
corona	k o ɾ 'o n a	 k o ɾ 'ɔ n a 
copa	k 'o p a	 k 'ɔ p a 
concentren	k o n s 'e n t ɾ e n	 k o n s 'ɛ n t ɾ e n 
comprometre	k o m p ɾ o m 'e t ɾ e	 k o m p ɾ o m 'ɛ t ɾ e 
compres	k 'o m p ɾ e s	 k 'ɔ m p ɾ e s 
certesa	s e ɾ t 'e z a	 s e ɾ t 'ɛ z a 
castells	k a s t 'e ʎ s	 k a s t 'ɛ l s 
canell	k a n 'e ʎ	 k a n 'ɛ l i 
calenta	k a l 'e n t a	 k a l 'ɛ n t a 
burleta	b u ɾ l 'e t a	 b 'u ɾ l 'ɛ t a 
bullent	b u ʎ 'e n t	 b 'u ʎ 'ɛ n t 
bosseta	b o s 'e t a	 b o s 'ɛ t a 
borrosa	b o r 'o z a	 b o r 'ɔ z a 
bolonyesa	b o l o ɲ 'e z a	 b o l 'o ɲ 'ɛ z a 
beques	b 'e k e s	 b 'ɛ k e s 
belluguen	b e ʎ 'u ɣ e n	 b 'e ʎ 'u ɣ e n 
beix	b 'e j ʃ	 b 'ɛ j ʃ 
arruinats	a r w i n 'a t s	 a r i i n 'a t s 
aquesta	a k 'e s t a	 a k 'ɛ s t a 
aixequem	a j ʃ e k 'e m	 a j ʃ e k 'ɛ m 
afronta	a f ɾ 'o n t a	 a f ɾ 'ɔ n t a 
adonar-me'n	a ð o n 'a ɾ m e n	 a ð o n 'a ɾ m 'ɛ n 
acostem	a k o s t 'e m	 a k o s t 'ɛ m 
accidents	a k s i ð 'e n s	 a k s i ð 'ɛ n t s 
accepten	a k s 'e p t e n	 a k s 'ɛ p t e n 
absort	a p s 'ɔ ɾ t	 a p s 'o ɾ t 
Zamora	z a m 'o ɾ a	 z a m 'ɔ ɾ a 
Ui	w 'i	 ' u i 
Tota	t 'o t a	 t 'ɔ t a 
Torres	t 'o r e s	 t 'ɔ r e s 
Sistema	s i s t 'e m a	 s i s t 'ɛ m a 
Sec	s 'e k	 s 'ɛ k 
Se'm	s 'e m	 s 'ɛ m 
Ronda	r 'o n d a	 r 'ɔ n d a 
Queda	k 'e ð a	 k 'ɛ ð a 
Port	p 'ɔ ɾ t	 p 'o ɾ t 
Passem	p a s 'e m	 p a s 'ɛ m 
Nord	n 'ɔ ɾ t	 n 'o ɾ t 
Ginebra	d ʒ i n 'e β ɾ a	 d ʒ i n 'ɛ β ɾ a 
Foment	f o m 'e n t	 f 'ɔ m 'ɛ n t 
Espera	a s p 'e ɾ a	 a s p 'ɛ ɾ a 
Engega	a n d ʒ 'e ɣ a	 a n d ʒ 'ɛ ɣ a 
Elles	'e ʎ e s	 'ɛ ʎ e s 
Deixa	d 'e j ʃ a	 d 'ɛ j ʃ a 
Conec	k o n 'e k	 k o n 'ɛ k 
Brussel·les	b ɾ u s 'ɛ l e s	 b ɾ 'u s 'ɛ l e s 
Barceloneta	b a ɾ s e l o n 'e t a	 b a ɾ s e l o n 'ɛ t a 
ítems	'i t e m s	 'i t 'e m s 
àrab	'a ɾ a p	 'a ɾ a β 
que	k 'e	 k e 
quants	k w 'a n s	 k w 'a n t s 
eh	'e	 'ɛ 
Us	'u s	 u s 
Que	k 'e	 k e 
Quants	k w 'a n s	 k w 'a n t s 
La	l 'a	 l a 
En	'e n	 e n 
xumet	t ʃ u m 'e t	 t ʃ u m 'ɛ t 
xopa	t ʃ 'o p a	 t ʃ 'ɔ p a 
xiqueta	t ʃ i k 'e t a	 t ʃ i k 'ɛ t a 
xinesa	t ʃ i n 'e z a	 t ʃ i n 'ɛ z a 
xicots	t ʃ i k 'ɔ t s	 t ʃ i k 'o t s 
xiclets	t ʃ i k l 'e t s	 t ʃ i k l 'ɛ t s 
xiclet	t ʃ i k l 'e t	 t ʃ i k l 'ɛ t 
xeics	t ʃ 'e j k s	 t ʃ 'ɛ 'i k s 
xef	t ʃ 'e f	 t ʃ 'ɛ f 
xai	t ʃ 'a j	 t ʃ 'a i 
xafogosa	t ʃ a f o ɣ 'o z a	 t ʃ a f o ɣ 'ɔ z a 
vulnerin	v u l n 'ɛ ɾ i n	 v 'u l n 'ɛ ɾ i n 
vuitens	v w i t 'e n s	 v w i t 'ɛ n s 
vuitena	v w i t 'e n a	 v w i t 'ɛ n a 
vudú	v u ð 'u	 v 'u ð 'u 
votarem	v o t a ɾ 'e m	 v o t a ɾ 'ɛ m 
vot	v 'ɔ t	 v 'o t 
voreres	v o ɾ 'e ɾ e s	 v o ɾ 'ɛ ɾ e s 
vodka	v 'o t k a	 v 'ɔ ð k a 
vivent	v i v 'e n t	 v i v 'ɛ n t 
virtuoses	v i ɾ t u 'o z e s	 v i ɾ t u 'ɔ s e s 
virrei	v i r 'e j	 v i r 'ɛ i 
vinyetes	v i ɲ 'e t e s	 v i ɲ 'ɛ t e s 
vingueren	v i ŋ g 'e ɾ e n	 v i ŋ g 'ɛ ɾ e n 
vigents	v i d ʒ 'e n s	 v i d ʒ 'ɛ n t s 
vident	v i ð 'e n t	 v i ð 'ɛ n t 
vespres	v 'e s p ɾ e s	 v 'ɛ s p ɾ e s 
vertaderes	v e ɾ t a ð 'e ɾ e s	 v e ɾ t a ð 'ɛ ɾ e s 
vermellosos	v e ɾ m e ʎ 'o z o s	 v e ɾ m e ʎ 'ɔ z o s 
verdura	v e ɾ ð 'u ɾ a	 v 'ɛ ɾ ð 'u ɾ a 
verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
ventes	v 'e n t e s	 v 'ɛ n t e s 
venem	v e n 'e m	 v e n 'ɛ m 
vendre'ns	v 'e n d ɾ e n s	 v e n d ɾ 'ɛ n s 
vendre'ls	v 'e n d ɾ e l s	 v e n d ɾ 'ɛ l s 
venc	v 'e ŋ k	 v 'ɛ ŋ k 
vena	v 'e n a	 v 'ɛ n a 
vellut	v e ʎ 'u t	 v 'e ʎ 'u t 
velluga	v e ʎ 'u ɣ a	 v 'e ʎ 'u ɣ a 
vellesa	v e ʎ 'e z a	 v e ʎ 'ɛ z a 
vegem	v e d ʒ 'e m	 v e d ʒ 'ɛ m 
valoren	v a l 'o ɾ e n	 v a l 'ɔ ɾ e n 
validesa	v a l i ð 'e z a	 v a l 'i ð 'ɛ z a 
valents	v a l 'e n s	 v a l 'ɛ n t s 
valenta	v a l 'e n t a	 v a l 'ɛ n t a 
vaixells	v a j ʃ 'e ʎ s	 v 'a j ʃ 'ɛ ʎ s 
urgents	u ɾ d ʒ 'e n s	 'u ɾ d ʒ 'ɛ n t s 
uniforme	u n i f 'o ɾ m e	 u n i f 'ɔ ɾ m e 
ullets	u ʎ 'e t s	 'u ʎ 'ɛ t s 
txecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
turment	t u ɾ m 'e n t	 t 'u ɾ m 'ɛ n t 
turmells	t u ɾ m 'e ʎ s	 t 'u ɾ m 'ɛ l s 
tsars	t s 'a ɾ s	 a z 'a ɾ s 
truites	t ɾ w 'i t e s	 t ɾ d ʒ 'i t e s 
truita	t ɾ w 'i t a	 t ɾ d ʒ 'i t a 
tronxos	t ɾ 'o n t ʃ o s	 t ɾ 'ɔ n t ʃ o s 
trontolla	t ɾ o n t 'o ʎ a	 t ɾ o n t 'ɔ ʎ a 
trompeta	t ɾ o m p 'e t a	 t ɾ 'o m p 'ɛ t a 
trobadoresca	t ɾ o β a ð o ɾ 'e s k a	 t ɾ o β a ð 'o ɾ 'ɛ s k a 
trilingües	t ɾ i l 'i ŋ g w e s	 t ɾ i l 'i ŋ g e s 
treuen	t ɾ 'e w e n	 t ɾ 'ɛ w e n 
tretzena	t ɾ e d z 'e n a	 t ɾ e d z 'ɛ n a 
trepig	t ɾ e p 'i t ʃ	 t ɾ e p 'i ɣ 
trepants	t ɾ e p 'a n s	 t ɾ e p 'a n t s 
trec	t ɾ 'e k	 t ɾ 'ɛ k 
treballadora	t ɾ e β a ʎ a ð 'o ɾ a	 t ɾ e β a ʎ a ð 'ɔ ɾ a 
travessera	t ɾ a v e s 'e ɾ a	 t ɾ 'a v e s 'ɛ ɾ a 
travessem	t ɾ a v e s 'e m	 t ɾ 'a v e s 'ɛ m 
travessaves	t ɾ a v e s 'a v e s	 t ɾ 'a v e s 'a v e s 
travessarem	t ɾ a v e s a ɾ 'e m	 t ɾ 'a v e s a ɾ 'ɛ m 
travessant	t ɾ a v e s 'a n t	 t ɾ 'a v e s 'a n t 
trasplantessin	t ɾ a s p l a n t 'e s i n	 t ɾ a s p l a n t 'ɛ s i n 
transvasament	t ɾ a n z v a z a m 'e n t	 t ɾ a n z v 'a z a m 'ɛ n t 
transparent	t ɾ a n s p a ɾ 'e n t	 t ɾ a n s p a ɾ 'ɛ n t 
transmetre	t ɾ a n z m 'e t ɾ e	 t ɾ a n z m 'ɛ t ɾ e 
transmeto	t ɾ a n z m 'e t o	 t ɾ a n z m 'ɛ t o 
transmetent-me	t ɾ a n z m e t 'e m m e	 t ɾ a n z m e t 'ɛ n d m e 
transmeten	t ɾ a n z m 'e t e n	 t ɾ a n z m 'ɛ t e n 
transcorre	t ɾ a n s k 'o r e	 t ɾ a n s k 'ɔ r e 
traficants	t ɾ a f i k 'a n s	 t ɾ a f i k 'a n t s 
tractaments	t ɾ a k t a m 'e n s	 t ɾ a k t a m 'ɛ n t s 
tractament	t ɾ a k t a m 'e n t	 t ɾ 'a k t a m 'ɛ n t 
tova	t 'o v a	 t 'ɔ v a 
totxo	t 'o t ʃ o	 t 'ɔ t ʃ o 
totes	t 'o t e s	 t 'ɔ t e s 
tossut	t o s 'u t	 t 'ɔ s 'u t 
tossuda	t o s 'u ð a	 t 'ɔ s 'u ð a 
tortures	t o ɾ t 'u ɾ e s	 t 'o ɾ t 'u ɾ e s 
tortuga	t o ɾ t 'u ɣ a	 t 'o ɾ t 'u ɣ a 
torre	t 'o r e	 t 'ɔ r e 
torneig	t o ɾ n 'e t ʃ	 t 'o ɾ n 'ɛ t ʃ 
torero	t o ɾ 'e ɾ o	 t o ɾ 'ɛ ɾ o 
topen	t 'o p e n	 t 'ɔ p e n 
tomba	t 'o m b a	 t 'ɔ m b a 
titelles	t i t 'e ʎ e s	 t i t 'ɛ ʎ e s 
tiretes	t i ɾ 'e t e s	 t i ɾ 'ɛ t e s 
tirem	t i ɾ 'e m	 t i ɾ 'ɛ m 
tirallongues	t i ɾ a ʎ 'o ŋ g e s	 t i ɾ a ʎ 'ɔ ŋ g e s 
tirallonga	t i ɾ a ʎ 'o ŋ g a	 t i ɾ a ʎ 'ɔ ŋ g a 
tinguent	t i ŋ g 'e n t	 t i ŋ g w 'ɛ n t 
tinerfenya	t i n e ɾ f 'e ɲ a	 t i n e ɾ f 'ɛ ɲ a 
testos	t 'e s t o s	 t 'ɛ s t o s 
testa	t 'e s t a	 t 'ɛ s t a 
terraqüi	t e r 'a k w i	 t e r 'a k i 
terceres	t e ɾ s 'e ɾ e s	 t e ɾ s 'ɛ ɾ e s 
tenyidores	t e ɲ i ð 'o ɾ e s	 t e ɲ i ð 'ɔ ɾ e s 
tempteig	t e m t 'e t ʃ	 t e m t 'ɛ t ʃ 
tecleig	t e k l 'e t ʃ	 t e k l 'ɛ t ʃ 
teclegen	t e k l 'e d ʒ e n	 t e k l 'ɛ d ʒ e n 
te'm	t 'e m	 t 'ɛ m 
te'l	t 'e l	 t 'ɛ l 
tartamudejant	t a ɾ t a m u ð e d ʒ 'a n t	 t a ɾ t a m 'u ð e d ʒ 'a n t 
targeta	t a ɾ d ʒ 'e t a	 t a ɾ d ʒ 'ɛ t a 
tangents	t a n d ʒ 'e n s	 t a n d ʒ 'ɛ n t s 
tancament	t a ŋ k a m 'e n t	 t 'a ŋ k a m 'ɛ n t 
tamboret	t a m b o ɾ 'e t	 t a m b o ɾ 'ɛ t 
talladet	t a ʎ a ð 'e t	 t a ʎ a ð 'ɛ t 
t'interessa	t i n t e ɾ 'e s a	 t 'i n t e ɾ 'ɛ s a 
t'hagis	t 'a d ʒ i s	 t 'ɔ d ʒ i s 
t'estimes	t a s t 'i m e s	 t e s t 'i m e s 
t'estima	t a s t 'i m a	 t e s t 'i m a 
t'estic	t a s t 'i k	 t e s t 'i k 
t'enyoro	t e ɲ 'o ɾ o	 t e ɲ 'ɔ ɾ o 
t'ensenyen	t a n s 'e ɲ e n	 t e n s 'ɛ ɲ e n 
t'ensenyaré	t a n s e ɲ a ɾ 'e	 t e n s e ɲ a ɾ 'e 
t'avisarem	t a v i z a ɾ 'e m	 t 'a v i z a ɾ 'ɛ m 
t'adones	t a ð 'o n e s	 t a ð 'ɔ n e s 
súpers	s 'u p e ɾ s	 s 'u p 'e ɾ s 
sòlids	s 'ɔ l i t s	 s 'ɔ l i 'a s 
suspèn	s u s p 'ɛ n	 s 'u s p 'ɛ n 
successos	s u k s 'e s o s	 s u k s 'ɛ s o s 
subministressin	s u b m i n i s t ɾ 'e s i n	 s u b m i n i s t ɾ 'ɛ s i n 
subhasta	s u β 'a s t a	 s u β u 'a s t a 
subgrup	s u b g ɾ 'u p	 s u β ɣ ɾ 'u p 
subfusell	s u p f u z 'e ʎ	 s u p f u z 'ɛ l i 
sotmetre	s o d m 'e t ɾ e	 s o d m 'ɛ t ɾ e 
sotmesos	s o d m 'e z o s	 s o d m 'ɛ z o s 
sostinguda	s o s t i ŋ g 'u ð a	 s o s t 'i ŋ g 'u ð a 
sosteniment	s o s t e n i m 'e n t	 s o s t 'ɛ n i m 'ɛ n t 
sospitosa	s o s p i t 'o z a	 s o s p i t 'ɔ z a 
sospesen	s o s p 'e z e n	 s o s p 'ɛ z e n 
sospesa	s o s p 'e z a	 s o s p 'ɛ z a 
sorrut	s o r 'u t	 s 'o r 'u t 
sorreta	s o r 'e t a	 s 'o r 'ɛ t a 
sorollets	s o ɾ o ʎ 'e t s	 s o ɾ 'o ʎ 'ɛ t s 
sorollet	s o ɾ o ʎ 'e t	 s o ɾ 'o ʎ 'ɛ t 
sorneguera	s o ɾ n e ɣ 'e ɾ a	 s o ɾ n e ɣ 'ɛ ɾ a 
sorna	s 'o ɾ n a	 s 'ɔ ɾ n a 
sopes	s 'o p e s	 s 'ɔ p e s 
sopen	s 'o p e n	 s 'ɔ p e n 
sopa	s 'o p a	 s 'ɔ p a 
sonores	s o n 'o ɾ e s	 s o n 'ɔ ɾ e s 
sols	s 'ɔ l s	 s 'o l s 
solemnes	s o l 'e m n e s	 s o l 'ɛ m n e s 
sofriment	s o f ɾ i m 'e n t	 s 'ɔ f ɾ i m 'ɛ n t 
silvestres	s i l v 'e s t ɾ e s	 s i l v 'ɛ s t ɾ e s 
siguem	s i ɣ 'e m	 s i ɣ 'ɛ m 
setzena	s e d z 'e n a	 s e d z 'ɛ n a 
setena	s e t 'e n a	 s e t 'ɛ n a 
servents	s e ɾ v 'e n s	 s e ɾ v 'ɛ n t s 
serps	s 'e ɾ p s	 s 'ɛ ɾ p s 
serp	s 'e ɾ p	 s 'ɛ ɾ p 
serens	s e ɾ 'e n s	 s e ɾ 'ɛ n s 
ser-ho	s 'e ɾ o	 s 'ɛ ɾ o 
ser-hi	s 'e ɾ i	 s 'ɛ ɾ i 
seques	s 'e k e s	 s 'ɛ k e s 
separem	s e p a ɾ 'e m	 s e p a ɾ 'ɛ m 
senyoret	s e ɲ o ɾ 'e t	 s e ɲ o ɾ 'ɛ t 
senyores	s e ɲ 'o ɾ e s	 s e ɲ 'ɔ ɾ e s 
sents	s 'e n s	 s 'ɛ n t s 
sentint-me	s e n t 'i m m e	 s e n t 'i n d m e 
senten	s 'e n t e n	 s 'ɛ n t e n 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
semblessin	s e m b l 'e s i n	 s e m b l 'ɛ s i n 
seitons	s e j t 'o n s	 s e i t 'o n s 
seduir	s e ð w 'i ɾ	 s e ð u 'i ɾ 
secs	s 'e k s	 s 'ɛ k s 
satisfets	s a t i s f 'e t s	 s a t i s f 'ɛ t s 
satisfet	s a t i s f 'e t	 s a t i s f 'ɛ t 
satisfer	s a t i s f 'e ɾ	 s a t i s f 'ɛ ɾ 
samarretes	s a m a r 'e t e s	 s a m a r 'ɛ t e s 
salts	s 'a l s	 s 'a l t s 
salpebra	s a l p 'e β ɾ a	 s a l p 'ɛ β ɾ a 
saleta	s a l 'e t a	 s a l 'ɛ t a 
sahrauí	s a ɾ a w 'i	 s a r a w 'i 
s'oposen	s o p 'o z e n	 s o p 'ɔ z e n 
s'executen	s e g z e k 'u t e n	 s e k s e k 'u t e n 
s'esperava	s a s p e ɾ 'a v a	 s e s p e ɾ 'a v a 
s'espera	s a s p 'e ɾ a	 s e s p 'ɛ ɾ a 
s'especifiquen	s a s p e s i f 'i k e n	 s e s p e s i f 'i k e n 
s'espantin	s a s p 'a n t i n	 s e s p 'a n t i n 
s'esforçava	s a s f o ɾ s 'a v a	 s e s f o ɾ s 'a v a 
s'escoltà	s a s k o l t 'a	 s e s k o l t 'a 
