big	b 'i tʃ
guardonem	g u a ð o n 'ɛ m
guardonen	g u a d 'ɔ n e n
guardones	g w a ɾ d 'o n e s
guardoneu	g u 'a ð o n 'ɛ 'u
guardonin	g w a ɾ d 'o n i n
guardonis	g w a ɾ d 'o n i s
guardonés	g u a ð o n 'e s
guardàrem	g u a ð 'a ɾ e m
guardàreu	g u a ð 'a ɾ e u
guardàvem	g u a ð 'a β e m
guardàveu	g u 'a ð 'a β e 'u
guareixen	g w a ɾ 'ɛ j ʃ e n
guareixes	g w a ɾ 'ɛ j ʃ e s
guareixin	g w a ɾ 'ɛ i ʃ i n
guareixis	g w a ɾ 'ɛ j ʃ i s
guareschi	g w a ɾ 'ɛ s k i
guaresque	g w a ɾ 'ɛ s k e
guaresqui	g w a ɾ 'ɛ s k i
guaretada	g w a ɾ e t 'a ð a
guaretant	g w a ɾ e t 'a n
Digue	d 'i ɣ e
aguem	a ɣ u 'ɛ m
aguen	'a ɣ e n
agues	'a ɣ e s
agueu	a ɣ 'u 'ɛ 'u
argue	'a ɣ e
begue	b 'ɛ ɣ e
bogue	b 'ɔ ɣ e
cague	k 'a ɣ e
cegue	s 'ɛ ɣ e
cogue	k 'ɔ ɣ e
Alguer	a l ɣ 'e
Baguet	b a ɣ u 'ɛ t
Begues	b 'ɛ ɣ e s
Bigues	b 'i ɣ e s
Dagues	d 'a ɣ e s
Gigues	dʒ 'i ɣ e s
Guerau	g e ɾ 'a
Guerra	g 'ɛ r a
Hugues	a ɣ e s
Huguet	u ɣ u 'ɛ t
Juguem	dʒ u ɣ 'ɛ m
Miguel	m i ɣ 'ɛ l
Mogues	m 'ɔ ɣ e s
Noguer	n o ɣ 'e
Noguet	n 'ɔ ɣ 'u 'ɛ t
Nègueb	n e ɣ 'e
Orguer	o ɾ ɣ 'e
Reguer	r e ɣ 'e
Regueu	r e ɣ 'u 'ɛ 'u
Seguer	s e ɣ 'e
Sogues	s 'ɔ ɣ e s
Tugues	t 'u ɣ e s
Uguell	u ɣ 'e ʎ
Veguer	b e ɣ 'e
Viguet	b 'i ɣ 'u 'ɛ t
adigue	a ð 'i ɣ e
afogue	a f 'ɔ ɣ e
aiguer	a j ɣ 'e
aigues	'a i ɣ e s
ajague	a ʒ 'a ɣ e
alguer	a l ɣ 'e
algues	'a l ɣ e s
amague	a m 'a ɣ e
amigue	a m 'i ɣ e
apague	a p 'a ɣ e
apegue	a p 'ɛ ɣ e
aregue	a ɾ 'ɛ ɣ e
argues	'a ɣ e s
auguet	a 'u ɣ 'u 'ɛ t
baguer	b a ɣ 'e
bagues	b 'a ɣ e s
baguet	b a ɣ u 'ɛ t
beguem	b e ɣ u 'ɛ m
beguen	b 'ɛ ɣ e n
begues	b 'ɛ ɣ e s
begueu	b e ɣ 'u 'ɛ 'u
biguer	b i ɣ 'e
bigues	b 'i ɣ e s
blegue	b l 'ɛ ɣ e
boguem	b 'ɔ ɣ 'u 'ɛ m
boguen	b 'ɔ ɣ e n
bogues	b 'ɔ ɣ e s
bogueu	b 'ɔ ɣ 'u 'ɛ 'u
bregue	b ɾ 'ɛ ɣ e
caguem	k a ɣ 'ɛ m
caguen	k 'a ɣ e n
cagues	k 'a ɣ e s
cagueu	k a ɣ 'u 'ɛ 'u
caigue	k 'a i ɣ e
calgue	k 'a l ɣ e
ceguem	s e ɣ 'ɛ m
ceguen	s 'ɛ ɣ e n
cegues	s 'ɛ ɣ e s
ceguet	s e ɣ u 'ɛ t
cegueu	s e ɣ 'u 'ɛ 'u
clogue	k l 'ɔ ɣ e
coguem	k o ɣ 'ɛ m
coguen	k 'ɔ ɣ e n
cogues	k 'ɔ ɣ e s
cogueu	k o ɣ e 'u
colgue	k 'ɔ l ɣ e
Algueró	a l ɣ e ɾ 'o
Anguera	a ŋ g 'e ɾ a
Bergues	b 'ɛ r ɣ e s
Boïgues	b o 'i ɣ e s
Bruguer	b ɾ u ɣ 'e
Bruguet	b ɾ 'u ɣ 'u 'ɛ t
Burgues	b 'u ɣ e s
Burguet	b u ɾ ɣ u 'ɛ t
Báguena	b ŋ g 'ɛ n a
Droguet	d ɾ 'ɔ ɣ 'u 'ɛ t
Enguera	a ŋ g 'e ɾ a
Farguer	f a ɾ ɣ 'e
Fargues	f 'a ɾ ɣ e s
Figuera	f i ɣ 'e ɾ a
Figueró	f i ɣ e ɾ 'o
Folguer	f o l ɣ 'e
Folguet	f 'ɔ l ɣ 'u 'ɛ t
Gorgues	g 'ɔ ɾ ɣ e s
Minguet	m i ŋ g u 'ɛ t
Mínguez	m i ŋ g 'e z
Noguera	n o ɣ 'e ɾ a
Noguers	n o ɣ 'e s
Nogueró	n o ɣ e ɾ 'o
Oleguer	o l e ɣ 'e
Peguera	p e ɣ 'e ɾ a
Pleguem	p l e ɣ u 'ɛ m
Plegueu	p l e ɣ 'u 'ɛ 'u
Pregueu	p ɾ e ɣ 'u 'ɛ 'u
Raiguer	r a i ɣ 'e
Reguera	r e ɣ 'e ɾ a
Reguers	r e ɣ 'e s
Sargues	s 'a ɾ ɣ e s
Tingues	t 'i ŋ g e s
abnegue	a b n 'ɛ ɣ e
abrigue	a β ɾ 'i ɣ e
abrogue	a β ɾ 'ɔ ɣ e
adargue	a ð 'a ɾ ɣ e
adiguem	a ð 'i ɣ 'u 'ɛ m
adiguen	a ð 'i ɣ e n
adigues	a ð 'i ɣ e s
adigueu	a ð 'i ɣ 'u 'ɛ 'u
afoguem	a f o ɣ 'ɛ m
afoguen	a f 'ɔ ɣ e n
afogues	a f 'ɔ ɣ e s
afogueu	a f 'ɔ ɣ 'ɛ 'u
agregue	a ɣ ɾ 'ɛ ɣ e
aguerrí	a ɣ e r 'i
aiguera	a j ɣ 'e ɾ a
aiguers	a j ɣ 'e s
ajaguem	a ʒ a ɣ 'ɛ m
ajaguen	a ʒ 'a ɣ e n
ajagues	a ʒ 'a ɣ e s
ajagueu	a ʒ a ɣ 'u 'ɛ 'u
ajeguen	a ʒ 'ɛ ɣ e n
ajegues	a ʒ 'ɛ ɣ e s
alagues	a l 'a ɣ e s
alguema	a l ɣ u 'ɛ m a
alguero	a l ɣ 'ɛ ɾ o
alguers	a l ɣ 'e s
aliguer	a l i ɣ 'e
aligues	a l 'i ɣ e s
alligue	a ʎ 'i ɣ e
amaguem	a m a ɣ 'ɛ m
amaguen	a m 'a ɣ e n
amagues	a m 'a ɣ e s
amagueu	a m a ɣ 'u 'ɛ 'u
amargue	a m 'a ɾ ɣ e
amiguem	a m i ɣ 'ɛ m
amiguen	a m 'i ɣ e n
amiguer	a m i ɣ 'e
amigues	a m 'i ɣ e s
amiguet	a m 'i ɣ 'u 'ɛ t
amigueu	a m 'i ɣ 'u 'ɛ 'u
anegues	a n 'ɛ ɣ e s
aneguet	a n e ɣ u 'ɛ t
apaguem	a p a ɣ 'ɛ m
apaguen	a p 'a ɣ e n
apagues	a p 'a ɣ e s
apagueu	a p a ɣ e 'u
apeguem	a p e ɣ 'ɛ m
apeguen	a p 'ɛ ɣ e n
apegues	a p 'ɛ ɣ e s
apegueu	a p e ɣ 'u 'ɛ 'u
aplegue	a p l 'ɛ ɣ e
areguem	a ɾ e ɣ u 'ɛ m
areguen	a ɾ 'ɛ ɣ e n
aregues	a ɾ 'ɛ ɣ e s
aregueu	a ɾ e ɣ 'u 'ɛ 'u
arengue	a ɾ 'ɛ ŋ g e
argueig	a ɾ ɣ u e 'i
argueix	a ɾ ɣ 'ɛ j ʃ
arguell	a ɾ ɣ u 'e ʎ
arguens	a ɾ ɣ 'e n s
arguesc	a ɾ ɣ 'ɛ s k
arrogue	a r 'ɔ ɣ e
arrugue	a r 'u ɣ e
artigue	a t 'i ɣ e
assague	a s 'a ɣ e
assegue	a s 'ɛ ɣ e
atengue	a t 'ɛ ŋ g e
atingue	a t 'i ŋ g e
atorgue	a t 'ɔ ɾ ɣ e
atrague	a t ɾ 'a ɣ e
avengue	a β 'ɛ ŋ g e
avingue	a β 'i ŋ g e
azigues	a z 'i ɣ e s
baguege	b a ɣ u 'ɛ ʒ e
baguegi	b a ɣ u 'ɛ ʒ i
baguegí	b a ɣ e ʒ 'i
bagueig	b a ɣ e 'i
bagueja	b a ɣ 'ɛ ʒ a
baguejo	b a ɣ 'ɛ ʒ o
baguejà	b a ɣ e ʒ 'a
bagueny	b a ɣ u 'ɛ ɲ
baguers	b a ɣ 'e s
bagueta	b a ɣ 'ɛ t a
baguets	b a ɣ u 'ɛ t s
bargues	b 'a ɾ ɣ e s
bategue	b a t 'ɛ ɣ e
beguera	b e ɣ 'e ɾ a
beguetà	b e ɣ e t 'a
belegue	b e l 'ɛ ɣ e
belgues	b 'ɛ l ɣ e s
biguera	b i ɣ 'e ɾ a
biguers	b i ɣ 'e s
bigueta	b 'i ɣ 'u 'ɛ t a
biguetà	b i ɣ e t 'a
bleguem	b l e ɣ u 'ɛ m
bleguen	b l 'ɛ ɣ e n
blegues	b l 'ɛ ɣ e s
blegueu	b l e ɣ 'u 'ɛ 'u
bloguer	b l o ɣ 'e
bofegue	b o f 'ɛ ɣ e
boguera	b o ɣ 'e ɾ a
boigues	b 'ɔ i ɣ e s
bonegue	b o n 'ɛ ɣ e
bouguer	b o u ɣ 'e
boïguer	b o i ɣ 'e
braguer	b ɾ a ɣ 'e
bragues	b ɾ 'a ɣ e s
breguem	b ɾ e ɣ u 'ɛ m
breguen	b ɾ 'ɛ ɣ e n
bregues	b ɾ 'ɛ ɣ e s
bregueu	b ɾ e ɣ 'u 'ɛ 'u
bruguer	b ɾ u ɣ 'e
brugues	b ɾ 'u ɣ e s
bufegue	b u f 'ɛ ɣ e
buguera	b u ɣ 'e ɾ a
burguer	b u ɾ ɣ 'e
bàguena	b 'a ɣ e n a
caguera	k a ɣ 'e ɾ a
caiguem	k a j ɣ u 'ɛ m
caiguen	k 'a i ɣ e n
caigues	k 'a i ɣ e s
caigueu	k a j ɣ 'u 'ɛ 'u
calguem	k a l ɣ u 'ɛ m
calguen	k 'a l ɣ e n
calgues	k 'a l ɣ e s
calgueu	k a l ɣ 'u 'ɛ 'u
cargues	k 'a ɾ ɣ e s
ceguera	s e ɣ 'e ɾ a
ceguesa	s e ɣ 'ɛ z a
cegueta	s e ɣ 'ɛ t a
ceguets	s e ɣ u 'ɛ t s
clergue	k l 'ɛ ɾ ɣ e
cloguem	k l o ɣ 'ɛ m
cloguen	k l 'ɔ ɣ e n
clogues	k l 'ɔ ɣ e s
clogueu	k l 'ɔ ɣ 'u 'ɛ 'u
coguera	k o ɣ 'e ɾ a
colguem	k o l ɣ u 'ɛ m
colguen	k 'ɔ l ɣ e n
colgues	k 'ɔ l ɣ e s
colgueu	k o l ɣ 'u 'ɛ 'u
Adroguer	a ð ɾ o ɣ 'e
Aldeguer	a l d e ɣ 'e
Alguenya	a l ɣ u 'ɛ ɲ a
Arsèguel	a s 'ɛ ɣ e l
Artiguer	a ɾ t i ɣ 'e
Artigues	a t 'i ɣ e s
Balaguer	b a l a ɣ 'e
Berguedà	b e ɾ ɣ e ð 'a
Briguets	b ɾ 'i ɣ 'u 'ɛ t s
Bruguera	b ɾ u ɣ 'e ɾ a
Bruguers	b ɾ u ɣ 'e s
Burguera	b u ɾ ɣ 'e ɾ a
Burguetó	b u ɾ ɣ e t 'o
Falguera	f a l ɣ 'e ɾ a
Falguers	f a l ɣ 'e s
Farguell	f a ɾ ɣ u 'e ʎ
Figueres	f i ɣ 'e ɾ e s
Figuerol	f i ɣ e ɾ 'ɔ l
Ganiguer	g a n i ɣ 'e
Guerrero	g e r 'ɛ ɾ o
Guerrita	g e r 'i t a
Higueras	i ɣ u e ɾ 'a s
Ievgueni	i m b ɣ 'ɛ n i
Lebesgue	l e β 'ɛ z ɣ e
Mariguet	m a ɾ 'i ɣ 'u 'ɛ t
Mateguer	m a t e ɣ 'e
Meseguer	m e z e ɣ 'e
Minguell	m i ŋ g 'e ʎ
Moragues	m o ɾ 'a ɣ e s
Nogueres	n o ɣ 'e ɾ e s
Noguerol	n o ɣ e ɾ 'ɔ l
Ortiguer	o ɾ t i ɣ 'e
Ortigues	o t 'i ɣ e s
Peleguer	p e l e ɣ 'e
Romeguer	r o m e ɣ 'e
Salgueda	s a l ɣ 'ɛ ð a
Salguera	s a l ɣ 'e ɾ a
Sarguera	s a ɾ ɣ 'e ɾ a
Segueixo	s e ɣ 'ɛ j ʃ o
Soriguer	s o ɾ i ɣ 'e
Turigues	t u ɾ 'i ɣ e s
Vegueria	b e ɣ e ɾ 'i a
Xoriguer	tʃ o ɾ i ɣ 'e
abargues	a β 'a ɾ ɣ e s
abneguen	a b n 'ɛ ɣ e n
abnegueu	a b n e ɣ 'u 'ɛ 'u
abofegue	a β o f 'ɛ ɣ e
abriguem	a β ɾ 'i ɣ 'u 'ɛ m
abriguen	a β ɾ 'i ɣ e n
abrigues	a β ɾ 'i ɣ e s
abrigueu	a β ɾ 'i ɣ 'u 'ɛ 'u
abroguem	a β ɾ o ɣ 'ɛ m
abroguen	a β ɾ 'ɔ ɣ e n
abrogues	a β ɾ 'ɔ ɣ e s
abrogueu	a β ɾ 'ɔ ɣ 'u 'ɛ 'u
absolgue	a p s 'ɔ l ɣ e
adarguem	a ð a ɾ ɣ u 'ɛ m
adarguen	a ð 'a ŋ g w e n
adargues	a ð 'a ɾ ɣ e s
adargueu	a ð a ɾ ɣ 'u 'ɛ 'u
adiguens	a ð i ɣ 'e n s
adiguera	a ð i ɣ 'e ɾ a
adroguer	a ð ɾ o ɣ 'e
advengue	a d b 'ɛ ŋ g e
advingue	a d b 'i ŋ g e
afalague	a f a l 'a ɣ e
afamegue	a f a m 'ɛ ɣ e
agreguem	a ɣ ɾ e ɣ u 'ɛ m
agreguen	a ɣ ɾ 'ɛ ɣ e n
agregues	a ɣ ɾ 'ɛ ɣ e s
agregueu	a ɣ ɾ e ɣ 'u 'ɛ 'u
agriguem	a ɣ ɾ 'i ɣ 'u 'ɛ m
agrigueu	a ɣ ɾ 'i ɣ 'u 'ɛ 'u
aguerria	a ɣ e r 'i a
aguerrim	a ɣ e r 'i m
aguerrir	a ɣ e r 'i
aguerrit	a ɣ e r 'i t
aguerriu	a ɣ e r i 'u
aguerrís	a ɣ e r 'i s
aguessem	a ɣ e s 'ɛ m
aguessen	a ɣ u 'ɛ s e n
aguesses	a ɣ u 'ɛ s e s
aguesseu	a ɣ e s 'ɛ u
aguessim	a ɣ e s 'i m
aguessin	a ɣ u 'ɛ s i n
aguessis	a ɣ u 'ɛ s i s
aguessiu	a ɣ e s 'i u
aigueres	a j ɣ 'e ɾ e s
aiguerol	a i ɣ e ɾ 'ɔ l
ajaguera	a ʒ a ɣ 'e ɾ a
albergue	a l β 'ɛ ɾ ɣ e
algueres	a l ɣ 'e ɾ e s
alguerra	a l ɣ u 'ɛ r a
alguerès	a l ɣ e ɾ 'ɛ s
alguerés	a l ɣ e ɾ 'e s
aliguers	a l i ɣ 'e s
allargue	a ʎ 'a ɣ e
alliguem	a ʎ 'i ɣ 'u 'ɛ m
alliguen	a ʎ 'i ɣ e n
alligues	a ʎ 'i ɣ e s
alligueu	a ʎ 'i ɣ 'u 'ɛ 'u
allongue	a ʎ 'ɔ ŋ g e
al·legue	a l 'ɛ ɣ e
amarguem	a m a ɾ ɣ u 'ɛ m
amarguen	a m 'a ɾ ɣ e n
amargues	a m 'a ɾ ɣ e s
amarguet	a m a ɾ ɣ u 'ɛ t
amargueu	a m a ɾ ɣ 'u 'ɛ 'u
ambigues	a m b 'i ɣ e s
amiguera	a m i ɣ 'e ɾ a
amiguers	a m i ɣ 'e s
amigueta	a m i ɣ u 'ɛ t a
amiguets	a m 'i ɣ 'u 'ɛ t s
andeguer	a n d e ɣ 'e
aneguets	a n e ɣ u 'ɛ t s
antigues	a n t 'i ɣ e s
apleguem	a p l e ɣ u 'ɛ m
apleguen	a p l 'ɛ ɣ e n
aplegues	a p l 'ɛ ɣ e s
aplegueu	a p l e ɣ 'u 'ɛ 'u
aporugue	a p o ɾ 'u ɣ e
aprengue	a p ɾ 'ɛ ŋ g e
arenguem	a ɾ e ŋ g 'ɛ m
arenguen	a ɾ 'ɛ ŋ g e n
arengues	a ɾ 'ɛ ŋ g e s
arengueu	a ɾ e ŋ g 'u 'ɛ 'u
argueigs	a ɾ ɣ u e 'i s
argueixi	a ɾ ɣ 'ɛ j ʃ i
argueixo	a ɾ ɣ 'ɛ j ʃ o
arguejos	a ɾ ɣ 'ɛ ʒ o s
arguells	a ɾ ɣ u 'e ʎ s
arguesca	a ɾ ɣ 'ɛ s k a
arguesos	a ɾ ɣ u 'ɛ z o s
armagues	a m 'a ɣ e s
arrengue	a r 'ɛ ŋ g e
arroguem	a r o ɣ 'ɛ m
arroguen	a r 'ɔ ɣ e n
arrogues	a r 'ɔ ɣ e s
arrogueu	a r o ɣ 'u 'ɛ 'u
arruguem	a r 'u ɣ 'u 'ɛ m
arruguen	a r 'u ɣ e n
arrugues	a r 'u ɣ e s
arrugueu	a r 'u ɣ 'u 'ɛ 'u
artegues	a t 'ɛ ɣ e s
artiguem	a ɾ t 'i ɣ 'u 'ɛ m
artiguen	a t 'i ɣ e n
artiguer	a ɾ t i ɣ 'e
artigues	a t 'i ɣ e s
artigueu	a ɾ t 'i ɣ 'u 'ɛ 'u
assaguen	a s 'a ɣ e n
assagueu	a s a ɣ 'u 'ɛ 'u
asseguem	a s e ɣ 'ɛ m
asseguen	a s 'ɛ ɣ e n
assegues	a s 'ɛ ɣ e s
assegueu	a s e ɣ 'u 'ɛ 'u
atenguem	a t e ŋ g 'ɛ m
atenguen	a t 'ɛ ŋ g e n
atengues	a t 'ɛ ŋ g e s
atengueu	a t e ŋ g 'u 'ɛ 'u
atinguem	a t i ŋ g u 'ɛ m
atinguen	a t 'i ŋ g e n
atingues	a t 'i ŋ g e s
atingueu	a t i ŋ g 'u 'ɛ 'u
atorguem	a t 'ɔ ɾ ɣ 'u 'ɛ m
atorguen	a t 'ɔ ɾ g w e n
atorgues	a t 'ɔ ɾ ɣ e s
atorgueu	a t 'ɔ ɾ ɣ 'u 'ɛ 'u
atraguem	a t ɾ a ɣ u 'ɛ m
atraguen	a t ɾ 'a ɣ e n
atragues	a t ɾ 'a ɣ e s
atragueu	a t ɾ a ɣ 'u 'ɛ 'u
atreguen	a t ɾ 'ɛ ɣ e n
atregues	a t ɾ 'ɛ ɣ e s
atuiguem	a t u 'i ɣ 'u 'ɛ m
atuigueu	a t u 'i ɣ 'u 'ɛ 'u
atziague	a d z i 'a ɣ e
aurigues	a u ɾ 'i ɣ e s
avenguem	a β e ŋ g 'ɛ m
avengues	a β 'ɛ ŋ g e s
avengueu	a β e ŋ g 'u 'ɛ 'u
avinguem	a β i ŋ g u 'ɛ m
avinguen	a β 'i ŋ g e n
avingues	a β 'i ŋ g e s
avingueu	a β i ŋ g 'u 'ɛ 'u
badiguer	b a ð i ɣ 'e
baguegem	b a ɣ e ʒ 'ɛ m
baguegen	b a ɣ u 'ɛ ʒ e n
bagueges	b a ɣ u 'ɛ ʒ e s
baguegeu	b a ɣ e ʒ e 'u
baguegin	b a ɣ u 'ɛ ʒ i n
baguegis	b a ɣ u 'ɛ ʒ i s
baguegés	b a ɣ e ʒ 'e s
baguejam	b a ɣ e ʒ 'a m
baguejar	b a ɣ e ʒ 'a
baguejas	b a ɣ e ʒ 'a s
baguejat	b a ɣ e ʒ 'a t
baguejau	b a ɣ e ʒ 'a
baguenys	b a ɣ u 'ɛ ɲ s
baguetes	b a ɣ u 'ɛ t e s
baguette	b a ɣ 'ɛ t t e
baleguer	b a l e ɣ 'e
baliguem	b a l 'i ɣ 'u 'ɛ m
baligueu	b a l 'i ɣ 'u 'ɛ 'u
banyegue	b a ɲ 'ɛ ɣ e
bargueño	b a ɾ ɣ 'ɛ l o
barrigue	b a r 'i ɣ e
bateguem	b a t e ɣ u 'ɛ m
bateguen	b a t 'ɛ g e n
bategues	b a t 'ɛ ɣ e s
bategueu	b a t e ɣ 'u 'ɛ 'u
batzegue	b a d z 'ɛ g e
beguerem	b e ɣ e ɾ 'ɛ m
begueren	b e ɣ 'ɛ ɾ e n
begueres	b e ɣ 'e ɾ e s
beguereu	b e ɣ e ɾ e 'u
beleguem	b e l e ɣ u 'ɛ m
beleguen	b e l 'ɛ ɣ e n
belegues	b e l 'ɛ ɣ e s
belegueu	b e l e ɣ 'u 'ɛ 'u
bellugue	b e ʎ 'u ɣ e
belugues	b e l 'u ɣ e s
bergueda	b e ɾ ɣ 'ɛ ð a
besuguer	b e z u ɣ 'e
bigueres	b i ɣ 'e ɾ e s
biguetes	b 'i ɣ 'u 'ɛ t e s
bilingue	b i l 'i ŋ g e
bleiguem	b l e 'i ɣ 'u 'ɛ m
bleigueu	b l e 'i ɣ 'u 'ɛ 'u
bloguera	b l o ɣ 'e ɾ a
bodeguer	b o ð e ɣ 'e
bodegues	b o ð 'ɛ ɣ e s
bofeguem	b o f e ɣ 'ɛ m
bofeguen	b o f 'ɛ ɣ e n
bofegues	b o f 'ɛ ɣ e s
bofegueu	b o f e ɣ 'u 'ɛ 'u
bogueres	b o ɣ 'e ɾ e s
boneguem	b o n e ɣ u 'ɛ m
boneguen	b o n 'ɛ ɣ e n
bonegues	b o n 'ɛ ɣ e s
bonegueu	b o n e ɣ 'u 'ɛ 'u
boniguem	b o n 'i ɣ 'u 'ɛ m
bonigueu	b o n 'i ɣ 'u 'ɛ 'u
bonyigue	b o ɲ 'i ɣ e
borugues	b o ɾ 'u ɣ e s
botiguem	b o t 'i ɣ 'u 'ɛ m
botiguer	b o t i ɣ 'e
botigues	b o t 'i ɣ e s
botigueu	b o t 'i ɣ 'u 'ɛ 'u
boïguers	b o i ɣ 'e s
braguers	b ɾ a ɣ 'e s
bragueta	b ɾ a ɣ u 'ɛ t a
breguege	b ɾ e ɣ u 'ɛ ʒ e
breguegi	b ɾ e ɣ u 'ɛ ʒ i
breguegí	b ɾ e ɣ e ʒ 'i
bregueig	b ɾ e ɣ e 'i
bregueja	b ɾ e ɣ 'ɛ ʒ a
breguejo	b ɾ e ɣ 'ɛ ʒ o
breguejà	b ɾ e ɣ e ʒ 'a
bruguera	b ɾ u ɣ 'e ɾ a
bruguers	b ɾ u ɣ 'e s
bufeguem	b u f e ɣ 'ɛ m
bufeguen	b u f 'ɛ ɣ e n
bufegues	b u f 'ɛ ɣ e s
bufegueu	b 'u f e ɣ 'u 'ɛ 'u
bufogues	b u f 'ɔ ɣ e s
bugueres	b u ɣ 'e ɾ e s
burguera	b u ɾ ɣ 'e ɾ a
burguero	b u ɾ ɣ 'ɛ ɾ o
burguers	b u ɾ ɣ 'e s
bàcigues	b 'a s i ɣ e s
bòfegues	b 'ɔ f e ɣ e s
caguelis	k a ɣ 'ɛ l i s
cagueres	k a ɣ 'e ɾ e s
caguerot	k a ɣ e ɾ 'ɔ t
caguerri	k a ɣ 'ɛ r i
caguetes	k a ɣ 'ɛ t e s
caiguera	k a j ɣ 'e ɾ a
calcigue	k a l s 'i ɣ e
calguera	k a l ɣ 'e ɾ a
caligues	k a l 'i ɣ e s
calugues	k a l 'u ɣ e s
cangueli	k a ŋ g 'ɛ l i
canguelo	k a ŋ g 'ɛ l o
capiguem	k a p i ɣ 'ɛ m
capiguen	k a p 'i ɣ e n
capigues	k a p 'i ɣ e s
capigueu	k a p 'i ɣ 'u 'ɛ 'u
carregue	k a r 'ɛ ɣ e
castigue	k a s t 'i ɣ e
caveguet	k a β e ɣ u 'ɛ t
cediguem	s e ð 'i ɣ 'u 'ɛ m
cedigueu	s e ð 'i ɣ 'u 'ɛ 'u
cegueres	s e ɣ 'e ɾ e s
ceguerós	s e ɣ e ɾ 'o s
cegueses	s e ɣ 'ɛ z e s
ceguetat	s e ɣ e t 'a t
ceguetes	s e ɣ 'ɛ t e s
ciavogue	s i a β 'ɔ ɣ e
clergues	k l 'ɛ ɾ ɣ e s
cloguera	k l o ɣ 'e ɾ a
coguerem	k o ɣ e ɾ 'ɛ m
cogueren	k o ɣ 'ɛ ɾ e n
cogueres	k o ɣ 'e ɾ e s
coguereu	k o ɣ e ɾ e 'u
colguera	k o l ɣ 'e ɾ a
commogue	k o m m 'ɔ ɣ e
Aguerrits	a ɣ e r 'i t s
Alerigues	a l e ɾ 'i ɣ e s
Anguerola	a ŋ g e ɾ 'ɔ l a
Armenguer	a ɾ m e ŋ g 'e
Artiguell	a ɾ t i ɣ u 'e ʎ
Artiguera	a ɾ t i ɣ 'e ɾ a
Bailaguet	b 'a j l a ɣ 'u 'ɛ t
Balagueró	b a l a ɣ e ɾ 'o
Belenguer	b e l e ŋ g 'e
Berenguer	b e ɾ e ŋ g 'e
Brugueres	b ɾ u ɣ 'e ɾ e s
Bruguerol	b ɾ u ɣ e ɾ 'ɔ l
Burniguer	b u ɾ n i ɣ 'e
Correguem	k o r e ɣ u 'ɛ m
Càldegues	k 'a l d e ɣ e s
Daguestan	d a ɣ e s t 'a n
Domínguez	d o m i ŋ g 'e z
Escrigues	a s k ɾ 'i ɣ e s
Esplugues	a s p l 'u ɣ e s
Falaguera	f a l a ɣ 'e ɾ a
Falgueres	f a l ɣ 'e ɾ e s
Figuereda	f i ɣ e ɾ 'ɛ ð a
Figuerola	f i ɣ e ɾ 'ɔ l a
Fulguenci	f u l ɣ 'e ŋ i
Fàbregues	f 'a β ɾ e ɣ e s
Galleguet	g a ʎ e ɣ u 'ɛ t
Garanguer	g a ɾ a ŋ g 'e
Garriguer	g a r i ɣ 'e
Garrigues	g a r 'i ɣ e s
Guernesey	g e n e s 'ɛ
Guingueta	g i ŋ g u 'ɛ t a
Guiriguet	g i ɾ 'i ɣ 'u 'ɛ t
Llarguers	ʎ a ɾ ɣ 'e s
Merangues	m e ɾ 'a ŋ g e s
Messeguer	m e s e ɣ 'e
Minguella	m i ŋ g 'e ʎ a
Noguereda	n o ɣ e ɾ 'ɛ ð a
Noguerola	n o ɣ e ɾ 'ɔ l a
Pedreguer	p e ð ɾ e ɣ 'e
Perdiguer	p e ɾ ð i ɣ 'e
Puiggueró	p u j ŋ g e ɾ 'o
Refreguem	r e f ɾ e ɣ u 'ɛ m
Rodríguez	r o ð ɾ i ɣ 'e z
Romeguera	r o m e ɣ 'e ɾ a
Romeguers	r o m e ɣ 'e s
Sarguetal	s a ɾ ɣ e t 'a l
Soriguera	s o ɾ i ɣ 'e ɾ a
Torrigues	t o r 'i ɣ e s
Traiguera	t ɾ a i ɣ 'e ɾ a
Verdaguer	b e r ð a ɣ 'e
Verdeguer	b e r d e ɣ 'e
Vingueren	b i ŋ g 'ɛ ɾ e n
Xoriguera	tʃ o ɾ i ɣ 'e ɾ a
abassegue	a β a s 'ɛ ɣ e
abduiguem	a b d u 'i ɣ 'u 'ɛ m
abduigueu	a b d u 'i ɣ 'u 'ɛ 'u
abofeguen	a β o f 'ɛ ɣ e n
abofegueu	a β o f e ɣ 'u 'ɛ 'u
aboliguem	a β o l 'i ɣ 'u 'ɛ m
aboligueu	a β o l 'i ɣ 'u 'ɛ 'u
aboniguem	a β o n 'i ɣ 'u 'ɛ m
abonigueu	a β o n 'i ɣ 'u 'ɛ 'u
abonyegue	a β o ɲ 'ɛ ɣ e
aborregue	a β o r 'ɛ ɣ e
absolguem	a p s 'ɔ l ɣ 'u 'ɛ m
absolguen	a p s 'ɔ l ɣ e n
absolgues	a p s 'ɔ l ɣ e s
absolgueu	a p s 'ɔ l ɣ 'u 'ɛ 'u
abstingue	a p s t 'i ŋ g e
abstrague	a p s t ɾ 'a ɣ e
acorregue	a k o r 'ɛ ɣ e
acudiguem	a k 'u ð 'i ɣ 'u 'ɛ m
acudigueu	a k 'u ð 'i ɣ 'u 'ɛ 'u
adduiguem	a d d u 'i ɣ 'u 'ɛ m
