big	b 'i tʃ }
enguanten	ə ŋ g w 'a n t ə n }
enguantes	ə ŋ g w 'a n t ə s }
enguanteu	ə ŋ g w ə n t 'ɛ w }
enguantin	ə ŋ g w 'a n t i n }
enguantis	ə ŋ g w 'a n t i s }
enguantés	ə ŋ g w ə n t 'e s }
ennaiguar	ə n n ə i ɣ u 'a }
esguardam	ə z ɣ u ə ɾ ð 'a m }
esguardar	ə z ɣ u ə ɾ ð 'a }
esguardas	ə z ɣ u 'a ɾ ð ə s }
esguardat	ə z ɣ u ə ɾ ð 'a t }
esguardau	ə z ɣ u ə ɾ ð 'a w }
esguardem	ə z ɣ u ə ɾ ð 'e m }
esguarden	ə z ɣ u 'a ɾ ð ə n }
esguardes	ə z ɣ u 'a ɾ ð ə s }
esguardeu	ə z ɣ u ə ɾ ð 'ɛ w }
esguardin	ə z ɣ u 'a ɾ ð i n }
esguardis	ə z ɣ u 'a ɾ ð i s }
esguardés	ə z ɣ u ə ɾ ð 'e s }
guacamais	g w ə k ə m 'a j s }
guacamole	g w ə k ə m 'ɔ l ə }
guadalupà	g w ə ð ə l u p 'a }
guadianés	g w ə ð i ə n 'e s }
guaiabers	g w ə j ə β 'e s }
guaiacols	g w ə i ə k 'ɔ l s }
guaianesa	g w ə j ə n 'e z ə }
guaicurús	g w ə j k u ɾ 'u s }
guaitades	g w ə i t 'a ð ə s }
guaitaran	g w ə j t ə ɾ 'a n }
guaitaras	g w ə i t 'a ɾ ə s }
guaitarem	g w ə j t ə ɾ 'e m }
guaitaren	g w ə i t 'a ɾ ə n }
guaitares	g w ə i t 'a ɾ ə s }
guaitareu	g w ə j t ə ɾ 'ə w }
guaitaria	g w ə j t ə ɾ 'i ə }
guaitaràs	g w ə j t ə ɾ 'a s }
guaitavem	g w ə j t ə v 'e m }
guaitaven	g w ə i t 'a v ə n }
guaitaves	g w ə i t 'a v ə s }
guaitaveu	g w ə j t ə v 'ɛ w }
guaitxins	g w ə j tʃ 'i n s }
guaitàrem	g w ə i t 'a ɾ ə m }
guaitàreu	g w ə i t 'a ɾ ə w }
guaitàvem	g w ə i t 'a v ə m }
guaitàveu	g w ə i t 'a v ə w }
guaixades	g w ə ʃ 'a ð ə s }
guaixaran	g w ə ʃ ə ɾ 'a n }
guaixaras	g w ə ʃ 'a ɾ ə s }
guaixarem	g w ə ʃ ə ɾ 'e m }
guaixaren	g w ə ʃ 'a ɾ ə n }
guaixares	g w ə ʃ 'a ɾ ə s }
guaixareu	g w ə ʃ ə ɾ 'ə w }
guaixaria	g w ə ʃ ə ɾ 'i ə }
guaixaràs	g w ə ʃ ə ɾ 'a s }
guaixavem	g w ə ʃ ə v 'e m }
guaixaven	g w ə ʃ 'a v ə n }
guaixaves	g w ə ʃ 'a v ə s }
guaixaveu	g w ə ʃ ə v 'ɛ w }
guaixàrem	g w ə ʃ 'a ɾ ə m }
guaixàreu	g w ə ʃ 'a ɾ ə w }
guaixàvem	g w ə ʃ 'a v ə m }
guaixàveu	g w ə ʃ 'a v ə w }
gualatina	g w ə l ə t 'i n ə }
gualbenca	g w ə l β 'e ŋ k ə }
gualbencs	g w ə l β 'e n s }
gualdrapa	g w ə l d ɾ 'a p ə }
gualtenca	g w ə l t 'e ŋ k ə }
gualtencs	g w ə l t 'e n s }
guanabana	g w ə n ə β 'a n ə }
guanidina	g w ə n i ð 'i n ə }
guanidini	g w ə n i ð 'i n i }
guanilats	g w ə n i l 'a t s }
guanosina	g w ə n o z 'i n ə }
guantades	g w ə n t 'a ð ə s }
guanteres	g w ə n t 'e ɾ ə s }
guanteria	g w ə n t ə ɾ 'i ə }
guanyades	g w ə ɲ 'a ð ə s }
guanyador	g w ə ɲ ə ð 'o }
guanyaran	g w ə ɲ ə ɾ 'a n }
guanyaras	g w ə ɲ 'a ɾ ə s }
guanyarem	g w ə ɲ ə ɾ 'e m }
guanyaren	g w ə ɲ 'a ɾ ə n }
guanyares	g w ə ɲ 'a ɾ ə s }
guanyareu	g w ə ɲ ə ɾ 'ə w }
guanyaria	g w ə ɲ ə ɾ 'i ə }
guanyaràs	g w ə ɲ ə ɾ 'a s }
guanyavem	g w ə ɲ ə v 'e m }
guanyaven	g w ə ɲ 'a v ə n }
guanyaves	g w ə ɲ 'a v ə s }
guanyaveu	g w ə ɲ ə v 'ɛ w }
guanyàrem	g w ə ɲ 'a ɾ ə m }
guanyàreu	g w ə ɲ 'a ɾ ə w }
guanyàvem	g w ə ɲ 'a v ə m }
guanyàveu	g w ə ɲ 'a v ə w }
guanàbana	g w ə n 'a β ə n ə }
guapíssim	g w ə p 'i s i m }
guaraches	g w ə ɾ 'a k ə s }
guaranans	g w ə ɾ ə n 'a n s }
guardades	g w ə ɾ ð 'a ð ə s }
guardador	g w ə ɾ ð ə ð 'o }
guardafoc	g w ə ɾ ð ə f 'ɔ k }
guardafum	g w ə ɾ ð ə f 'u m }
guardamic	g w ə ɾ ð ə m 'i k }
guardanas	g w ə ɾ ð 'a n ə s }
guardanàs	g w ə ɾ ð ə n 'a s }
guardapeu	g w ə ɾ ð ə p 'ə w }
guardapit	g w ə ɾ ð ə p 'i t }
guardaran	g w ə ɾ ð ə ɾ 'a n }
guardaras	g w ə ɾ ð 'a ɾ ə s }
guardarem	g w ə ɾ ð ə ɾ 'e m }
guardaren	g w ə ɾ ð 'a ɾ ə n }
guardares	g w ə ɾ ð 'a ɾ ə s }
guardareu	g w ə ɾ ð ə ɾ 'ə w }
guardaria	g w ə ɾ ð ə ɾ 'i ə }
guardaràs	g w ə ɾ ð ə ɾ 'a s }
guardavem	g w ə ɾ ð ə v 'e m }
guardaven	g w ə ɾ ð 'a v ə n }
guardaves	g w ə ɾ ð 'a v ə s }
guardaveu	g w ə ɾ ð ə v 'ɛ w }
guardavia	g w ə ɾ ð ə v 'i ə }
guarderia	g w ə ɾ ð ə ɾ 'i ə }
guardessa	g w ə ɾ ð 'e s ə }
guardiana	g w ə ɾ ð i 'a n ə }
guardians	g w ə ɾ ð i 'a n s }
guardiola	g w ə ɾ ð i 'ɔ l ə }
guardonam	g w ə ɾ ð o n 'a m }
guardonar	g w ə ɾ ð o n 'a }
guardonas	g w ə ɾ ð 'ɔ n ə s }
guardonat	g w ə ɾ ð o n 'a t }
guardonau	g w ə ɾ ð o n 'a w }
guardonem	g w ə ɾ ð o n 'e m }
guardonen	g w ə ɾ ð 'ɔ n ə n }
guardones	g w ə ɾ ð 'o n ə s }
guardoneu	g w ə ɾ ð o n 'ɛ w }
guardonin	g w ə ɾ ð 'o n i n }
guardonis	g w ə ɾ ð 'o n i s }
guardonés	g w ə ɾ ð o n 'e s }
guardàrem	g w ə ɾ ð 'a ɾ ə m }
guardàreu	g w ə ɾ ð 'a ɾ ə w }
guardàvem	g w ə ɾ ð 'a v ə m }
guardàveu	g w ə ɾ ð 'a v ə w }
guareixen	g w ə ɾ 'e ʃ ə n }
guareixes	g w ə ɾ 'e ʃ ə s }
guareixin	g w ə ɾ 'ɛ ʃ i n }
guareixis	g w ə ɾ 'ɛ ʃ i s }
guareschi	g w ə ɾ 'ə s k i }
guaresque	g w ə ɾ 'ə s k ə }
guaresqui	g w ə ɾ 'ə s k i }
guaretada	g w ə ɾ ə t 'a ð ə }
guaretant	g w ə ɾ ə t 'a n t }
Digue	d 'i ɣ ə }
aguem	ə ɣ 'e m }
aguen	'a ɣ ə n }
agues	'a ɣ ə s }
agueu	ə ɣ 'ɛ w }
argue	'a ɾ ɣ ə }
begue	b 'ɛ ɣ ə }
bogue	b 'ɔ ɣ ə }
cague	k 'a ɣ ə }
cegue	s 'ə ɣ ə }
cogue	k 'ɔ ɣ ə }
Alguer	ə l ɣ 'e }
Baguet	b ə ɣ 'e t }
Begues	b 'ɛ ɣ ə s }
Bigues	b 'i ɣ ə s }
Dagues	d 'a ɣ ə s }
Gigues	ʒ 'i ɣ ə s }
Guerau	g ə ɾ 'a w }
Guerra	g 'ɛ r ə }
Hugues	ə ɣ ə s }
Huguet	u ɣ 'e t }
Juguem	ʒ u ɣ 'e m }
Miguel	m i ɣ 'ɛ l }
Mogues	m 'ɔ ɣ ə s }
Noguer	n o ɣ 'e }
Noguet	n o ɣ 'e t }
Nègueb	n 'ə ɣ ə β }
Orguer	o ɾ ɣ 'e }
Reguer	r ə ɣ 'e }
Regueu	r ə ɣ 'ɛ w }
Seguer	s ə ɣ 'e }
Sogues	s 'ɔ ɣ ə s }
Tugues	t 'u ɣ ə s }
Uguell	u ɣ 'e ʎ }
Veguer	v ə ɣ 'e }
Viguet	v i ɣ 'e t }
adigue	ə ð 'i ɣ ə }
afogue	ə f 'ɔ ɣ ə }
aiguer	ə j ɣ 'e }
aigues	'a j ɣ ə s }
ajague	ə ʒ 'a ɣ ə }
alguer	ə l ɣ 'e }
algues	'a l ɣ ə s }
amague	ə m 'a ɣ ə }
amigue	ə m 'i ɣ ə }
apague	ə p 'a ɣ ə }
apegue	ə p 'ə ɣ ə }
aregue	ə ɾ 'ə ɣ ə }
argues	'a ɾ ɣ ə s }
auguet	ə w ɣ 'e t }
baguer	b ə ɣ 'e }
bagues	b 'a ɣ ə s }
baguet	b ə ɣ 'e t }
beguem	b ə ɣ 'e m }
beguen	b 'e ɣ ə n }
begues	b 'ɛ ɣ ə s }
begueu	b ə ɣ 'ɛ w }
biguer	b i ɣ 'e }
bigues	b 'i ɣ ə s }
blegue	b l 'ə ɣ ə }
boguem	b o ɣ 'e m }
boguen	b 'ɔ ɣ ə n }
bogues	b 'ɔ ɣ ə s }
bogueu	b o ɣ 'ɛ w }
bregue	b ɾ 'ɛ ɣ ə }
caguem	k ə ɣ 'e m }
caguen	k 'a ɣ ə n }
cagues	k 'a ɣ ə s }
cagueu	k ə ɣ 'ɛ w }
caigue	k 'a j ɣ ə }
calgue	k 'a l ɣ ə }
ceguem	s ə ɣ 'e m }
ceguen	s 'e ɣ ə n }
cegues	s 'ə ɣ ə s }
ceguet	s ə ɣ 'e t }
cegueu	s ə ɣ 'ɛ w }
clogue	k l 'ɔ ɣ ə }
coguem	k o ɣ 'e m }
coguen	k 'ɔ ɣ ə n }
cogues	k 'ɔ ɣ ə s }
cogueu	k o ɣ 'ɛ w }
colgue	k 'ɔ l ɣ ə }
Algueró	ə l ɣ ə ɾ 'o }
Anguera	ə ŋ g 'e ɾ ə }
Bergues	b 'ɛ ɾ ɣ ə s }
Boïgues	b o 'i ɣ ə s }
Bruguer	b ɾ u ɣ 'e }
Bruguet	b ɾ u ɣ 'e t }
Burgues	b 'u ɾ ɣ ə s }
Burguet	b u ɾ ɣ 'e t }
Báguena	b ə ɣ 'e n ə }
Droguet	d ɾ o ɣ 'e t }
Enguera	ə ŋ g 'e ɾ ə }
Farguer	f ə ɾ ɣ 'e }
Fargues	f 'a ɾ ɣ ə s }
Figuera	f i ɣ 'e ɾ ə }
Figueró	f i ɣ ə ɾ 'o }
Folguer	f o l ɣ 'e }
Folguet	f o l ɣ 'e t }
Gorgues	g 'ɔ ɾ ɣ ə s }
Minguet	m i ŋ g 'e t }
Mínguez	m i ŋ g 'ə z }
Noguera	n o ɣ 'e ɾ ə }
Noguers	n o ɣ 'e s }
Nogueró	n o ɣ ə ɾ 'o }
Oleguer	o l ə ɣ 'e }
Peguera	p ə ɣ 'e ɾ ə }
Pleguem	p l ə ɣ 'e m }
Plegueu	p l ə ɣ 'ɛ w }
Pregueu	p ɾ ə ɣ 'ɛ w }
Raiguer	r ə j ɣ 'e }
Reguera	r ə ɣ 'e ɾ ə }
Reguers	r ə ɣ 'e s }
Sargues	s 'a ɾ ɣ ə s }
Tingues	t 'i ŋ g ə s }
abnegue	ə β n 'ɛ ɣ ə }
abrigue	ə β ɾ 'i ɣ ə }
abrogue	ə β ɾ 'ɔ ɣ ə }
adargue	ə ð 'a ɾ ɣ ə }
adiguem	ə ð i ɣ 'e m }
adiguen	ə ð 'i ɣ ə n }
adigues	ə ð 'i ɣ ə s }
adigueu	ə ð i ɣ 'ɛ w }
afoguem	ə f o ɣ 'e m }
afoguen	ə f 'ɔ ɣ ə n }
afogues	ə f 'ɔ ɣ ə s }
afogueu	ə f o ɣ 'ɛ w }
agregue	ə ɣ ɾ 'ə ɣ ə }
aguerrí	ə ɣ ə r 'i }
aiguera	ə j ɣ 'e ɾ ə }
aiguers	ə j ɣ 'e s }
ajaguem	ə ʒ ə ɣ 'e m }
ajaguen	ə ʒ 'a ɣ ə n }
ajagues	ə ʒ 'a ɣ ə s }
ajagueu	ə ʒ ə ɣ 'ɛ w }
ajeguen	ə ʒ 'e ɣ ə n }
ajegues	ə ʒ 'ɛ ɣ ə s }
alagues	ə l 'a ɣ ə s }
alguema	ə l ɣ u 'e m ə }
alguero	ə l ɣ 'ɛ ɾ o }
alguers	ə l ɣ 'e s }
aliguer	ə l i ɣ 'e }
aligues	ə l 'i ɣ ə s }
alligue	ə ʎ 'i ɣ ə }
amaguem	ə m ə ɣ 'e m }
amaguen	ə m 'a ɣ ə n }
amagues	ə m 'a ɣ ə s }
amagueu	ə m ə ɣ 'ɛ w }
amargue	ə m 'a ɾ ɣ ə }
amiguem	ə m i ɣ 'e m }
amiguen	ə m 'i ɣ ə n }
amiguer	ə m i ɣ 'e }
amigues	ə m 'i ɣ ə s }
amiguet	ə m i ɣ 'e t }
amigueu	ə m i ɣ 'ɛ w }
anegues	ə n 'ə ɣ ə s }
aneguet	ə n ə ɣ 'e t }
apaguem	ə p ə ɣ 'e m }
apaguen	ə p 'a ɣ ə n }
apagues	ə p 'a ɣ ə s }
apagueu	ə p ə ɣ 'ɛ w }
apeguem	ə p ə ɣ 'e m }
apeguen	ə p 'e ɣ ə n }
apegues	ə p 'ə ɣ ə s }
apegueu	ə p ə ɣ 'ɛ w }
aplegue	ə p l 'ə ɣ ə }
areguem	ə ɾ ə ɣ 'e m }
areguen	ə ɾ 'e ɣ ə n }
aregues	ə ɾ 'ə ɣ ə s }
aregueu	ə ɾ ə ɣ 'ɛ w }
arengue	ə ɾ 'ə ŋ g ə }
argueig	ə ɾ ɣ 'e ʃ }
argueix	ə ɾ ɣ 'e ʃ }
arguell	ə ɾ ɣ u 'e ʎ }
arguens	ə ɾ ɣ 'ə n s }
arguesc	ə ɾ ɣ 'ə s k }
arrogue	ə r 'ɔ ɣ ə }
arrugue	ə r 'u ɣ ə }
artigue	ə ɾ t 'i ɣ ə }
assague	ə s 'a ɣ ə }
assegue	ə s 'ə ɣ ə }
atengue	ə t 'ɛ ŋ g ə }
atingue	ə t 'i ŋ g ə }
atorgue	ə t 'ɔ ɾ ɣ ə }
atrague	ə t ɾ 'a ɣ ə }
avengue	ə v 'ɛ ŋ g ə }
avingue	ə v 'i ŋ g ə }
azigues	ə z 'i ɣ ə s }
baguege	b ə ɣ 'ə ʒ ə }
baguegi	b ə ɣ 'ɛ ʒ i }
baguegí	 b e ɣ ə ʒ 'i }
bagueig	b ə ɣ 'e ʃ }
bagueja	b ə ɣ 'e ʒ ə }
baguejo	b ə ɣ 'ɛ ʒ o }
baguejà	 b e ɣ ə ʒ 'a }
bagueny	b ə ɣ 'ə ɲ }
baguers	b ə ɣ 'e s }
bagueta	b ə ɣ 'e t ə }
baguets	b ə ɣ 'e t s }
bargues	b 'a ɾ ɣ ə s }
bategue	b ə t 'ə ɣ ə }
beguera	b ə ɣ 'e ɾ ə }
beguetà	b ə ɣ ə t 'a }
belegue	b ə l 'ə ɣ ə }
belgues	b 'ɛ l ɣ ə s }
biguera	b i ɣ 'e ɾ ə }
biguers	b i ɣ 'e s }
bigueta	b i ɣ 'e t ə }
biguetà	b i ɣ ə t 'a }
bleguem	b l ə ɣ 'e m }
bleguen	b l 'e ɣ ə n }
blegues	b l 'ə ɣ ə s }
blegueu	b l ə ɣ 'ɛ w }
bloguer	b l o ɣ 'e }
bofegue	b o f 'ɛ ɣ ə }
boguera	b o ɣ 'e ɾ ə }
boigues	b 'ɔ j ɣ ə s }
bonegue	b o n 'ɛ ɣ ə }
bouguer	b o w ɣ 'e }
boïguer	b o i ɣ 'e }
braguer	b ɾ ə ɣ 'e }
bragues	b ɾ 'a ɣ ə s }
breguem	b ɾ ə ɣ 'e m }
breguen	b ɾ 'e ɣ ə n }
bregues	b ɾ 'ɛ ɣ ə s }
bregueu	b ɾ ə ɣ 'ɛ w }
bruguer	b ɾ u ɣ 'e }
brugues	b ɾ 'u ɣ ə s }
bufegue	b u f 'ɛ ɣ ə }
buguera	b u ɣ 'e ɾ ə }
burguer	b u ɾ ɣ 'e }
bàguena	b 'a ɣ ə n ə }
caguera	k ə ɣ 'e ɾ ə }
caiguem	k ə j ɣ 'e m }
caiguen	k 'a j ɣ ə n }
caigues	k 'a j ɣ ə s }
caigueu	k ə j ɣ 'ɛ w }
calguem	k ə l ɣ 'e m }
calguen	k 'a l ɣ ə n }
calgues	k 'a l ɣ ə s }
calgueu	k ə l ɣ 'ɛ w }
cargues	k 'a ɾ ɣ ə s }
ceguera	s ə ɣ 'e ɾ ə }
ceguesa	s ə ɣ 'e s ə }
cegueta	s ə ɣ 'e t ə }
ceguets	s ə ɣ 'e t s }
clergue	k l 'ɛ ɾ ɣ ə }
cloguem	k l o ɣ 'e m }
cloguen	k l 'ɔ ɣ ə n }
clogues	k l 'ɔ ɣ ə s }
clogueu	k l o ɣ 'ɛ w }
coguera	k o ɣ 'e ɾ ə }
colguem	k o l ɣ 'e m }
colguen	k 'ɔ l ɣ ə n }
colgues	k 'ɔ l ɣ ə s }
colgueu	k o l ɣ 'ɛ w }
Adroguer	ə ð ɾ o ɣ 'e }
Aldeguer	ə l d ə ɣ 'e }
Alguenya	ə l ɣ 'ə ɲ ə }
Arsèguel	ə ɾ s 'ə ɣ ə l }
Artiguer	ə ɾ t i ɣ 'e }
Artigues	ə ɾ t 'i ɣ ə s }
Balaguer	b ə l ə ɣ 'e }
Berguedà	b ə ɾ ɣ ə ð 'a }
Briguets	b ɾ i ɣ 'e t s }
Bruguera	b ɾ u ɣ 'e ɾ ə }
Bruguers	b ɾ u ɣ 'e s }
Burguera	b u ɾ ɣ 'e ɾ ə }
Burguetó	b u ɾ ɣ ə t 'o }
Falguera	f ə l ɣ 'e ɾ ə }
Falguers	f ə l ɣ 'e s }
Farguell	f ə ɾ ɣ u 'e ʎ }
Figueres	f i ɣ 'e ɾ ə s }
Figuerol	f i ɣ ə ɾ 'ɔ l }
Ganiguer	g ə n i ɣ 'e }
Guerrero	g ə r 'ɛ ɾ o }
Guerrita	g ə r 'i t ə }
Higueras	i ɣ 'ɛ ɾ ə s }
Ievgueni	i ə v ɣ u 'ɛ n i }
Lebesgue	l ə β 'ɛ z ɣ ə }
Mariguet	m ə ɾ i ɣ 'e t }
Mateguer	m ə t ə ɣ 'e }
Meseguer	m ə z ə ɣ 'e }
Minguell	m i ŋ g 'e ʎ }
Moragues	m o ɾ 'a ɣ ə s }
Nogueres	n o ɣ 'e ɾ ə s }
Noguerol	n o ɣ ə ɾ 'ɔ l }
Ortiguer	o ɾ t i ɣ 'e }
Ortigues	o ɾ t 'i ɣ ə s }
Peleguer	p ə l ə ɣ 'e }
Romeguer	r o m ə ɣ 'e }
Salgueda	s ə l ɣ 'ə ð ə }
Salguera	s ə l ɣ 'e ɾ ə }
Sarguera	s ə ɾ ɣ 'e ɾ ə }
Segueixo	s ə ɣ 'e ʃ o }
Soriguer	s o ɾ i ɣ 'e }
Turigues	t u ɾ 'i ɣ ə s }
Vegueria	v ə ɣ ə ɾ 'i ə }
Xoriguer	ʃ o ɾ i ɣ 'e }
abargues	ə β 'a ɾ ɣ ə s }
abneguen	ə β n 'e ɣ ə n }
abnegueu	ə β n ə ɣ 'ɛ w }
abofegue	ə β o f 'ɛ ɣ ə }
abriguem	ə β ɾ i ɣ 'e m }
abriguen	ə β ɾ 'i ɣ ə n }
abrigues	ə β ɾ 'i ɣ ə s }
abrigueu	ə β ɾ i ɣ 'ɛ w }
abroguem	ə β ɾ o ɣ 'e m }
abroguen	ə β ɾ 'ɔ ɣ ə n }
abrogues	ə β ɾ 'ɔ ɣ ə s }
abrogueu	ə β ɾ o ɣ 'ɛ w }
absolgue	ə t s 'ɔ l ɣ ə }
adarguem	ə ð ə ɾ ɣ 'e m }
adarguen	ə ð 'a ɾ ɣ ə n }
adargues	ə ð 'a ɾ ɣ ə s }
adargueu	ə ð ə ɾ ɣ 'ɛ w }
adiguens	ə ð i ɣ 'ə n s }
adiguera	ə ð i ɣ 'e ɾ ə }
adroguer	ə ð ɾ o ɣ 'e }
advengue	ə ð v 'ɛ ŋ g ə }
advingue	ə ð v 'i ŋ g ə }
afalague	ə f ə l 'a ɣ ə }
afamegue	ə f ə m 'ɛ ɣ ə }
agreguem	ə ɣ ɾ ə ɣ 'e m }
agreguen	ə ɣ ɾ 'e ɣ ə n }
agregues	ə ɣ ɾ 'ə ɣ ə s }
agregueu	ə ɣ ɾ ə ɣ 'ɛ w }
agriguem	ə ɣ ɾ i ɣ 'e m }
agrigueu	ə ɣ ɾ i ɣ 'ɛ w }
aguerria	ə ɣ ə r 'i ə }
aguerrim	ə ɣ ə r 'i m }
aguerrir	ə ɣ ə r 'i }
aguerrit	ə ɣ ə r 'i t }
aguerriu	ə ɣ ə r 'i w }
aguerrís	ə ɣ ə r 'i s }
aguessem	ə ɣ ə s 'e m }
aguessen	ə ɣ 'e s ə n }
aguesses	ə ɣ 'ə s ə s }
aguesseu	ə ɣ ə s 'ɛ w }
aguessim	ə ɣ ə s 'i m }
aguessin	ə ɣ 'ə s i n }
aguessis	ə ɣ 'ə s i s }
aguessiu	ə ɣ ə s 'i w }
aigueres	ə j ɣ 'e ɾ ə s }
aiguerol	ə j ɣ ə ɾ 'ɔ l }
ajaguera	ə ʒ ə ɣ 'e ɾ ə }
albergue	ə l β 'ɛ ɾ ɣ ə }
algueres	ə l ɣ 'e ɾ ə s }
alguerra	ə l ɣ 'ɛ r ə }
alguerès	ə l ɣ ə ɾ 'ə s }
alguerés	ə l ɣ ə ɾ 'e s }
aliguers	ə l i ɣ 'e s }
allargue	ə ʎ 'a ɾ ɣ ə }
alliguem	ə ʎ i ɣ 'e m }
alliguen	ə ʎ 'i ɣ ə n }
alligues	ə ʎ 'i ɣ ə s }
alligueu	ə ʎ i ɣ 'ɛ w }
allongue	ə ʎ 'ɔ ŋ g ə }
al·legue	ə l 'ə ɣ ə }
amarguem	ə m ə ɾ ɣ 'e m }
amarguen	ə m 'a ɾ ɣ ə n }
amargues	ə m 'a ɾ ɣ ə s }
amarguet	ə m ə ɾ ɣ 'e t }
amargueu	ə m ə ɾ ɣ 'ɛ w }
ambigues	ə m b 'i ɣ ə s }
amiguera	ə m i ɣ 'e ɾ ə }
amiguers	ə m i ɣ 'e s }
amigueta	ə m i ɣ 'e t ə }
amiguets	ə m i ɣ 'e t s }
andeguer	ə n d ə ɣ 'e }
aneguets	ə n ə ɣ 'e t s }
antigues	ə n t 'i ɣ ə s }
apleguem	ə p l ə ɣ 'e m }
apleguen	ə p l 'e ɣ ə n }
aplegues	ə p l 'ə ɣ ə s }
aplegueu	ə p l ə ɣ 'ɛ w }
aporugue	ə p o ɾ 'u ɣ ə }
aprengue	ə p ɾ 'ɛ ŋ g ə }
arenguem	ə ɾ ə ŋ g 'e m }
arenguen	ə ɾ 'e ŋ g ə n }
arengues	ə ɾ 'ə ŋ g ə s }
arengueu	ə ɾ ə ŋ g 'ə w }
argueigs	ə ɾ ɣ ə 'i n s }
argueixi	ə ɾ ɣ 'ɛ ʃ i }
argueixo	ə ɾ ɣ 'e ʃ o }
arguejos	ə ɾ ɣ 'ɛ ʒ o s }
arguells	ə ɾ ɣ u 'e ʎ s }
arguesca	ə ɾ ɣ 'ə s k ə }
arguesos	ə ɾ ɣ 'e s o s }
armagues	ə ɾ m 'a ɣ ə s }
arrengue	ə r 'ɛ ŋ g ə }
arroguem	ə r o ɣ 'e m }
arroguen	ə r 'ɔ ɣ ə n }
arrogues	ə r 'ɔ ɣ ə s }
arrogueu	ə r o ɣ 'ɛ w }
arruguem	ə r u ɣ 'e m }
arruguen	ə r 'u ɣ ə n }
arrugues	ə r 'u ɣ ə s }
arrugueu	ə r u ɣ 'ə w }
artegues	ə ɾ t 'ə ɣ ə s }
artiguem	ə ɾ t i ɣ 'e m }
artiguen	ə ɾ t 'i ɣ ə n }
artiguer	ə ɾ t i ɣ 'e }
artigues	ə ɾ t 'i ɣ ə s }
artigueu	ə ɾ t i ɣ 'ɛ w }
assaguen	ə s 'a ɣ ə n }
assagueu	ə s ə ɣ 'ɛ w }
asseguem	ə s ə ɣ 'e m }
asseguen	ə s 'e ɣ ə n }
assegues	ə s 'ə ɣ ə s }
assegueu	ə s ə ɣ 'ɛ w }
atenguem	ə t ə ŋ g 'e m }
atenguen	ə t 'e ŋ g ə n }
atengues	ə t 'ɛ ŋ g ə s }
atengueu	ə t ə ŋ g 'ə w }
atinguem	ə t i ŋ g 'e m }
atinguen	ə t 'i ŋ g ə n }
atingues	ə t 'i ŋ g ə s }
atingueu	ə t i ŋ g 'ə w }
atorguem	ə t o ɾ ɣ 'e m }
atorguen	ə t 'ɔ ɾ ɣ ə n }
atorgues	ə t 'ɔ ɾ ɣ ə s }
atorgueu	ə t o ɾ ɣ 'ɛ w }
atraguem	ə t ɾ ə ɣ 'e m }
atraguen	ə t ɾ 'a ɣ ə n }
atragues	ə t ɾ 'a ɣ ə s }
atragueu	ə t ɾ ə ɣ 'ɛ w }
atreguen	ə t ɾ 'e ɣ ə n }
atregues	ə t ɾ 'ə ɣ ə s }
atuiguem	ə t u i ɣ 'e m }
atuigueu	ə t u i ɣ 'ɛ w }
atziague	ə d z i 'a ɣ ə }
aurigues	ə w ɾ 'i ɣ ə s }
avenguem	ə v ə ŋ g 'e m }
avengues	ə v 'ɛ ŋ g ə s }
avengueu	ə v ə ŋ g 'ə w }
avinguem	ə v i ŋ g 'e m }
avinguen	ə v 'i ŋ g ə n }
avingues	ə v 'i ŋ g ə s }
avingueu	ə v i ŋ g 'ə w }
badiguer	b ə ð i ɣ 'e }
baguegem	 b e ɣ ə ʒ 'e m }
baguegen	b ə ɣ 'e ʒ ə n }
bagueges	b ə ɣ 'ə ʒ ə s }
baguegeu	 b e ɣ ə ʒ 'ɛ w }
baguegin	b ə ɣ 'ɛ ʒ i n }
baguegis	b ə ɣ 'ɛ ʒ i s }
baguegés	 b e ɣ ə ʒ 'e s }
baguejam	 b e ɣ ə ʒ 'a m }
baguejar	 b e ɣ ə ʒ 'a }
baguejas	b ə ɣ 'ɛ ʒ ə s }
baguejat	 b e ɣ ə ʒ 'a t }
baguejau	 b e ɣ ə ʒ 'a w }
baguenys	b ə ɣ 'ə ɲ s }
baguetes	b ə ɣ 'e t ə s }
baguette	b ə ɣ 'ə t t ə }
baleguer	b ə l ə ɣ 'e }
baliguem	b ə l i ɣ 'e m }
baligueu	b ə l i ɣ 'ɛ w }
banyegue	b ə ɲ 'ə ɣ ə }
bargueño	b ə ɾ ɣ 'ə z o }
barrigue	b ə r 'i ɣ ə }
bateguem	b ə t ə ɣ 'e m }
bateguen	b ə t 'e ɣ ə n }
bategues	b ə t 'ə ɣ ə s }
bategueu	b ə t ə ɣ 'ɛ w }
batzegue	b ə d z 'ə ɣ ə }
beguerem	b ə ɣ ə ɾ 'e m }
begueren	b ə ɣ 'e ɾ ə n }
begueres	b ə ɣ 'e ɾ ə s }
beguereu	b ə ɣ ə ɾ 'ə w }
beleguem	b ə l ə ɣ 'e m }
beleguen	b ə l 'e ɣ ə n }
belegues	b ə l 'ə ɣ ə s }
belegueu	b ə l ə ɣ 'ɛ w }
bellugue	b ə ʎ 'u ɣ ə }
belugues	b ə l 'u ɣ ə s }
bergueda	b ə ɾ ɣ 'ə ð ə }
besuguer	b ə z u ɣ 'e }
