a	ə
postcomunisme	p ˌ ɔ s k o m u n 'i z m ə
postcomunista	p ˌ ɔ s k o m u n 'i s t ə
postcomunistes	p ˌ ɔ s k o m u n 'i s t ə s
postcursa	p ˌ ɔ s k 'u ɾ s ə
postdata	p ˌ ɔ z ð 'a t ə
postergat	p o s t ə ɾ ɣ 'a t
postergats	p o s t ə ɾ ɣ 'a t s
posterior	p o s t ə ɾ i 'o
posterioritat	p ˌ ɔ s t ə ɾ i o ɾ i t 'a t
posteriorment	p o s t ə ɾ i ˌ o ɾ m 'e n t
posteriors	p o s t ə ɾ i 'o s
posteritat	p o s t ə ɾ i t 'a t
postes	p 'o s t ə s
postfeixista	p ˌ ɔ s f ə ʃ 'i s t ə
postfeixistes	p ˌ ɔ s f ə ʃ 'i s t ə s
postfranquisme	p ˌ ɔ s f ɾ ə ŋ k 'i z m ə
postfranquista	p ˌ ɔ s f ɾ ə ŋ k 'i s t ə
postgraduats	p ˌ ɔ z ɣ ɾ ə ð u 'a t s
postgrau	p ˌ ɔ z ɣ ɾ 'a w
postgraus	p ˌ ɔ z ɣ ɾ 'a w s
postguerra	p ˌ ɔ z ɣ 'ɛ r ə
postilar	p ˌ ɔ s t i l 'a
postimpressionisme	p ˌ ɔ s t i m p ɾ ə s i o n 'i z m ə
postimpressionista	p ˌ ɔ s t i m p ɾ ə s i o n 'i s t ə
postimpressionistes	p ˌ ɔ s t i m p ɾ ə s i o n 'i s t ə s
postissa	p o s t 'i s ə
postisses	p o s t 'i s ə s
postissos	p o s t 'i s o s
postluminiscència	p ˌ ɔ z l u m i n i t s 'ə n s i ə
postmodern	p ˌ ɔ z m o ð 'ɛ ɾ n
postmoderna	p ˌ ɔ z m o ð 'ɛ ɾ n ə
postmodernes	p ˌ ɔ z m o ð 'ɛ ɾ n ə s
postmodernisme	p ˌ ɔ z m o ð ə ɾ n 'i z m ə
postmodernitat	p ˌ ɔ z m o ð ə ɾ n i t 'a t
postmoderns	p ˌ ɔ z m o ð 'ɛ ɾ n s
postnadalenca	p ˌ ɔ z n ə ð ə l 'ə ŋ k ə
postobligatoris	p ˌ ɔ s t o β l i ɣ ə t 'ɔ ɾ i s
postoperatori	p ˌ ɔ s t o p ə ɾ ə t 'ɔ ɾ i
postor	p o s t 'o
postors	p o s t 'o s
postpart	p ˌ ɔ s p 'a ɾ t
postpartit	p ˌ ɔ s p ə ɾ t 'i t
postproducció	p ˌ ɔ s p ɾ o ð u t s i 'o
postprodució	p ˌ ɔ s p ɾ o ð u s i 'o
postproduït	p ˌ ɔ s p ɾ o ð u 'i t
postpujolisme	p ˌ ɔ s p u ʒ o l 'i z m ə
postres	p 'o s t ɾ ə s
postrina	p ˌ ɔ z r 'i n ə
postromàntic	p ˌ ɔ z r o m 'a n t i k
postromàntica	p ˌ ɔ z r o m 'a n t i k ə
posts	p 'o s s
postula	p o s t 'u l ə
postular	p o s t u l 'a
postularse	p ˌ ɔ s t u l 'a ɾ s ə
postulat	p o s t u l 'a t
postulats	p o s t u l 'a t s
postulen	p o s t 'u l ə n
postulo	p o s t 'u l o
postulà	p o s t u l 'a
postura	p o s t 'u ɾ ə
postures	p o s t 'u ɾ ə s
posturetes	p ˌ ɔ s t u ɾ 'ə t ə s
postvenda	p ˌ ɔ z v 'ə n d ə
postís	p o s t 'i s
posà	p o z 'a
posàvem	p o z 'a v ə m
posés	p o z 'e s
poséssim	p o z 'e s i m
poséssiu	p o z 'e s i w
pot	p 'ɔ t
pota	p 'ɔ t ə
potabilitzadora	p o t ə β i l i d z ə ð 'o ɾ ə
potable	p o t 'a b b l ə
potables	p o t 'a b b l ə s
potencia	p o t ə n s 'i ə
potenciació	p o t ə n s i ə s i 'o
potenciada	p o t ə n s i 'a ð ə
potencial	p o t ə n s i 'a l
potencialitat	p o t ə n s i ə l i t 'a t
potencialitats	p o t ə n s i ə l i t 'a t s
potencialment	p o t ə n s i ˌ a l m 'e n t
potencials	p o t ə n s i 'a l s
potenciant	p o t ə n s i 'a n t
potenciar	p o t ə n s i 'a
potenciaran	p o t ə n s i ə ɾ 'a n
potenciarhi	p o t ə n s i 'a ɾ i
potenciarla	p o t ə n s i 'a ɾ l ə
potenciarles	p o t ə n s i 'a ɾ l ə s
potenciarne	p o t ə n s i 'a ɾ n ə
potenciarà	p o t ə n s i ə ɾ 'a
potenciat	p o t ə n s i 'a t
potenciats	p o t ə n s i 'a t s
potenciava	p o t ə n s i 'a v ə
potenciem	p o t ə n s i 'ə m
potencien	p o t ə n s 'i ə n
potenciés	p o t ə n s i 'e s
potenciï	p o t ə n s 'i i
potenciïn	p o t ə n s 'i i n
potent	p o t 'e n t
potentats	p o t ə n t 'a t s
potents	p o t 'e n s
potentíssim	p o t ə n t 'i s i m
potentíssims	p o t ə n t 'i s i n s
potes	p 'ɔ t ə s
potestat	p o t ə s t 'a t
potestats	p o t ə s t 'a t s
potetes	p o t 'ə t ə s
potipoti	p o t i p 'ɔ t i
pots	p 'ɔ t s
potser	p o t s 'e
potència	p o t 'ə n s i ə
potències	p o t 'ə n s i ə s
pou	p 'ɔ w
pous	p 'ɔ w s
poètic	p o 'ə t i k
poètica	p o 'ə t i k ə
poèticament	p o ˌ ə t i k ə m 'e n t
poèticomusical	p o 'ə t i k o m u z i k ə l
poètics	p o 'ə t i t s
poètiques	p o 'ə t i k ə s
practica	p ɾ ə t t 'i k ə
practicable	p ɾ ə t t i k 'a b b l ə
practicables	p ɾ ə t t i k 'a b b l ə s
practicada	p ɾ ə t t i k 'a ð ə
practicades	p ɾ ə t t i k 'a ð ə s
practicant	p ɾ ə t t i k 'a n t
practicants	p ɾ ə t t i k 'a n s
practicar	p ɾ ə t t i k 'a
practicarla	p ɾ ə t t i k 'a ɾ l ə
practicarli	p ɾ ə t t i k 'a ɾ l i
practicarse	p ɾ ə t t i k 'a ɾ s ə
practicarà	p ɾ ə t t i k ə ɾ 'a
practicat	p ɾ ə t t i k 'a t
practicats	p ɾ ə t t i k 'a t s
practicava	p ɾ ə t t i k 'a v ə
practicaven	p ɾ ə t t i k 'a v ə n
practico	p ɾ ə t t 'i k o
practicà	p ɾ ə t t i k 'a
practiquem	p ɾ ə t t i k 'ə m
practiquen	p ɾ ə t t 'i k ə n
practiques	p ɾ ə t t 'i k ə s
practiqueu	p ɾ ə t t i k 'ɛ w
practiqui	p ɾ ə t t 'i k i
practiquin	p ɾ ə t t 'i k i n
practiqués	p ɾ ə t t i k 'e s
prada	p ɾ 'a ð ə
pradera	p ɾ ə ð 'e ɾ ə
praderes	p ɾ ə ð 'e ɾ ə s
praderies	p ɾ ə ð ə ɾ 'i ə s
prades	p ɾ 'a ð ə s
praga	p ɾ 'a ɣ ə
pragmatisme	p ɾ ə m m ə t 'i z m ə
pragmàtic	p ɾ ə m m 'a t i k
pragmàtica	p ɾ ə m m 'a t i k ə
pragmàtics	p ɾ ə m m 'a t i t s
pragmàtiques	p ɾ ə m m 'a t i k ə s
prat	p ɾ 'a t
prats	p ɾ 'a t s
praxi	p ɾ 'a t s i
praxis	p ɾ 'a t s i s
preacord	p ɾ ˌ ɛ ə k 'o ɾ t
prealimentació	p ɾ ˌ ɛ ə l i m ə n t ə s i 'o
prealimentar	p ɾ ˌ ɛ ə l i m ə n t 'a
preavís	p ɾ ˌ ɛ ə v 'i s
prebendes	p ɾ ə β 'e n d ə s
prebèlic	p ɾ ˌ ɛ β 'ə l i k
prebèlica	p ɾ ˌ ɛ β 'ə l i k ə
prec	p ɾ 'e k
precampanya	p ɾ ˌ ɛ k ə m p 'a ɲ ə
precandidat	p ɾ ˌ ɛ k ə n d i ð 'a t
precandidats	p ɾ ˌ ɛ k ə n d i ð 'a t s
precandidatura	p ɾ ˌ ɛ k ə n d i ð ə t 'u ɾ ə
precari	p ɾ ə k 'a ɾ i
precarietat	p ɾ ˌ ɛ k ə ɾ i ə t 'a t
precarietats	p ɾ ˌ ɛ k ə ɾ i ə t 'a t s
precaris	p ɾ ə k 'a ɾ i s
precaritza	p ɾ ˌ ɛ k ə ɾ 'i d z ə
precarització	p ɾ ˌ ɛ k ə ɾ i d z ə s i 'o
precaritzador	p ɾ ˌ ɛ k ə ɾ i d z ə ð 'o
precaucions	p ɾ ə k ə w s i 'o n s
precaució	p ɾ ə k ə w s i 'o
precautori	p ɾ ˌ ɛ k ə w t 'ɔ ɾ i
precedeix	p ɾ ə s ə ð 'ə ʃ
precedeixen	p ɾ ə s ə ð 'ə ʃ ə n
precedent	p ɾ ə s ə ð 'e n t
precedents	p ɾ ə s ə ð 'e n s
precedia	p ɾ ə s ə ð 'i ə
precedida	p ɾ ə s ə ð 'i ð ə
precedides	p ɾ ə s ə ð 'i ð ə s
precedien	p ɾ ə s ə ð 'i ə n
precedint	p ɾ ə s ə ð 'i n t
precedir	p ɾ ə s ə ð 'i
precediran	p ɾ ə s ə ð i ɾ 'a n
precediren	p ɾ ə s ə ð 'i ɾ ə n
precedirà	p ɾ ə s ə ð i ɾ 'a
precedit	p ɾ ə s ə ð 'i t
precedits	p ɾ ə s ə ð 'i t s
precendents	p ɾ ˌ ɛ s ə n d 'e n s
precepte	p ɾ ə s 'e t t ə
preceptes	p ɾ ə s 'e t t ə s
preceptiu	p ɾ ə s ə t t 'i w
preceptius	p ɾ ə s ə t t 'i w s
preceptiva	p ɾ ə s ə t t 'i v ə
preceptives	p ɾ ə s ə t t 'i v ə s
preciat	p ɾ ə s i 'a t
precintar	p ɾ ə s i n t 'a
precintat	p ɾ ə s i n t 'a t
precio	p ɾ ˌ ɛ s 'i o
preciosa	p ɾ ə s i 'o z ə
precioses	p ɾ ə s i 'o z ə s
preciosisme	p ɾ ə s i o z 'i z m ə
preciosista	p ɾ ə s i o z 'i s t ə
preciosistes	p ɾ ə s i o z 'i s t ə s
preciositat	p ɾ ə s i o z i t 'a t
preciosos	p ɾ ə s i 'o z o s
preciosíssima	p ɾ ˌ ɛ s i o z 'i s i m ə
precipici	p ɾ ə s i p 'i s i
precipita	p ɾ ə s i p 'i t ə
precipitacions	p ɾ ə s i p i t ə s i 'o n s
precipitació	p ɾ ə s i p i t ə s i 'o
precipitada	p ɾ ə s i p i t 'a ð ə
precipitadament	p ɾ ə s i p i t ˌ a ð ə m 'e n t
precipitades	p ɾ ə s i p i t 'a ð ə s
precipitant	p ɾ ə s i p i t 'a n t
precipitar	p ɾ ə s i p i t 'a
precipitarse	p ɾ ˌ ɛ s i p i t 'a ɾ s ə
precipitat	p ɾ ə s i p i t 'a t
precipitats	p ɾ ə s i p i t 'a t s
precipitava	p ɾ ə s i p i t 'a v ə
precipiten	p ɾ ə s i p 'i t ə n
precisa	p ɾ ə s 'i z ə
precisament	p ɾ ˌ ɛ s ˌ i z ə m 'e n t
precisant	p ɾ ə s i z 'a n t
precisar	p ɾ ə s i z 'a
precisat	p ɾ ə s i z 'a t
precisava	p ɾ ə s i z 'a v ə
precisen	p ɾ ə s 'i z ə n
precises	p ɾ ə s 'i z ə s
precisions	p ɾ ə s i z i 'o n s
precisió	p ɾ ə s i z i 'o
precisos	p ɾ ə s 'i z o s
preciós	p ɾ ə s i 'o s
precoces	p ɾ ə k 'o s ə s
precolombina	p ɾ ˌ ɛ k o l o m b 'i n ə
precolombines	p ɾ ˌ ɛ k o l o m b 'i n ə s
precolombí	p ɾ ˌ ɛ k o l o m b 'i
precomercial	p ɾ ˌ ɛ k o m ə ɾ s i 'a l
precompilació	p ɾ ˌ ɛ k o m p i l ə s i 'o
preconcebuda	p ɾ ə k o n s ə β 'u ð ə
preconcebudes	p ɾ ə k o n s ə β 'u ð ə s
preconcebut	p ɾ ə k o n s ə β 'u t
precondició	p ɾ ˌ ɛ k o n d i s i 'o
preconfigurades	p ɾ ˌ ɛ k o m f i ɣ u ɾ 'a ð ə s
precongressual	p ɾ ˌ ɛ k o ŋ g ɾ ə s u 'a l
preconitza	p ɾ ə k o n 'i d z ə
preconitzada	p ɾ ˌ ɛ k o n i d z 'a ð ə
preconitzar	p ɾ ə k o n i d z 'a
preconitzava	p ɾ ə k o n i d z 'a v ə
preconitzen	p ɾ ə k o n 'i d z ə n
preconstitucional	p ɾ ˌ ɛ k o n s t i t u s i o n 'a l
preconstitucionals	p ɾ ˌ ɛ k o n s t i t u s i o n 'a l s
preconstituïda	p ɾ ˌ ɛ k o n s t i t u 'i ð ə
precontracte	p ɾ ˌ ɛ k o n t ɾ 'a t t ə
precoç	p ɾ ə k 'o s
precrisi	p ɾ ˌ ɛ k ɾ 'i z i
precs	p ɾ 'e t s
precuit	p ɾ ˌ ɛ k 'u j t
precursor	p ɾ ə k u ɾ s 'o
precursora	p ɾ ə k u ɾ s 'o ɾ ə
precursores	p ɾ ə k u ɾ s 'o ɾ ə s
precursors	p ɾ ə k u ɾ s 'o s
precària	p ɾ ə k 'a ɾ i ə
precàriament	p ɾ ə k ˌ a ɾ i ə m 'e n t
precàries	p ɾ ə k 'a ɾ i ə s
precís	p ɾ ə s 'i s
predacions	p ɾ ə ð ə s i 'o n s
predatoris	p ɾ ˌ ɛ ð ə t 'ɔ ɾ i s
predecessor	p ɾ ə ð ə s ə s 'o
predecessora	p ɾ ə ð ə s ə s 'o ɾ ə
predecessors	p ɾ ə ð ə s ə s 'o s
predefinides	p ɾ ˌ ɛ ð ə f i n 'i ð ə s
predela	p ɾ ˌ ɛ ð 'ɛ l ə
predemocràtic	p ɾ ˌ ɛ ð ə m o k ɾ 'a t i k
predestinació	p ɾ ə ð ə s t i n ə s i 'o
predestinada	p ɾ ə ð ə s t i n 'a ð ə
predestinades	p ɾ ə ð ə s t i n 'a ð ə s
predestinat	p ɾ ə ð ə s t i n 'a t
predeterminació	p ɾ ə ð ə t ə ɾ m i n ə s i 'o
predeterminada	p ɾ ə ð ə t ə ɾ m i n 'a ð ə
predeterminades	p ɾ ə ð ə t ə ɾ m i n 'a ð ə s
predeterminat	p ɾ ə ð ə t ə ɾ m i n 'a t
predica	p ɾ ə ð 'i k ə
predicació	p ɾ ə ð i k ə s i 'o
predicador	p ɾ ə ð i k ə ð 'o
predicadors	p ɾ ə ð i k ə ð 'o s
predicament	p ɾ ə ð i k ə m 'e n t
predicant	p ɾ ə ð i k 'a n t
predicar	p ɾ ə ð i k 'a
predicat	p ɾ ə ð i k 'a t
predicava	p ɾ ə ð i k 'a v ə
predicaven	p ɾ ə ð i k 'a v ə n
prediccions	p ɾ ə ð i t s i 'o n s
predicció	p ɾ ə ð i t s i 'o
predictible	p ɾ ə ð i t t 'i b b l ə
predictiu	p ɾ ˌ ɛ ð i t t 'i w
predictiva	p ɾ ˌ ɛ ð i t t 'i v ə
predilecció	p ɾ ə ð i l ə t s i 'o
predilecta	p ɾ ə ð i l 'e t t ə
predilecte	p ɾ ə ð i l 'e t t ə
predilectes	p ɾ ə ð i l 'e t t ə s
prediquen	p ɾ ə ð 'i k ə n
predir	p ɾ ə ð 'i
predisposa	p ɾ ə ð i s p 'o z ə
predisposada	p ɾ ə ð i s p o z 'a ð ə
predisposar	p ɾ ə ð i s p o z 'a
predisposaran	p ɾ ə ð i s p o z ə ɾ 'a n
predisposarà	p ɾ ə ð i s p o z ə ɾ 'a
predisposat	p ɾ ə ð i s p o z 'a t
predisposats	p ɾ ə ð i s p o z 'a t s
predisposen	p ɾ ə ð i s p 'o z ə n
predisposeu	p ɾ ə ð i s p o z 'ɛ w
predisposeuvos	p ɾ ˌ ɛ ð i s p o z 'e w v o s
predisposició	p ɾ ə ð i s p o z i s i 'o
predissenyades	p ɾ ˌ ɛ ð i s ə ɲ 'a ð ə s
predistribució	p ɾ ˌ ɛ ð i s t ɾ i β u s i 'o
predistribuirà	p ɾ ˌ ɛ ð i s t ɾ i β u i ɾ 'a
predit	p ɾ ə ð 'i t
prediu	p ɾ ə ð 'i w
prediuen	p ɾ ə ð 'i w ə n
predoctoral	p ɾ ˌ ɛ ð o t t o ɾ 'a l
predoctorals	p ɾ ˌ ɛ ð o t t o ɾ 'a l s
predomina	p ɾ ə ð o m 'i n ə
predominant	p ɾ ə ð o m i n 'a n t
predominantment	p ɾ ə ð o m i n ˌ a n m 'e n t
predominants	p ɾ ə ð o m i n 'a n s
predominar	p ɾ ə ð o m i n 'a
predominarà	p ɾ ə ð o m i n ə ɾ 'a
predominat	p ɾ ə ð o m i n 'a t
predominava	p ɾ ə ð o m i n 'a v ə
predominaven	p ɾ ə ð o m i n 'a v ə n
predominen	p ɾ ə ð o m 'i n ə n
predomini	p ɾ ə ð o m 'i n i
preelectorals	p ɾ ˌ ɛ ə l ə t t o ɾ 'a l s
preeminent	p ɾ e ə m i n 'e n t
preeminència	p ɾ e ə m i n 'ə n s i ə
preescalfa	p ɾ ˌ ɛ ə s k 'a l f ə
preescalfar	p ɾ ˌ ɛ ə s k ə l f 'a
preescalfaré	p ɾ ˌ ɛ ə s k ə l f ə ɾ 'e
preescolar	p ɾ ˌ ɛ ə s k o l 'a ɾ
preescolars	p ɾ ˌ ɛ ə s k o l 'a s
preestablert	p ɾ e ə s t ə β l 'ɛ ɾ t
preestablerta	p ɾ e ə s t ə β l 'ɛ ɾ t ə
preestablerts	p ɾ e ə s t ə β l 'ɛ ɾ s
preestrena	p ɾ ˌ ɛ ə s t ɾ 'ə n ə
preestrenar	p ɾ ˌ ɛ ə s t ɾ ə n 'a
preestrenat	p ɾ ˌ ɛ ə s t ɾ ə n 'a t
preestrenes	p ɾ ˌ ɛ ə s t ɾ 'ə n ə s
preexistent	p ɾ e ə t s i s t 'e n t
preexistents	p ɾ e ə t s i s t 'e n s
prefabricada	p ɾ ə f ə β ɾ i k 'a ð ə
prefabricades	p ɾ ə f ə β ɾ i k 'a ð ə s
prefabricat	p ɾ ə f ə β ɾ i k 'a t
prefabricats	p ɾ ə f ə β ɾ i k 'a t s
prefaci	p ɾ ə f 'a s i
prefecte	p ɾ ə f 'e t t ə
prefectura	p ɾ ə f ə t t 'u ɾ ə
prefereix	p ɾ ə f ə ɾ 'ə ʃ
prefereixen	p ɾ ə f ə ɾ 'ə ʃ ə n
prefereixes	p ɾ ə f ə ɾ 'ə ʃ ə s
prefereixi	p ɾ ə f ə ɾ 'ə ʃ i
prefereixin	p ɾ ə f ə ɾ 'ə ʃ i n
prefereixo	p ɾ ə f ə ɾ 'ə ʃ o
preferencial	p ɾ ə f ə ɾ ə n s i 'a l
preferent	p ɾ ə f ə ɾ 'e n t
preferentment	p ɾ ə f ə ɾ ˌ e n m 'e n t
preferents	p ɾ ə f ə ɾ 'e n s
preferia	p ɾ ə f ə ɾ 'i ə
preferible	p ɾ ə f ə ɾ 'i b b l ə
preferibles	p ɾ ə f ə ɾ 'i b b l ə s
preferida	p ɾ ə f ə ɾ 'i ð ə
preferides	p ɾ ə f ə ɾ 'i ð ə s
preferien	p ɾ ə f ə ɾ 'i ə n
preferim	p ɾ ə f ə ɾ 'i m
preferint	p ɾ ə f ə ɾ 'i n t
preferir	p ɾ ə f ə ɾ 'i
preferiran	p ɾ ə f ə ɾ i ɾ 'a n
preferireu	p ɾ ə f ə ɾ i ɾ 'ɛ w
preferiria	p ɾ ə f ə ɾ i ɾ 'i ə
preferirien	p ɾ ə f ə ɾ i ɾ 'i ə n
preferiries	p ɾ ə f ə ɾ i ɾ 'i ə s
preferirà	p ɾ ə f ə ɾ i ɾ 'a
preferit	p ɾ ə f ə ɾ 'i t
preferits	p ɾ ə f ə ɾ 'i t s
preferiu	p ɾ ə f ə ɾ 'i w
preferència	p ɾ ə f ə ɾ 'ə n s i ə
preferències	p ɾ ə f ə ɾ 'ə n s i ə s
preferís	p ɾ ə f ə ɾ 'i s
prefigura	p ɾ ə f i ɣ 'u ɾ ə
prefiguració	p ɾ ə f i ɣ u ɾ ə s i 'o
prefigurava	p ɾ ə f i ɣ u ɾ 'a v ə
prefiguren	p ɾ ə f i ɣ 'u ɾ ə n
prefix	p ɾ ə f 'i t s
prefixat	p ɾ ə f i ʃ 'a t
prefixes	p ɾ ə f 'i ʃ ə s
prefixos	p ɾ ə f 'i ʃ o s
prefranquejat	p ɾ ˌ ɛ f ɾ ə ŋ k ə ʒ 'a t
prega	p ɾ 'e ɣ ə
pregant	p ɾ ə ɣ 'a n t
pregar	p ɾ ə ɣ 'a
pregaria	p ɾ ə ɣ ə ɾ 'i ə
pregaré	p ɾ ə ɣ ə ɾ 'e
prego	p ɾ 'e ɣ o
pregon	p ɾ ə ɣ 'o n
pregona	p ɾ ə ɣ 'o n ə
pregonada	p ɾ ˌ ɛ ɣ o n 'a ð ə
pregonament	p ɾ ə ɣ ˌ o n ə m 'e n t
pregonava	p ɾ ə ɣ o n 'a v ə
pregoner	p ɾ ə ɣ o n 'e
pregons	p ɾ ə ɣ 'o n s
pregravada	p ɾ ˌ ɛ ɣ ɾ ə v 'a ð ə
pregravades	p ɾ ˌ ɛ ɣ ɾ ə v 'a ð ə s
pregravats	p ɾ ˌ ɛ ɣ ɾ ə v 'a t s
preguem	p ɾ ə ɣ 'ə m
preguerra	p ɾ ˌ ɛ ɣ 'ɛ r ə
pregunta	p ɾ ə ɣ 'u n t ə
preguntada	p ɾ ˌ ɛ ɣ u n t 'a ð ə
preguntant	p ɾ ə ɣ u n t 'a n t
preguntantse	p ɾ ˌ ɛ ɣ u n t 'a n s ə
preguntar	p ɾ ə ɣ u n t 'a
preguntaran	p ɾ ə ɣ u n t ə ɾ 'a n
preguntareu	p ɾ ə ɣ u n t ə ɾ 'ɛ w
preguntarho	p ɾ ˌ ɛ ɣ u n t 'a ɾ o
preguntaria	p ɾ ə ɣ u n t ə ɾ 'i ə
preguntarien	p ɾ ə ɣ u n t ə ɾ 'i ə n
preguntarli	p ɾ ˌ ɛ ɣ u n t 'a ɾ l i
preguntarlos	p ɾ ˌ ɛ ɣ u n t 'a ɾ l o s
preguntarme	p ɾ ˌ ɛ ɣ u n t 'a ɾ m ə
preguntarnos	p ɾ ˌ ɛ ɣ u n t 'a ɾ n o s
preguntarse	p ɾ ˌ ɛ ɣ u n t 'a ɾ s ə
preguntarvos	p ɾ ˌ ɛ ɣ u n t 'a ɾ v o s
preguntarà	p ɾ ə ɣ u n t ə ɾ 'a
preguntaré	p ɾ ə ɣ u n t ə ɾ 'e
preguntat	p ɾ ə ɣ u n t 'a t
preguntats	p ɾ ˌ ɛ ɣ u n t 'a t s
preguntava	p ɾ ə ɣ u n t 'a v ə
preguntaven	p ɾ ə ɣ u n t 'a v ə n
preguntem	p ɾ ə ɣ u n t 'ə m
pregunten	p ɾ ə ɣ 'u n t ə n
preguntes	p ɾ ə ɣ 'u n t ə s
preguntessin	p ɾ ə ɣ u n t 'e s i n
pregunteu	p ɾ ə ɣ u n t 'ɛ w
pregunti	p ɾ ə ɣ 'u n t i
preguntin	p ɾ ə ɣ 'u n t i n
preguntis	p ɾ ə ɣ 'u n t i s
pregunto	p ɾ ə ɣ 'u n t o
preguntà	p ɾ ə ɣ u n t 'a
preguntàvem	p ɾ ə ɣ u n t 'a v ə m
preguntés	p ɾ ə ɣ u n t 'e s
pregués	p ɾ ə ɣ 'e s
pregària	p ɾ ə ɣ 'a ɾ i ə
pregàries	p ɾ ˌ ɛ ɣ 'a ɾ i ə s
pregó	p ɾ ə ɣ 'o
prehistoriadors	p ɾ ə i s t o ɾ i ə ð 'o s
prehistòria	p ɾ ə i s t 'ɔ ɾ i ə
prehistòric	p ɾ ə i s t 'ɔ ɾ i k
prehistòrica	p ɾ ə i s t 'ɔ ɾ i k ə
prehistòrics	p ɾ ə i s t 'ɔ ɾ i t s
prehistòriques	p ɾ ə i s t 'ɔ ɾ i k ə s
preimpressió	p ɾ ˌ ɛ i m p ɾ ə s i 'o
preinscripció	p ɾ ˌ ɛ i n s k ɾ i t s i 'o
preinscrits	p ɾ ˌ ɛ i n s k ɾ 'i t s
preinstalat	p ɾ ˌ ɛ i n s t ə l 'a t
prejubilacions	p ɾ ˌ ɛ ʒ u β i l ə s i 'o n s
prejubilació	p ɾ ˌ ɛ ʒ u β i l ə s i 'o
prejubilades	p ɾ ˌ ɛ ʒ u β i l 'a ð ə s
prejubilar	p ɾ ˌ ɛ ʒ u β i l 'a
prejubilarà	p ɾ ˌ ɛ ʒ u β i l ə ɾ 'a
prejubilat	p ɾ ˌ ɛ ʒ u β i l 'a t
prejudici	p ɾ ə ʒ u ð 'i s i
prejudicis	p ɾ ə ʒ u ð 'i s i s
prelat	p ɾ ə l 'a t
prelats	p ɾ ə l 'a t s
preliminar	p ɾ ə l i m i n 'a
preliminars	p ɾ ə l i m i n 'a s
prelitoral	p ɾ ˌ ɛ l i t o ɾ 'a l
preludi	p ɾ ə l 'u ð i
preludien	p ɾ ə l u ð 'i ə n
preludis	p ɾ ə l 'u ð i s
prem	p ɾ 'ə m
prematur	p ɾ ə m ə t 'u
prematura	p ɾ ə m ə t 'u ɾ ə
prematurament	p ɾ ə m ə t ˌ u ɾ ə m 'e n t
prematures	p ɾ ə m ə t 'u ɾ ə s
prematurs	p ɾ ə m ə t 'u s
premeditació	p ɾ ə m ə ð i t ə s i 'o
premeditada	p ɾ ə m ə ð i t 'a ð ə
premeditadament	p ɾ ə m ə ð i t ˌ a ð ə m 'e n t
premeditat	p ɾ ə m ə ð i t 'a t
premem	p ɾ ə m 'ə m
premen	p ɾ 'e m ə n
prement	p ɾ ə m 'e n t
prementnos	p ɾ ˌ ɛ m 'e n n o s
premeu	p ɾ ə m 'ɛ w
premi	p ɾ 'ɛ m i
premia	p ɾ ə m 'i ə
premiada	p ɾ ə m i 'a ð ə
premiades	p ɾ ə m i 'a ð ə s
premiar	p ɾ ə m i 'a
premiaran	p ɾ ə m i ə ɾ 'a n
premiarà	p ɾ ə m i ə ɾ 'a
premiat	p ɾ ə m i 'a t
premiats	p ɾ ə m i 'a t s
premiava	p ɾ ə m i 'a v ə
premiaven	p ɾ ə m i 'a v ə n
premien	p ɾ ə m 'i ə n
premis	p ɾ ˌ ɛ m 'i s
premissa	p ɾ ə m 'i s ə
premisses	p ɾ ə m 'i s ə s
premià	p ɾ ə m i 'a
première	p ɾ ˌ ɛ m i 'ə ɾ ə
premo	p ɾ 'e m o
premonicions	p ɾ ə m o n i s i 'o n s
premonició	p ɾ ə m o n i s i 'o
premonitori	p ɾ ə m o n i t 'ɔ ɾ i
premonitoris	p ɾ ə m o n i t 'ɔ ɾ i s
premsa	p ɾ 'e n s ə
premsada	p ɾ ə n s 'a ð ə
premundialista	p ɾ ˌ ɛ m u n d i ə l 'i s t ə
premut	p ɾ ə m 'u t
pren	p ɾ 'e n
prenc	p ɾ 'ə ŋ k
prendran	p ɾ ə n d ɾ 'a n
prendre	p ɾ 'e n d ɾ ə
prendrehi	p ɾ ˌ ɛ n d ɾ 'ɛ i
prendrel	p ɾ ˌ ɛ n d ɾ 'ɛ l
prendrela	p ɾ ˌ ɛ n d ɾ 'ɛ l ə
prendreli	p ɾ ˌ ɛ n d ɾ 'ɛ l i
prendrels	p ɾ ˌ ɛ n d ɾ 'ɛ l s
prendrem	p ɾ ə n d ɾ 'ə m
prendren	p ɾ ˌ ɛ n d ɾ 'e n
prendrens	p ɾ ˌ ɛ n d ɾ 'ə n s
prendres	p ɾ ˌ ɛ n d ɾ 'e s
prendresho	p ɾ ˌ ɛ n d ɾ 'e s o
prendreus	p ɾ ˌ ɛ n d ɾ 'ɛ w s
prendria	p ɾ ə n d ɾ 'i ə
prendrien	p ɾ ə n d ɾ 'i ə n
prendrà	p ɾ ə n d ɾ 'a
prendré	p ɾ ə n d ɾ 'e
prenem	p ɾ ə n 'ə m
prenemne	p ɾ ˌ ɛ n 'e n n ə
prenen	p ɾ 'e n ə n
prenent	p ɾ ə n 'e n t
prenentse	p ɾ ˌ ɛ n 'e n s ə
preneu	p ɾ ə n 'ɛ w
preneuvos	p ɾ ˌ ɛ n 'e w v o s
