a	ə
redistribuir	r ə ð i s t ɾ i β u 'i
redistributiu	r ə ð i s t ɾ i β u t 'i w
redistributiva	r ə ð i s t ɾ i β u t 'i β ə
redoblar	r ə ð u b b l 'a
redondistes	r ə ð u n d 'i s t ə s
redreçament	r ə ð ɾ ə s ə m 'e n
redreçant	r ə ð ɾ ə s 'a n
redreçar	r ə ð ɾ ə s 'a
redreçareu	r ə ð ɾ ə s ə ɾ 'ɛ w
redreçat	r ə ð ɾ ə s 'a t
reduccionisme	r ə ð u k s i u n 'i z m ə
reduccionista	r ə ð u k s i u n 'i s t ə
reduccions	r ə ð u k s i 'o n s
reducció	r ə ð u k s i 'o
reducte	r ə ð 'u k t ə
reductes	r ə ð 'u k t ə s
reductor	r ə ð u k t 'o
reductora	r ə ð u k t 'o ɾ ə
reductors	r ə ð u k t 'o s
redueix	r ə ð u 'ɛ ʃ
redueixen	r ə ð u 'ɛ ʃ ə n
redueixi	r ə ð u 'ɛ ʃ i
redueixin	r ə ð u 'ɛ ʃ i n
reduint	r ə ð u 'i n
reduir	r ə ð u 'i
reduiran	r ə ð u i ɾ 'a n
reduiria	r ə ð u i ɾ 'i ə
reduirien	r ə ð u i ɾ 'i ə n
reduirla	r ə ð 'u j r l ə
reduirlo	r ə ð 'u j r l u
reduirlos	r ə ð 'u j r l u s
reduirne	r ə ð 'u j r n ə
reduirse	r ə ð 'u j r s ə
reduirà	r ə ð u i ɾ 'a
redundant	r ə ð u n d 'a n
redundants	r ə ð u n d 'a n s
redundància	r ə ð u n d 'a n s i ə
reduís	r ə ð u 'i s
reduïa	r ə ð u 'i ə
reduïda	r ə ð u 'i ð ə
reduïdes	r ə ð u 'i ð ə s
reduïen	r ə ð u 'i ə n
reduït	r ə ð u 'i t
reduïts	r ə ð u 'i t s
reduïu	r ə ð u 'i w
redós	r ə ð 'o s
reedicions	r e ə ð i s i 'o n s
reedició	r e ə ð i s i 'o
reedita	r e ə ð 'i t ə
reeditada	r e ə ð i t 'a ð ə
reeditades	r e ə ð i t 'a ð ə s
reeditant	r e ə ð i t 'a n
reeditar	r e ə ð i t 'a
reeditaran	r e ə ð i t ə ɾ 'a n
reeditarà	r e ə ð i t ə ɾ 'a
reeditat	r e ə ð i t 'a t
reeditats	r e ə ð i t 'a t s
reediten	r e ə ð 'i t ə n
reeducació	r e ə ð u k ə s i 'o
reeducadores	r e ə ð u k ə ð 'o ɾ ə s
reeducant	r e ə ð u k 'a n
reeducar	r e ə ð u k 'a
reeixida	r ə ə ʃ 'i ð ə
reeixides	r ə ə ʃ 'i ð ə s
reeiximent	r ə ə ʃ i m 'e n
reeixir	r ə ə ʃ 'i
reeixirhi	r ə ə ʃ 'i ɾ i
reeixit	r ə ə ʃ 'i t
reeixits	r ə ə ʃ 'i t s
reelabora	r e ə l ə β 'o ɾ ə
reelaboració	r e ə l ə β u ɾ ə s i 'o
reelaborada	r e ə l ə β u ɾ 'a ð ə
reelaborar	r e ə l ə β u ɾ 'a
reelaborat	r e ə l ə β u ɾ 'a t
reelecció	r e ə l ə k s i 'o
reelegir	r e ə l ə ʒ 'i
reelegit	r e ə l ə ʒ 'i t
reelegits	r e ə l ə ʒ 'i t s
reembalatge	r e ə m b ə l 'a d ʒ ə
reembors	r e ə m b 'o r s
reemborsable	r e ə m b u r s 'a b b l ə
reemborsam	r e ə m b u r s 'a m
reemborsaments	r e ə m b u r s ə m 'e n s
reemborsar	r e ə m b u r s 'a
reemborsarà	r e ə m b u r s ə ɾ 'a
reemborsat	r e ə m b u r s 'a t
reemborso	r e ə m b 'o r s u
reembossament	r e ə m b u s ə m 'e n
reemergència	r e ə m ə r ʒ 'ɛ n s i ə
reemissió	r e ə m i s i 'o
reemissor	r e ə m i s 'o
reemplacin	r e ə m p l 'a s i n
reemplaça	r e ə m p l 'a s ə
reemplaçable	r e ə m p l ə s 'a b b l ə
reemplaçament	r e ə m p l ə s ə m 'e n
reemplaçar	r e ə m p l ə s 'a
reemplaçaries	r e ə m p l ə s ə ɾ 'i ə s
reemplaçarla	r e ə m p l ə s 'a r l ə
reemplaçat	r e ə m p l ə s 'a t
reemprendre	r e ə m p ɾ 'ɛ n d ɾ ə
reenamorarvos	r e ə n ə m u ɾ 'a ɾ β u s
reencarna	r e ə ŋ k 'a r n ə
reencarnacions	r e ə ŋ k ə r n ə s i 'o n s
reencarnació	r e ə ŋ k ə r n ə s i 'o
reencarnat	r e ə ŋ k ə r n 'a t
reencontre	r e ə ŋ k 'o n t ɾ ə
reengega	r e ə n ʒ 'ɛ ɣ ə
reengegar	r e ə n ʒ ə ɣ 'a
reengegaria	r e ə n ʒ ə ɣ ə ɾ 'i ə
reengegaré	r e ə n ʒ ə ɣ ə ɾ 'e
reenvia	r e ə m b 'i ə
reenviantse	r e ə m b i 'a n s ə
reenviar	r e ə m b i 'a
reenviaries	r e ə m b i ə ɾ 'i ə s
reenviarlo	r e ə m b i 'a r l u
reenviarse	r e ə m b i 'a r s ə
reenviarà	r e ə m b i ə ɾ 'a
reenvien	r e ə m b 'i ə n
reequilibrar	r e ə k i l i β ɾ 'a
reequilibri	r e ə k i l 'i β ɾ i
rees	r 'e ə s
reescriptura	r e ə s k ɾ i p t 'u ɾ ə
reescrit	r e ə s k ɾ 'i t
reescriu	r e ə s k ɾ 'i w
reescriure	r e ə s k ɾ 'i w ɾ ə
reestrena	r e ə s t ɾ 'ɛ n ə
reestrenada	r e ə s t ɾ ə n 'a ð ə
reestrenar	r e ə s t ɾ ə n 'a
reestrenes	r e ə s t ɾ 'ɛ n ə s
reestructura	r e ə s t ɾ u k t 'u ɾ ə
reestructuracions	r e ə s t ɾ u k t u ɾ ə s i 'o n s
reestructuració	r e ə s t ɾ u k t u ɾ ə s i 'o
reestructurar	r e ə s t ɾ u k t u ɾ 'a
reestructurarà	r e ə s t ɾ u k t u ɾ ə ɾ 'a
reestructurat	r e ə s t ɾ u k t u ɾ 'a t
reestructuri	r e ə s t ɾ u k t 'u ɾ i
reexaminar	r e ə g z ə m i n 'a
reexpedits	r e ə k s p ə ð 'i t s
refaci	r ə f 'a s i
refan	r ə f 'a n
refaran	r ə f ə ɾ 'a n
refareu	r ə f ə ɾ 'ɛ w
refaries	r ə f ə ɾ 'i ə s
refarà	r ə f ə ɾ 'a
refectori	r ə f ə k t 'ɔ ɾ i
refent	r ə f 'e n
refer	r ə f 'e
refereix	r ə f ə ɾ 'ɛ ʃ
refereixen	r ə f ə ɾ 'ɛ ʃ ə n
refereixes	r ə f ə ɾ 'ɛ ʃ ə s
refereixi	r ə f ə ɾ 'ɛ ʃ i
refereixin	r ə f ə ɾ 'ɛ ʃ i n
refereixo	r ə f ə ɾ 'ɛ ʃ u
referenciada	r ə f ə ɾ ə n s i 'a ð ə
referenciades	r ə f ə ɾ ə n s i 'a ð ə s
referencial	r ə f ə ɾ ə n s i 'a l
referenciat	r ə f ə ɾ ə n s i 'a t
referendat	r ə f ə ɾ ə n d 'a t
referendats	r ə f ə ɾ ə n d 'a t s
referent	r ə f ə ɾ 'e n
referents	r ə f ə ɾ 'e n s
referia	r ə f ə ɾ 'i ə
referida	r ə f ə ɾ 'i ð ə
referides	r ə f ə ɾ 'i ð ə s
referien	r ə f ə ɾ 'i ə n
referim	r ə f ə ɾ 'i m
referimnos	r ə f ə ɾ 'i m n u s
referint	r ə f ə ɾ 'i n
referintse	r ə f ə ɾ 'i n s ə
referir	r ə f ə ɾ 'i
referirem	r ə f ə ɾ i ɾ 'ɛ m
referirme	r ə f ə ɾ 'i r m ə
referirnos	r ə f ə ɾ 'i r n u s
referirse	r ə f ə ɾ 'i r s ə
referirshi	r ə f ə ɾ 'i r s i
referirvos	r ə f ə ɾ 'i ɾ β u s
referirà	r ə f ə ɾ i ɾ 'a
referiré	r ə f ə ɾ i ɾ 'e
referit	r ə f ə ɾ 'i t
referits	r ə f ə ɾ 'i t s
referma	r ə f 'ɛ r m ə
refermada	r ə f ə r m 'a ð ə
refermant	r ə f ə r m 'a n
refermar	r ə f ə r m 'a
refermarse	r ə f ə r m 'a r s ə
refermat	r ə f ə r m 'a t
refermava	r ə f ə r m 'a β ə
refermen	r ə f 'ɛ r m ə n
referse	r ə f 'ɛ r s ə
refervos	r ə f 'ɛ ɾ β u s
referència	r ə f ə ɾ 'ɛ n s i ə
referències	r ə f ə ɾ 'ɛ n s i ə s
referèndum	r ə f ə ɾ 'ɛ n d u m
referèndums	r ə f ə ɾ 'ɛ n d u m s
referíem	r ə f ə ɾ 'i ə m
referís	r ə f ə ɾ 'i s
refet	r ə f 'e t
refeta	r ə f 'e t ə
refeu	r ə f 'ɛ w
refeuvos	r ə f 'ɛ w β u s
refia	r ə f 'i ə
refiar	r ə f i 'a
refiarse	r ə f i 'a r s ə
refiats	r ə f i 'a t s
refiava	r ə f i 'a β ə
refiem	r ə f i 'ɛ m
refien	r ə f 'i ə n
refies	r ə f 'i ə s
refinació	r ə f i n ə s i 'o
refinada	r ə f i n 'a ð ə
refinades	r ə f i n 'a ð ə s
refinament	r ə f i n ə m 'e n
refinaments	r ə f i n ə m 'e n s
refinançar	r ə f i n ə n s 'a
refinar	r ə f i n 'a
refinat	r ə f i n 'a t
refinatge	r ə f i n 'a d ʒ ə
refinats	r ə f i n 'a t s
refineria	r ə f i n ə ɾ 'i ə
refineries	r ə f i n ə ɾ 'i ə s
refio	r ə f 'i u
refiïn	r ə f 'i i n
refiïs	r ə f 'i i s
reflectant	r ə f l ə k t 'a n
reflecteix	r ə f l ə k t 'ɛ ʃ
reflecteixen	r ə f l ə k t 'ɛ ʃ ə n
reflecteixi	r ə f l ə k t 'ɛ ʃ i
reflecteixin	r ə f l ə k t 'ɛ ʃ i n
reflectia	r ə f l ə k t 'i ə
reflectida	r ə f l ə k t 'i ð ə
reflectides	r ə f l ə k t 'i ð ə s
reflectien	r ə f l ə k t 'i ə n
reflectint	r ə f l ə k t 'i n
reflectir	r ə f l ə k t 'i
reflectiran	r ə f l ə k t i ɾ 'a n
reflectirles	r ə f l ə k t 'i r l ə s
reflectirlo	r ə f l ə k t 'i r l u
reflectirse	r ə f l ə k t 'i r s ə
reflectirà	r ə f l ə k t i ɾ 'a
reflectissin	r ə f l ə k t 'i s i n
reflectit	r ə f l ə k t 'i t
reflectits	r ə f l ə k t 'i t s
reflectivitat	r ə f l ə k t i β i t 'a t
reflector	r ə f l ə k t 'o
reflectís	r ə f l ə k t 'i s
reflex	r ə f l 'ɛ k s
reflexa	r ə f l 'e k s ə
reflexant	r ə f l ə k s 'a n
reflexar	r ə f l ə k s 'a
reflexen	r ə f l 'e k s ə n
reflexiona	r ə f l ə k s i 'o n ə
reflexionant	r ə f l ə k s i u n 'a n
reflexionar	r ə f l ə k s i u n 'a
reflexionaran	r ə f l ə k s i u n ə ɾ 'a n
reflexionarhi	r ə f l ə k s i u n 'a ɾ i
reflexionarà	r ə f l ə k s i u n ə ɾ 'a
reflexionaré	r ə f l ə k s i u n ə ɾ 'e
reflexionat	r ə f l ə k s i u n 'a t
reflexionava	r ə f l ə k s i u n 'a β ə
reflexionaven	r ə f l ə k s i u n 'a β ə n
reflexionem	r ə f l ə k s i u n 'ɛ m
reflexionemhi	r ə f l ə k s i u n 'e m i
reflexionen	r ə f l ə k s i 'o n ə n
reflexiones	r ə f l ə k s i 'o n ə s
reflexioneu	r ə f l ə k s i u n 'ɛ w
reflexioneuhi	r ə f l ə k s i u n 'ɛ ʔ i
reflexioni	r ə f l ə k s i 'ɔ n i
reflexionin	r ə f l ə k s i 'ɔ n i n
reflexions	r ə f l ə k s i 'o n s
reflexionés	r ə f l ə k s i u n 'e s
reflexiu	r ə f l ə k s 'i w
reflexius	r ə f l ə k s 'i w s
reflexiva	r ə f l ə k s 'i β ə
reflexives	r ə f l ə k s 'i β ə s
reflexió	r ə f l ə k s i 'o
reflexos	r ə f l 'ɛ k s u s
reflexoteràpia	r ə f l ə k s u t ə ɾ 'a p i ə
reflotar	r ə f l u t 'a
reflux	r ə f l 'u k s
refluxos	r ə f l 'u k s u s
reforcen	r ə f 'ɔ r s ə n
reforceu	r ə f u r s 'ɛ w
reforci	r ə f 'ɔ r s i
reforcin	r ə f 'ɔ r s i n
reforma	r ə f 'o r m ə
reformada	r ə f u r m 'a ð ə
reformades	r ə f u r m 'a ð ə s
reformador	r ə f u r m ə ð 'o
reformadores	r ə f u r m ə ð 'o ɾ ə s
reformadors	r ə f u r m ə ð 'o s
reformant	r ə f u r m 'a n
reformar	r ə f u r m 'a
reformarla	r ə f u r m 'a r l ə
reformarlo	r ə f u r m 'a r l u
reformarse	r ə f u r m 'a r s ə
reformarà	r ə f u r m ə ɾ 'a
reformat	r ə f u r m 'a t
reformatori	r ə f u r m ə t 'ɔ ɾ i
reformatoris	r ə f u r m ə t 'ɔ ɾ i s
reformes	r ə f 'o r m ə s
reformi	r ə f 'o r m i
reformin	r ə f 'o r m i n
reformisme	r ə f u r m 'i z m ə
reformista	r ə f u r m 'i s t ə
reformistes	r ə f u r m 'i s t ə s
reformulació	r ə f u r m u l ə s i 'o
reformular	r ə f u r m u l 'a
reformularles	r ə f u r m u l 'a r l ə s
reformulat	r ə f u r m u l 'a t
reforç	r ə f 'ɔ r s
reforça	r ə f 'ɔ r s ə
reforçada	r ə f u r s 'a ð ə
reforçades	r ə f u r s 'a ð ə s
reforçament	r ə f u r s ə m 'e n
reforçant	r ə f u r s 'a n
reforçantse	r ə f u r s 'a n s ə
reforçar	r ə f u r s 'a
reforçaran	r ə f u r s ə ɾ 'a n
reforçaria	r ə f u r s ə ɾ 'i ə
reforçarla	r ə f u r s 'a r l ə
reforçarlo	r ə f u r s 'a r l u
reforçarlos	r ə f u r s 'a r l u s
reforçarse	r ə f u r s 'a r s ə
reforçarà	r ə f u r s ə ɾ 'a
reforçat	r ə f u r s 'a t
reforçats	r ə f u r s 'a t s
reforços	r ə f 'ɔ r s u s
refosa	r ə f 'o z ə
refoses	r ə f 'o z ə s
refot	r ə f 'ɔ t
refotut	r ə f u t 'u t
refracció	r ə f ɾ ə k s i 'o
refractari	r ə f ɾ ə k t 'a ɾ i
refractaris	r ə f ɾ ə k t 'a ɾ i s
refractària	r ə f ɾ ə k t 'a ɾ i ə
refrany	r ə f ɾ 'a ɲ
refranys	r ə f ɾ 'a ɲ s
refreda	r ə f ɾ 'ɛ ð ə
refredada	r ə f ɾ ə ð 'a ð ə
refredadora	r ə f ɾ ə ð ə ð 'o ɾ ə
refredament	r ə f ɾ ə ð ə m 'e n
refredar	r ə f ɾ ə ð 'a
refredaran	r ə f ɾ ə ð ə ɾ 'a n
refredat	r ə f ɾ ə ð 'a t
refredats	r ə f ɾ ə ð 'a t s
refredi	r ə f ɾ 'ɛ ð i
refredin	r ə f ɾ 'ɛ ð i n
refregit	r ə f ɾ ə ʒ 'i t
refregits	r ə f ɾ ə ʒ 'i t s
refrenar	r ə f ɾ ə n 'a
refrendat	r ə f ɾ ə n d 'a t
refresc	r ə f ɾ 'ɛ s k
refresca	r ə f ɾ 'ɛ s k ə
refrescant	r ə f ɾ ə s k 'a n
refrescants	r ə f ɾ ə s k 'a n s
refrescar	r ə f ɾ ə s k 'a
refrescaries	r ə f ɾ ə s k ə ɾ 'i ə s
refrescarnos	r ə f ɾ ə s k 'a r n u s
refrescarà	r ə f ɾ ə s k ə ɾ 'a
refresco	r ə f ɾ 'ɛ s k u
refrescos	r ə f ɾ 'e s k u s
refrescs	r ə f ɾ 'ɛ s k s
refrigeració	r ə f ɾ i ʒ ə ɾ ə s i 'o
refrigerades	r ə f ɾ i ʒ ə ɾ 'a ð ə s
refrigerador	r ə f ɾ i ʒ ə ɾ ə ð 'o
refrigeri	r ə f ɾ i ʒ 'ɛ ɾ i
refrà	r ə f ɾ 'a
refugi	r ə f 'u ʒ i
refugia	r ə f u ʒ 'i ə
refugiada	r ə f u ʒ i 'a ð ə
refugiades	r ə f u ʒ i 'a ð ə s
refugiar	r ə f u ʒ i 'a
refugiarse	r ə f u ʒ i 'a r s ə
refugiat	r ə f u ʒ i 'a t
refugiats	r ə f u ʒ i 'a t s
refugiaven	r ə f u ʒ i 'a β ə n
refugiem	r ə f u ʒ i 'ɛ m
refugien	r ə f u ʒ 'i ə n
refugio	r ə f u ʒ 'i u
refugis	r ə f 'u ʒ i s
refulgent	r ə f u l ʒ 'e n
refulgents	r ə f u l ʒ 'e n s
refulgència	r ə f u l ʒ 'ɛ n s i ə
refundació	r ə f u n d ə s i 'o
refundada	r ə f u n d 'a ð ə
refundar	r ə f u n d 'a
refusa	r ə f 'u z ə
refusada	r ə f u z 'a ð ə
refusant	r ə f u z 'a n
refusar	r ə f u z 'a
refusat	r ə f u z 'a t
refusen	r ə f 'u z ə n
refusés	r ə f u z 'e s
refutar	r ə f u t 'a
refà	r ə f 'a
refés	r ə f 'e s
refús	r ə f 'u s
rega	r 'e ɣ ə
regada	r ə ɣ 'a ð ə
regadiu	r ə ɣ ə ð 'i w
regadius	r ə ɣ ə ð 'i w s
regadora	r ə ɣ ə ð 'o ɾ ə
regal	r ə ɣ 'a l
regala	r ə ɣ 'a l ə
regalades	r ə ɣ ə l 'a ð ə s
regalant	r ə ɣ ə l 'a n
regalantlos	r ə ɣ ə l 'a n l l u s
regalar	r ə ɣ ə l 'a
regalaran	r ə ɣ ə l ə ɾ 'a n
regalarem	r ə ɣ ə l ə ɾ 'ɛ m
regalarles	r ə ɣ ə l 'a r l ə s
regalarli	r ə ɣ ə l 'a r l i
regalarlo	r ə ɣ ə l 'a r l u
regalarme	r ə ɣ ə l 'a r m ə
regalarnos	r ə ɣ ə l 'a r n u s
regalarse	r ə ɣ ə l 'a r s ə
regalarà	r ə ɣ ə l ə ɾ 'a
regalat	r ə ɣ ə l 'a t
regalats	r ə ɣ ə l 'a t s
regalava	r ə ɣ ə l 'a β ə
regalem	r ə ɣ ə l 'ɛ m
regalen	r ə ɣ 'a l ə n
regalet	r ə ɣ ə l 'ɛ t
regalets	r ə ɣ ə l 'ɛ t s
regali	r ə ɣ 'a l i
regalima	r ə ɣ ə l 'i m ə
regalimant	r ə ɣ ə l i m 'a n
regalimar	r ə ɣ ə l i m 'a
regalimaven	r ə ɣ ə l i m 'a β ə n
regalin	r ə ɣ 'a l i n
regalo	r ə ɣ 'a l u
regals	r ə ɣ 'a l s
regalés	r ə ɣ ə l 'e s
regants	r ə ɣ 'a n s
regar	r ə ɣ 'a
regaran	r ə ɣ ə ɾ 'a n
regarho	r ə ɣ 'a ɾ u
regasificació	r ə ɣ ə z i f i k ə s i 'o
regasificadora	r ə ɣ ə z i f i k ə ð 'o ɾ ə
regat	r ə ɣ 'a t
regata	r ə ɣ 'a t ə
regateig	r ə ɣ ə t 'ɛ tʃ
regateja	r ə ɣ ə t 'ɛ ʒ ə
regatejar	r ə ɣ ə t ə ʒ 'a
regates	r ə ɣ 'a t ə s
regatge	r ə ɣ 'a d ʒ ə
regatista	r ə ɣ ə t 'i s t ə
regats	r ə ɣ 'a t s
regaven	r ə ɣ 'a β ə n
regeix	r ə ʒ 'ɛ ʃ
regeixen	r ə ʒ 'ɛ ʃ ə n
regeneracionisme	r ə ʒ ə n ə ɾ ə s i u n 'i z m ə
regeneracionista	r ə ʒ ə n ə ɾ ə s i u n 'i s t ə
regeneracionistes	r ə ʒ ə n ə ɾ ə s i u n 'i s t ə s
regeneració	r ə ʒ ə n ə ɾ ə s i 'o
regenerada	r ə ʒ ə n ə ɾ 'a ð ə
regenerades	r ə ʒ ə n ə ɾ 'a ð ə s
regenerador	r ə ʒ ə n ə ɾ ə ð 'o
regeneradora	r ə ʒ ə n ə ɾ ə ð 'o ɾ ə
regeneradors	r ə ʒ ə n ə ɾ ə ð 'o s
regenerant	r ə ʒ ə n ə ɾ 'a n
regenerar	r ə ʒ ə n ə ɾ 'a
regenerarse	r ə ʒ ə n ə ɾ 'a r s ə
regenerat	r ə ʒ ə n ə ɾ 'a t
regent	r ə ʒ 'e n
regenta	r ə ʒ 'e n t ə
regentada	r ə ʒ ə n t 'a ð ə
regentat	r ə ʒ ə n t 'a t
regentats	r ə ʒ ə n t 'a t s
regentava	r ə ʒ ə n t 'a β ə
regenten	r ə ʒ 'e n t ə n
regi	r 'ɛ ʒ i
regia	r ə ʒ 'i ə
regicidi	r ə ʒ i s 'i ð i
regida	r ə ʒ 'i ð ə
regides	r ə ʒ 'i ð ə s
regidor	r ə ʒ i ð 'o
regidora	r ə ʒ i ð 'o ɾ ə
regidores	r ə ʒ i ð 'o ɾ ə s
regidoria	r ə ʒ i ð u ɾ 'i ə
regidories	r ə ʒ i ð u ɾ 'i ə s
regidors	r ə ʒ i ð 'o s
regien	r ə ʒ 'i ə n
regim	r ə ʒ 'i m
regiment	r ə ʒ i m 'e n
regiments	r ə ʒ i m 'e n s
regina	r ə ʒ 'i n ə
regional	r ə ʒ i u n 'a l
regionalisme	r ə ʒ i u n ə l 'i z m ə
regionalista	r ə ʒ i u n ə l 'i s t ə
regionalistes	r ə ʒ i u n ə l 'i s t ə s
regionalització	r ə ʒ i u n ə l i d z ə s i 'o
regionalitzada	r ə ʒ i u n ə l i d z 'a ð ə
regionals	r ə ʒ i u n 'a l s
regions	r ə ʒ i 'o n s
regir	r ə ʒ 'i
regira	r ə ʒ 'i ɾ ə
regirar	r ə ʒ i ɾ 'a
regiren	r ə ʒ 'i ɾ ə n
regirse	r ə ʒ 'i r s ə
regirà	r ə ʒ i ɾ 'a
registra	r ə ʒ 'i s t ɾ ə
registrada	r ə ʒ i s t ɾ 'a ð ə
registrades	r ə ʒ i s t ɾ 'a ð ə s
registrador	r ə ʒ i s t ɾ ə ð 'o
registradora	r ə ʒ i s t ɾ ə ð 'o ɾ ə
registradores	r ə ʒ i s t ɾ ə ð 'o ɾ ə s
registradors	r ə ʒ i s t ɾ ə ð 'o s
registrant	r ə ʒ i s t ɾ 'a n
registrantme	r ə ʒ i s t ɾ 'a n m ə
registrar	r ə ʒ i s t ɾ 'a
registraran	r ə ʒ i s t ɾ ə ɾ 'a n
registrarse	r ə ʒ i s t ɾ 'a r s ə
registrarte	r ə ʒ i s t ɾ 'a r t ə
registrarà	r ə ʒ i s t ɾ ə ɾ 'a
registrat	r ə ʒ i s t ɾ 'a t
registrats	r ə ʒ i s t ɾ 'a t s
registrava	r ə ʒ i s t ɾ 'a β ə
registraven	r ə ʒ i s t ɾ 'a β ə n
registre	r ə ʒ 'i s t ɾ ə
registren	r ə ʒ 'i s t ɾ ə n
registres	r ə ʒ 'i s t ɾ ə s
registressin	r ə ʒ i s t ɾ 'e s i n
registri	r ə ʒ 'i s t ɾ i
registrin	r ə ʒ 'i s t ɾ i n
registrés	r ə ʒ i s t ɾ 'e s
regit	r ə ʒ 'i t
regits	r ə ʒ 'i t s
regió	r ə ʒ i 'o
regla	r 'e g g l ə
reglada	r ə g g l 'a ð ə
reglament	r ə g g l ə m 'e n
reglamentacions	r ə g g l ə m ə n t ə s i 'o n s
reglamentació	r ə g g l ə m ə n t ə s i 'o
reglamentar	r ə g g l ə m ə n t 'a
reglamentari	r ə g g l ə m ə n t 'a ɾ i
reglamentaris	r ə g g l ə m ə n t 'a ɾ i s
reglamentista	r ə g g l ə m ə n t 'i s t ə
reglaments	r ə g g l ə m 'e n s
reglamentària	r ə g g l ə m ə n t 'a ɾ i ə
reglamentàries	r ə g g l ə m ə n t 'a ɾ i ə s
reglat	r ə g g l 'a t
reglatges	r ə g g l 'a d ʒ ə s
reglats	r ə g g l 'a t s
regles	r 'e g g l ə s
regna	r 'e g n ə
regnant	r ə g n 'a n
regnar	r ə g n 'a
regnarà	r ə g n ə ɾ 'a
regnat	r ə g n 'a t
regnava	r ə g n 'a β ə
regne	r 'e g n ə
regnen	r 'e g n ə n
regnes	r 'e g n ə s
regni	r 'e g n i
regravables	r ə ɣ ɾ ə β 'a b b l ə s
regravador	r ə ɣ ɾ ə β ə ð 'o
regravadores	r ə ɣ ɾ ə β ə ð 'o ɾ ə s
regressiu	r ə ɣ ɾ ə s 'i w
regressiva	r ə ɣ ɾ ə s 'i β ə
regressives	r ə ɣ ɾ ə s 'i β ə s
regressió	r ə ɣ ɾ ə s i 'o
regs	r 'e k s
reguerol	r ə ɣ ə ɾ 'ɔ l
reguitzell	r ə ɣ i d z 'e ʎ
regula	r ə ɣ 'u l ə
regulacions	r ə ɣ u l ə s i 'o n s
regulació	r ə ɣ u l ə s i 'o
regulada	r ə ɣ u l 'a ð ə
regulades	r ə ɣ u l 'a ð ə s
regulador	r ə ɣ u l ə ð 'o
reguladora	r ə ɣ u l ə ð 'o ɾ ə
reguladores	r ə ɣ u l ə ð 'o ɾ ə s
reguladors	r ə ɣ u l ə ð 'o s
regulant	r ə ɣ u l 'a n
regular	r ə ɣ u l 'a
regularan	r ə ɣ u l ə ɾ 'a n
regularhi	r ə ɣ u l 'a ɾ i
regularies	r ə ɣ u l ə ɾ 'i ə s
regularitat	r ə ɣ u l ə ɾ i t 'a t
regularitats	r ə ɣ u l ə ɾ i t 'a t s
regularitzacions	r ə ɣ u l ə ɾ i d z ə s i 'o n s
regularització	r ə ɣ u l ə ɾ i d z ə s i 'o
regularitzada	r ə ɣ u l ə ɾ i d z 'a ð ə
regularitzar	r ə ɣ u l ə ɾ i d z 'a
regularitzarne	r ə ɣ u l ə ɾ i d z 'a r n ə
regularitzarse	r ə ɣ u l ə ɾ i d z 'a r s ə
regularitzat	r ə ɣ u l ə ɾ i d z 'a t
regularitzats	r ə ɣ u l ə ɾ i d z 'a t s
regularne	r ə ɣ u l 'a r n ə
regulars	r ə ɣ u l 'a s
regularà	r ə ɣ u l ə ɾ 'a
regulat	r ə ɣ u l 'a t
regulatori	r ə ɣ u l ə t 'ɔ ɾ i
regulats	r ə ɣ u l 'a t s
regulatòries	r ə ɣ u l ə t 'ɔ ɾ i ə s
regulava	r ə ɣ u l 'a β ə
regulaven	r ə ɣ u l 'a β ə n
regulen	r ə ɣ 'u l ə n
reguli	r ə ɣ 'u l i
regulin	r ə ɣ 'u l i n
regulés	r ə ɣ u l 'e s
regust	r ə ɣ 'u s t
rehabilita	r e ə β i l 'i t ə
rehabilitacions	r e ə β i l i t ə s i 'o n s
rehabilitació	r e ə β i l i t ə s i 'o
rehabilitada	r e ə β i l i t 'a ð ə
rehabilitades	r e ə β i l i t 'a ð ə s
rehabilitant	r e ə β i l i t 'a n
rehabilitar	r e ə β i l i t 'a
rehabilitat	r e ə β i l i t 'a t
rehabilitats	r e ə β i l i t 'a t s
rehabiliten	r e ə β i l 'i t ə n
rei	r 'e j
reia	r ə j 'a
reial	r ə j 'a l
reialesa	r ə j ə l 'ɛ z ə
reialista	r ə j ə l 'i s t ə
reialistes	r ə j ə l 'i s t ə s
reialme	r ə j 'a l m ə
reials	r ə j 'a l s
reien	r ə j 'e n
reiet	r ə j 'ɛ t
reietons	r ə j ə t 'o n s
reietó	r ə j ə t 'o
reig	r 'e tʃ
reimpressió	r ə i m p ɾ ə s i 'o
reina	r 'e j n ə
reinauguració	r ə i n ə w ɣ u ɾ ə s i 'o
reinaugurant	r ə i n ə w ɣ u ɾ 'a n
reinaugurar	r ə i n ə w ɣ u ɾ 'a
reincideix	r ə i n s i ð 'ɛ ʃ
reincident	r ə i n s i ð 'e n
reincidents	r ə i n s i ð 'e n s
reincidia	r ə i n s i ð 'i ə
reincidir	r ə i n s i ð 'i
reincidit	r ə i n s i ð 'i t
reincidència	r ə i n s i ð 'ɛ n s i ə
reincorpora	r ə i ŋ k u r p 'o ɾ ə
reincorporació	r ə i ŋ k u r p u ɾ ə s i 'o
reincorporar	r ə i ŋ k u r p u ɾ 'a
reincorporarse	r ə i ŋ k u r p u ɾ 'a r s ə
reincorporat	r ə i ŋ k u r p u ɾ 'a t
