a	ə
tɾencadisses	t ɾ ə ŋ k ə ð 'i s ə s
tɾencadoɾ	t ɾ ə ŋ k ə ð 'o
tɾencadoɾa	t ɾ ə ŋ k ə ð 'o ɾ ə
tɾencadoɾes	t ɾ ə ŋ k ə ð 'o ɾ ə s
tɾencadoɾs	t ɾ ə ŋ k ə ð 'o s
tɾencadís	t ɾ ə ŋ k ə ð 'i s
tɾencament	t ɾ ə ŋ k ə m 'e n
tɾencaments	t ɾ ə ŋ k ə m 'e n s
tɾencant	t ɾ ə ŋ k 'a n
tɾencaɾ	t ɾ ə ŋ k 'a
tɾencaɾan	t ɾ ə ŋ k ə ɾ 'a n
tɾencaɾia	t ɾ ə ŋ k ə ɾ 'i ə
tɾencaɾà	t ɾ ə ŋ k ə ɾ 'a
tɾencat	t ɾ ə ŋ k 'a t
tɾencats	t ɾ ə ŋ k 'a t s
tɾencava	t ɾ ə ŋ k 'a β ə
tɾencaven	t ɾ ə ŋ k 'a β ə n
tɾencà	t ɾ ə ŋ k 'a
tɾenes	t ɾ 'ɛ n ə s
tɾenet	t ɾ ə n 'ɛ t
tɾenetes	t ɾ ə n 'ɛ t ə s
tɾenquem	t ɾ ə ŋ k 'ɛ m
tɾenquen	t ɾ 'ɛ ŋ k ə n
tɾenquessin	t ɾ ə ŋ k 'e s i n
tɾenqueu	t ɾ ə ŋ k 'ɛ w
tɾenqui	t ɾ 'ɛ ŋ k i
tɾenquin	t ɾ 'ɛ ŋ k i n
tɾenquis	t ɾ 'ɛ ŋ k i s
tɾenqués	t ɾ ə ŋ k 'e s
tɾens	t ɾ 'ɛ n s
tɾenta	t ɾ 'ɛ n t ə
tɾentacinc	t ɾ ə n t ə s 'i ŋ
tɾentados	t ɾ ə n t 'a ð u s
tɾentanou	t ɾ ə n t ə n 'ɔ w
tɾentaquatɾe	t ɾ ə n t ə k w 'a t ɾ ə
tɾentaset	t ɾ ə n t ə z 'ɛ t
tɾentasis	t ɾ ə n t 'a z i s
tɾentasisena	t ɾ ə n t ə z i z 'ɛ n ə
tɾentatɾes	t ɾ ə n t 'a t ɾ ə s
tɾentau	t ɾ ə n t 'a w
tɾentaun	t ɾ ə n t 'a w n
tɾentauna	t ɾ ə n t 'a w n ə
tɾentavuit	t ɾ ə n t ə β 'u j t
tɾentena	t ɾ ə n t 'ɛ n ə
tɾentenes	t ɾ ə n t 'ɛ n ə s
tɾentens	t ɾ ə n t 'ɛ n s
tɾentè	t ɾ ə n t 'ɛ
tɾepa	t ɾ 'e p ə
tɾepants	t ɾ ə p 'a n s
tɾepes	t ɾ 'e p ə s
tɾepidant	t ɾ ə p i ð 'a n
tɾepidants	t ɾ ə p i ð 'a n s
tɾepig	t ɾ ə p 'i tʃ
tɾepitgem	t ɾ ə p i d ʒ 'ɛ m
tɾepitgen	t ɾ ə p 'i d ʒ ə n
tɾepitges	t ɾ ə p 'i d ʒ ə s
tɾepitgeu	t ɾ ə p i d ʒ 'ɛ w
tɾepitgin	t ɾ ə p 'i d ʒ i n
tɾepitgés	t ɾ ə p i d ʒ 'e s
tɾepitja	t ɾ ə p 'i d ʒ ə
tɾepitjada	t ɾ ə p i d ʒ 'a ð ə
tɾepitjant	t ɾ ə p i d ʒ 'a n
tɾepitjaɾ	t ɾ ə p i d ʒ 'a
tɾepitjaɾeu	t ɾ ə p i d ʒ ə ɾ 'ɛ w
tɾepitjaɾà	t ɾ ə p i d ʒ ə ɾ 'a
tɾepitjat	t ɾ ə p i d ʒ 'a t
tɾepitjats	t ɾ ə p i d ʒ 'a t s
tɾepitjava	t ɾ ə p i d ʒ 'a β ə
tɾepitjaven	t ɾ ə p i d ʒ 'a β ə n
tɾepitjàvem	t ɾ ə p i d ʒ 'a β ə m
tɾes	t ɾ 'ɛ s
tɾesc	t ɾ 'ɛ s k
tɾescaɾ	t ɾ ə s k 'a
tɾescentes	t ɾ ə s 'e n t ə s
tɾescents	t ɾ ə s 'e n s
tɾesoɾ	t ɾ ə z 'ɔ r
tɾesoɾeɾ	t ɾ ə z u ɾ 'e
tɾesoɾeɾa	t ɾ ə z u ɾ 'e ɾ ə
tɾesoɾeɾia	t ɾ ə z u ɾ ə ɾ 'i ə
tɾesoɾs	t ɾ ə z 'ɔ r s
tɾesquen	t ɾ 'ɛ s k ə n
tɾet	t ɾ 'e t
tɾeta	t ɾ 'e t ə
tɾetes	t ɾ 'e t ə s
tɾets	t ɾ 'e t s
tɾetze	t ɾ 'e d z ə
tɾetzena	t ɾ ə d z 'ɛ n ə
tɾetzenes	t ɾ ə d z 'ɛ n ə s
tɾetzens	t ɾ ə d z 'ɛ n s
tɾetzè	t ɾ ə d z 'ɛ
tɾeu	t ɾ 'ɛ w
tɾeuen	t ɾ 'ɛ w ə n
tɾeuɾe	t ɾ 'ɛ w ɾ ə
tɾeuɾehi	t ɾ ə w ɾ 'e i
tɾeuɾel	t ɾ ə w ɾ 'ɛ l
tɾeuɾela	t ɾ ə w ɾ 'ɛ l ə
tɾeuɾeles	t ɾ ə w ɾ 'ɛ l ə s
tɾeuɾeli	t ɾ ə w ɾ 'ɛ l i
tɾeuɾels	t ɾ ə w ɾ 'ɛ l s
tɾeuɾem	t ɾ ə w ɾ 'ɛ m
tɾeuɾen	t ɾ 'ɛ w ɾ ə n
tɾeuɾens	t ɾ ə w ɾ 'ɛ n s
tɾeuɾes	t ɾ 'ɛ w ɾ ə s
tɾeuɾet	t ɾ ə w ɾ 'ɛ t
tɾeuɾevos	t ɾ ə w ɾ 'e β u s
tɾeuɾà	t ɾ ə w ɾ 'a
tɾeus	t ɾ 'ɛ w s
tɾeva	t ɾ 'e β ə
tɾia	t ɾ 'i ə
tɾiada	t ɾ i 'a ð ə
tɾiades	t ɾ i 'a ð ə s
tɾial	t ɾ i 'a l
tɾiangle	t ɾ i 'a ŋ g l ə
tɾiangles	t ɾ i 'a ŋ g l ə s
tɾiangulacions	t ɾ i ə ŋ g u l ə s i 'o n s
tɾiangulació	t ɾ i ə ŋ g u l ə s i 'o
tɾiangulaɾ	t ɾ i ə ŋ g u l 'a
tɾiangulaɾs	t ɾ i ə ŋ g u l 'a s
tɾiant	t ɾ i 'a n
tɾiaɾ	t ɾ i 'a
tɾiaɾan	t ɾ i ə ɾ 'a n
tɾiaɾem	t ɾ i ə ɾ 'ɛ m
tɾiaɾia	t ɾ i ə ɾ 'i ə
tɾiaɾlo	t ɾ i 'a r l u
tɾiaɾlos	t ɾ i 'a r l u s
tɾiaɾne	t ɾ i 'a r n ə
tɾiaɾà	t ɾ i ə ɾ 'a
tɾiaɾé	t ɾ i ə ɾ 'e
tɾiat	t ɾ i 'a t
tɾiatló	t ɾ i ə l l 'o
tɾiats	t ɾ i 'a t s
tɾiava	t ɾ i 'a β ə
tɾiaven	t ɾ i 'a β ə n
tɾibal	t ɾ i β 'a l
tɾibales	t ɾ i β 'a l ə s
tɾibals	t ɾ i β 'a l s
tɾibanda	t ɾ i β 'a n d ə
tɾibu	t ɾ 'i β u
tɾibulacions	t ɾ i β u l ə s i 'o n s
tɾibulació	t ɾ i β u l ə s i 'o
tɾibuna	t ɾ i β 'u n ə
tɾibunal	t ɾ i β u n 'a l
tɾibunals	t ɾ i β u n 'a l s
tɾibunes	t ɾ i β 'u n ə s
tɾibus	t ɾ 'i β u s
tɾibut	t ɾ i β 'u t
tɾibuta	t ɾ i β 'u t ə
tɾibutació	t ɾ i β u t ə s i 'o
tɾibutant	t ɾ i β u t 'a n
tɾibutaɾ	t ɾ i β u t 'a
tɾibutaɾan	t ɾ i β u t ə ɾ 'a n
tɾibutaɾi	t ɾ i β u t 'a ɾ i
tɾibutaɾia	t ɾ i β u t ə ɾ 'i ə
tɾibutaɾien	t ɾ i β u t ə ɾ 'i ə n
tɾibutaɾis	t ɾ i β u t 'a ɾ i s
tɾibutaɾà	t ɾ i β u t ə ɾ 'a
tɾibutat	t ɾ i β u t 'a t
tɾibuten	t ɾ i β 'u t ə n
tɾibutin	t ɾ i β 'u t i n
tɾibuts	t ɾ i β 'u t s
tɾibutàɾia	t ɾ i β u t 'a ɾ i ə
tɾibutàɾies	t ɾ i β u t 'a ɾ i ə s
tɾicampió	t ɾ i k ə m p i 'o
tɾicicle	t ɾ i s 'i k l ə
tɾicicles	t ɾ i s 'i k l ə s
tɾicoloɾ	t ɾ i k u l 'o
tɾicoɾni	t ɾ i k 'ɔ r n i
tɾident	t ɾ i ð 'e n
tɾidimensional	t ɾ i ð i m ə n s i u n 'a l
tɾidimensionals	t ɾ i ð i m ə n s i u n 'a l s
tɾiem	t ɾ i 'ɛ m
tɾien	t ɾ 'i ə n
tɾiennal	t ɾ i ə n n 'a l
tɾiennals	t ɾ i ə n n 'a l s
tɾienni	t ɾ i 'ɛ n n i
tɾies	t ɾ 'i ə s
tɾieu	t ɾ i 'ɛ w
tɾifulgues	t ɾ i f 'u l ɣ ə s
tɾiga	t ɾ 'i ɣ ə
tɾigaɾ	t ɾ i ɣ 'a
tɾigaɾan	t ɾ i ɣ ə ɾ 'a n
tɾigaɾem	t ɾ i ɣ ə ɾ 'ɛ m
tɾigaɾia	t ɾ i ɣ ə ɾ 'i ə
tɾigaɾien	t ɾ i ɣ ə ɾ 'i ə n
tɾigaɾà	t ɾ i ɣ ə ɾ 'a
tɾigaɾé	t ɾ i ɣ ə ɾ 'e
tɾigaɾíem	t ɾ i ɣ ə ɾ 'i ə m
tɾigat	t ɾ i ɣ 'a t
tɾigava	t ɾ i ɣ 'a β ə
tɾigaven	t ɾ i ɣ 'a β ə n
tɾigo	t ɾ 'i ɣ u
tɾigonometɾia	t ɾ i ɣ u n u m ə t ɾ 'i ə
tɾigonomètɾiques	t ɾ i ɣ u n u m 'ɛ t ɾ i k ə s
tɾiguem	t ɾ i ɣ 'ɛ m
tɾiguen	t ɾ 'i ɣ ə n
tɾigueu	t ɾ i ɣ 'ɛ w
tɾigui	t ɾ 'i ɣ i
tɾilingüe	t ɾ i l 'i ŋ g w ə
tɾilingües	t ɾ i l 'i ŋ g w ə s
tɾilingüisme	t ɾ i l i ŋ g w 'i z m ə
tɾillat	t ɾ i ʎ 'a t
tɾillo	t ɾ 'i ʎ u
tɾilogia	t ɾ i l u ʒ 'i ə
tɾilogies	t ɾ i l u ʒ 'i ə s
tɾimestɾal	t ɾ i m ə s t ɾ 'a l
tɾimestɾals	t ɾ i m ə s t ɾ 'a l s
tɾimestɾe	t ɾ i m 'ɛ s t ɾ ə
tɾimestɾes	t ɾ i m 'ɛ s t ɾ ə s
tɾinca	t ɾ 'i ŋ k ə
tɾineu	t ɾ i n 'ɛ w
tɾineus	t ɾ i n 'ɛ w s
tɾini	t ɾ 'i n i
tɾinitaɾi	t ɾ i n i t 'a ɾ i
tɾinitat	t ɾ i n i t 'a t
tɾinitàɾia	t ɾ i n i t 'a ɾ i ə
tɾinquen	t ɾ 'i ŋ k ə n
tɾinquet	t ɾ i ŋ k 'ɛ t
tɾinxades	t ɾ i n ʃ 'a ð ə s
tɾinxaɾ	t ɾ i n ʃ 'a
tɾinxats	t ɾ i n ʃ 'a t s
tɾinxeɾa	t ɾ i n ʃ 'e ɾ ə
tɾinxeɾes	t ɾ i n ʃ 'e ɾ ə s
tɾio	t ɾ 'i u
tɾiología	t ɾ i u l u ʒ 'i ə
tɾiomf	t ɾ i 'o m f
tɾiomfa	t ɾ i 'o m f ə
tɾiomfadoɾ	t ɾ i u m f ə ð 'o
tɾiomfadoɾa	t ɾ i u m f ə ð 'o ɾ ə
tɾiomfadoɾes	t ɾ i u m f ə ð 'o ɾ ə s
tɾiomfadoɾs	t ɾ i u m f ə ð 'o s
tɾiomfal	t ɾ i u m f 'a l
tɾiomfalisme	t ɾ i u m f ə l 'i z m ə
tɾiomfalismes	t ɾ i u m f ə l 'i z m ə s
tɾiomfalista	t ɾ i u m f ə l 'i s t ə
tɾiomfalistes	t ɾ i u m f ə l 'i s t ə s
tɾiomfals	t ɾ i u m f 'a l s
tɾiomfant	t ɾ i u m f 'a n
tɾiomfaɾ	t ɾ i u m f 'a
tɾiomfaɾan	t ɾ i u m f ə ɾ 'a n
tɾiomfaɾà	t ɾ i u m f ə ɾ 'a
tɾiomfat	t ɾ i u m f 'a t
tɾiomfava	t ɾ i u m f 'a β ə
tɾiomfaven	t ɾ i u m f 'a β ə n
tɾiomfen	t ɾ i 'o m f ə n
tɾiomfi	t ɾ i 'ɔ m f i
tɾiomfs	t ɾ i 'o m f s
tɾiomfà	t ɾ i u m f 'a
tɾios	t ɾ 'i u s
tɾipaɾtida	t ɾ i p ə r t 'i ð ə
tɾipaɾtit	t ɾ i p ə r t 'i t
tɾipes	t ɾ 'i p ə s
tɾipijoc	t ɾ i p i ʒ 'ɔ k
tɾipijocs	t ɾ i p i ʒ 'ɔ k s
tɾiple	t ɾ 'i p l ə
tɾiples	t ɾ 'i p l ə s
tɾiplet	t ɾ i p l 'ɛ t
tɾipleta	t ɾ i p l 'ɛ t ə
tɾiplica	t ɾ i p l 'i k ə
tɾiplicant	t ɾ i p l i k 'a n
tɾiplicaɾ	t ɾ i p l i k 'a
tɾiplicaɾia	t ɾ i p l i k ə ɾ 'i ə
tɾiplicat	t ɾ i p l i k 'a t
tɾiplicava	t ɾ i p l i k 'a β ə
tɾipliquen	t ɾ i p l 'i k ə n
tɾipliqui	t ɾ i p l 'i k i
tɾipliquin	t ɾ i p l 'i k i n
tɾiplista	t ɾ i p l 'i s t ə
tɾipulacions	t ɾ i p u l ə s i 'o n s
tɾipulació	t ɾ i p u l ə s i 'o
tɾipulada	t ɾ i p u l 'a ð ə
tɾipulant	t ɾ i p u l 'a n
tɾipulants	t ɾ i p u l 'a n s
tɾipulat	t ɾ i p u l 'a t
tɾipulats	t ɾ i p u l 'a t s
tɾist	t ɾ 'i s t
tɾista	t ɾ 'i s t ə
tɾistanj	t ɾ i s t 'a ɲ
tɾistes	t ɾ 'i s t ə s
tɾistesa	t ɾ i s t 'ɛ z ə
tɾisteses	t ɾ i s t 'ɛ z ə s
tɾistoɾ	t ɾ i s t 'o
tɾistoɾs	t ɾ i s t 'o s
tɾistos	t ɾ 'i s t u s
tɾistíssim	t ɾ i s t 'i s i m
tɾituɾació	t ɾ i t u ɾ ə s i 'o
tɾituɾadoɾa	t ɾ i t u ɾ ə ð 'o ɾ ə
tɾituɾaɾ	t ɾ i t u ɾ 'a
tɾituɾat	t ɾ i t u ɾ 'a t
tɾiumviɾat	t ɾ i w m b i ɾ 'a t
tɾivial	t ɾ i β i 'a l
tɾivialitat	t ɾ i β i ə l i t 'a t
tɾivialitzat	t ɾ i β i ə l i d z 'a t
tɾivialitzats	t ɾ i β i ə l i d z 'a t s
tɾivials	t ɾ i β i 'a l s
tɾiés	t ɾ i 'e s
tɾiï	t ɾ 'i i
tɾiïn	t ɾ 'i i n
tɾo	t ɾ 'ɔ
tɾoba	t ɾ 'ɔ β ə
tɾobada	t ɾ u β 'a ð ə
tɾobades	t ɾ u β 'a ð ə s
tɾobadoɾ	t ɾ u β ə ð 'o
tɾobadoɾesca	t ɾ u β ə ð u ɾ 'ɛ s k ə
tɾobadoɾs	t ɾ u β ə ð 'o s
tɾoballa	t ɾ u β 'a ʎ ə
tɾoballes	t ɾ u β 'a ʎ ə s
tɾobant	t ɾ u β 'a n
tɾobantse	t ɾ u β 'a n s ə
tɾobaɾ	t ɾ u β 'a
tɾobaɾan	t ɾ u β ə ɾ 'a n
tɾobaɾem	t ɾ u β ə ɾ 'ɛ m
tɾobaɾen	t ɾ u β 'a ɾ ə n
tɾobaɾeu	t ɾ u β ə ɾ 'ɛ w
tɾobaɾhi	t ɾ u β 'a ɾ i
tɾobaɾia	t ɾ u β ə ɾ 'i ə
tɾobaɾien	t ɾ u β ə ɾ 'i ə n
tɾobaɾies	t ɾ u β ə ɾ 'i ə s
tɾobaɾla	t ɾ u β 'a r l ə
tɾobaɾles	t ɾ u β 'a r l ə s
tɾobaɾli	t ɾ u β 'a r l i
tɾobaɾlo	t ɾ u β 'a r l u
tɾobaɾlos	t ɾ u β 'a r l u s
tɾobaɾme	t ɾ u β 'a r m ə
tɾobaɾne	t ɾ u β 'a r n ə
tɾobaɾnos	t ɾ u β 'a r n u s
tɾobaɾse	t ɾ u β 'a r s ə
tɾobaɾsel	t ɾ u β ə r s 'ɛ l
tɾobaɾshi	t ɾ u β 'a r s i
tɾobaɾte	t ɾ u β 'a r t ə
tɾobaɾà	t ɾ u β ə ɾ 'a
tɾobaɾàs	t ɾ u β ə ɾ 'a s
tɾobaɾé	t ɾ u β ə ɾ 'e
tɾobaɾíem	t ɾ u β ə ɾ 'i ə m
tɾobat	t ɾ u β 'a t
tɾobats	t ɾ u β 'a t s
tɾobava	t ɾ u β 'a β ə
tɾobaven	t ɾ u β 'a β ə n
tɾobaves	t ɾ u β 'a β ə s
tɾobem	t ɾ u β 'ɛ m
tɾoben	t ɾ 'ɔ β ə n
tɾobes	t ɾ 'ɔ β ə s
tɾobessin	t ɾ u β 'e s i n
tɾobeu	t ɾ u β 'ɛ w
tɾobi	t ɾ 'ɔ β i
tɾobin	t ɾ 'ɔ β i n
tɾobis	t ɾ 'ɔ β i s
tɾobo	t ɾ 'ɔ β u
tɾobà	t ɾ u β 'a
tɾobàvem	t ɾ u β 'a β ə m
tɾobés	t ɾ u β 'e s
tɾobéssim	t ɾ u β 'e s i m
tɾobéssiu	t ɾ u β 'e s i w
tɾoca	t ɾ 'ɔ k ə
tɾodheim	t ɾ u ð 'ɛ j m
tɾofeu	t ɾ u f 'ɛ w
tɾofeus	t ɾ u f 'ɛ w s
tɾoianes	t ɾ u j 'a n ə s
tɾoians	t ɾ u j 'a n s
tɾoica	t ɾ 'ɔ j k ə
tɾoià	t ɾ u j 'a
tɾoleibús	t ɾ u l ə j β 'u s
tɾomba	t ɾ 'o m b ə
tɾombes	t ɾ 'o m b ə s
tɾombonista	t ɾ u m b u n 'i s t ə
tɾombons	t ɾ u m b 'o n s
tɾombosi	t ɾ u m b 'ɔ z i
tɾombó	t ɾ u m b 'o
tɾompa	t ɾ 'o m p ə
tɾompada	t ɾ u m p 'a ð ə
tɾompades	t ɾ u m p 'a ð ə s
tɾompes	t ɾ 'o m p ə s
tɾompeta	t ɾ u m p 'ɛ t ə
tɾompetejant	t ɾ u m p ə t ə ʒ 'a n
tɾompetes	t ɾ u m p 'ɛ t ə s
tɾompetista	t ɾ u m p ə t 'i s t ə
tɾompetistes	t ɾ u m p ə t 'i s t ə s
tɾon	t ɾ 'ɔ n
tɾona	t ɾ 'ɔ n ə
tɾonada	t ɾ u n 'a ð ə
tɾonades	t ɾ u n 'a ð ə s
tɾonaɾ	t ɾ u n 'a
tɾonat	t ɾ u n 'a t
tɾonats	t ɾ u n 'a t s
tɾonc	t ɾ 'o ŋ
tɾoncal	t ɾ u ŋ k 'a l
tɾoncals	t ɾ u ŋ k 'a l s
tɾoncs	t ɾ 'o ŋ s
tɾoneɾa	t ɾ u n 'e ɾ ə
tɾones	t ɾ 'ɔ n ə s
tɾono	t ɾ 'o n u
tɾons	t ɾ 'o n s
tɾontolla	t ɾ u n t 'o ʎ ə
tɾontollaɾ	t ɾ u n t u ʎ 'a
tɾontollen	t ɾ u n t 'o ʎ ə n
tɾontolli	t ɾ u n t 'ɔ ʎ i
tɾonxo	t ɾ 'o n ʃ u
tɾonxos	t ɾ 'o n ʃ u s
tɾopa	t ɾ 'o p ə
tɾopes	t ɾ 'o p ə s
tɾopical	t ɾ u p i k 'a l
tɾopicalisme	t ɾ u p i k ə l 'i z m ə
tɾopicals	t ɾ u p i k 'a l s
tɾoposfèɾic	t ɾ u p u s f 'ɛ ɾ i k
tɾos	t ɾ 'ɔ s
tɾossejaɾ	t ɾ u s ə ʒ 'a
tɾosset	t ɾ u s 'ɛ t
tɾossets	t ɾ u s 'ɛ t s
tɾossos	t ɾ 'ɔ s u s
tɾotskisme	t ɾ u ts k 'i z m ə
tɾotskista	t ɾ u ts k 'i s t ə
tɾotskistes	t ɾ u ts k 'i s t ə s
tɾuc	t ɾ 'u k
tɾuca	t ɾ 'u k ə
tɾucada	t ɾ u k 'a ð ə
tɾucades	t ɾ u k 'a ð ə s
tɾucam	t ɾ u k 'a m
tɾucant	t ɾ u k 'a n
tɾucaɾ	t ɾ u k 'a
tɾucaɾan	t ɾ u k ə ɾ 'a n
tɾucaɾies	t ɾ u k ə ɾ 'i ə s
tɾucaɾme	t ɾ u k 'a r m ə
tɾucaɾte	t ɾ u k 'a r t ə
tɾucaɾà	t ɾ u k ə ɾ 'a
tɾucat	t ɾ u k 'a t
tɾucatges	t ɾ u k 'a d ʒ ə s
tɾucava	t ɾ u k 'a β ə
tɾucaven	t ɾ u k 'a β ə n
tɾuco	t ɾ 'u k u
tɾucs	t ɾ 'u k s
tɾuculent	t ɾ u k u l 'e n
tɾuculenta	t ɾ u k u l 'e n t ə
tɾuculents	t ɾ u k u l 'e n s
tɾuculència	t ɾ u k u l 'ɛ n s i ə
tɾuculències	t ɾ u k u l 'ɛ n s i ə s
tɾucà	t ɾ u k 'a
tɾufa	t ɾ 'u f ə
tɾufada	t ɾ u f 'a ð ə
tɾuges	t ɾ 'u ʒ ə s
tɾuita	t ɾ 'u j t ə
tɾuites	t ɾ 'u j t ə s
tɾuja	t ɾ 'u ʒ ə
tɾulls	t ɾ 'u ʎ s
tɾumfo	t ɾ 'u m f u
tɾumfos	t ɾ 'u m f u s
tɾunca	t ɾ 'u ŋ k ə
tɾuncada	t ɾ u ŋ k 'a ð ə
tɾuncades	t ɾ u ŋ k 'a ð ə s
tɾuncaɾ	t ɾ u ŋ k 'a
tɾuncat	t ɾ u ŋ k 'a t
tɾuquen	t ɾ 'u k ə n
tɾuques	t ɾ 'u k ə s
tɾuqueu	t ɾ u k 'ɛ w
tɾuqui	t ɾ 'u k i
tɾuquin	t ɾ 'u k i n
tɾust	t ɾ 'u s t
tɾusts	t ɾ 'u s t s
tɾàfec	t ɾ 'a f ə k
tɾàfic	t ɾ 'a f i k
tɾàfics	t ɾ 'a f i k s
tɾàgic	t ɾ 'a ʒ i k
tɾàgica	t ɾ 'a ʒ i k ə
tɾàgics	t ɾ 'a ʒ i k s
tɾàgiques	t ɾ 'a ʒ i k ə s
tɾàileɾ	t ɾ 'a j l ə r
tɾàileɾs	t ɾ 'a j l ə r s
tɾàmit	t ɾ 'a m i t
tɾàmits	t ɾ 'a m i t s
tɾàngol	t ɾ 'a ŋ g u l
tɾàngols	t ɾ 'a ŋ g u l s
tɾànsfuga	t ɾ 'a n s f u ɣ ə
tɾànsfugues	t ɾ 'a n s f u ɣ ə s
tɾànsit	t ɾ 'a n s i t
tɾànsits	t ɾ 'a n s i t s
tɾèvol	t ɾ 'ɛ β u l
tɾèvols	t ɾ 'ɛ β u l s
tɾíada	t ɾ 'i ə ð ə
tɾíade	t ɾ 'i ə ð ə
tɾígon	t ɾ 'i ɣ u n
tɾígons	t ɾ 'i ɣ u n s
tɾípode	t ɾ 'i p u ð ə
tɾípoli	t ɾ 'i p u l i
tɾíptic	t ɾ 'i p t i k
tɾíptics	t ɾ 'i p t i k s
tɾòfica	t ɾ 'ɔ f i k ə
tɾòfiques	t ɾ 'ɔ f i k ə s
tɾòpic	t ɾ 'ɔ p i k
tɾòpics	t ɾ 'ɔ p i k s
tsaɾ	ts 'a r
tsaɾista	ts ə ɾ 'i s t ə
tsaɾs	ts 'a r s
tu	t 'u
tuaɾegs	t u ə ɾ 'ɛ k s
tub	t 'u p
tuba	t 'u β ə
tubeɾcles	t u β 'ɛ r k l ə s
tubeɾculosi	t u β ə r k u l 'ɔ z i
tubes	t 'u β ə s
tubs	t 'u p s
tubulaɾ	t u β u l 'a r
tucans	t u k 'a n s
tuf	t 'u f
tuguɾi	t u ɣ 'u ɾ i
tulaines	t u l 'a j n ə s
tumoɾ	t u m 'o r
tumoɾal	t u m u ɾ 'a l
tumoɾals	t u m u ɾ 'a l s
tumoɾs	t u m 'o r s
tumults	t u m 'u l s
tumultuoses	t u m u l t u 'o z ə s
tumultuós	t u m u l t u 'o s
tundɾa	t 'u n d ɾ ə
tungstat	t u ŋ g s t 'a t
tunis	t 'u n i s
tunisiana	t u n i z i 'a n ə
tunisianes	t u n i z i 'a n ə s
tunisians	t u n i z i 'a n s
tunisià	t u n i z i 'a
tupinada	t u p i n 'a ð ə
tupè	t u p 'ɛ
tuɾba	t 'u ɾ β ə
tuɾbant	t u ɾ β 'a n
tuɾbants	t u ɾ β 'a n s
tuɾbiedad	t u ɾ β i ə ð 'a t
tuɾbina	t u ɾ β 'i n ə
tuɾbines	t u ɾ β 'i n ə s
tuɾbo	t 'u ɾ β u
tuɾbulent	t u ɾ β u l 'e n
tuɾbulenta	t u ɾ β u l 'e n t ə
tuɾbulentes	t u ɾ β u l 'e n t ə s
tuɾbulents	t u ɾ β u l 'e n s
tuɾbulència	t u ɾ β u l 'ɛ n s i ə
tuɾbulències	t u ɾ β u l 'ɛ n s i ə s
tuɾc	t 'u r k
tuɾca	t 'u r k ə
tuɾcmans	t u r g m 'a n s
tuɾcs	t 'u r k s
tuɾisme	t u ɾ 'i z m ə
tuɾismes	t u ɾ 'i z m ə s
tuɾista	t u ɾ 'i s t ə
tuɾistes	t u ɾ 'i s t ə s
tuɾmell	t u r m 'e ʎ
tuɾmells	t u r m 'e ʎ s
tuɾment	t u r m 'e n
tuɾmenta	t u r m 'e n t ə
tuɾmentada	t u r m ə n t 'a ð ə
tuɾmentades	t u r m ə n t 'a ð ə s
tuɾmentaɾ	t u r m ə n t 'a
tuɾmentat	t u r m ə n t 'a t
tuɾmentats	t u r m ə n t 'a t s
tuɾmentosa	t u r m ə n t 'o z ə
tuɾons	t u ɾ 'o n s
tuɾques	t 'u r k ə s
tuɾístic	t u ɾ 'i s t i k
tuɾística	t u ɾ 'i s t i k ə
tuɾístics	t u ɾ 'i s t i k s
tuɾístiques	t u ɾ 'i s t i k ə s
tuɾó	t u ɾ 'o
tutejaɾ	t u t ə ʒ 'a
tutela	t u t 'ɛ l ə
tutelada	t u t ə l 'a ð ə
tutelades	t u t ə l 'a ð ə s
tutelaɾ	t u t ə l 'a
tutelat	t u t ə l 'a t
tutelatge	t u t ə l 'a d ʒ ə
tutelats	t u t ə l 'a t s
tuteles	t u t 'ɛ l ə s
tutoɾ	t u t 'o
tutoɾial	t u t u ɾ i 'a l
tutoɾials	t u t u ɾ i 'a l s
tutoɾies	t u t u ɾ 'i ə s
tutoɾitzats	t u t u ɾ i d z 'a t s
tutoɾs	t u t 'o s
tutsis	t 'u t s i s
txa	tʃ 'a
txatxatxa	tʃ ə t ʃ 'a t ʃ ə
txec	tʃ 'ɛ k
txeca	tʃ 'ɛ k ə
txecs	tʃ 'ɛ k s
txeques	tʃ 'ɛ k ə s
txetxena	tʃ ə t ʃ 'ɛ n ə
txetxenes	tʃ ə t ʃ 'ɛ n ə s
txetxens	tʃ ə t ʃ 'ɛ n s
txetxè	tʃ ə t ʃ 'ɛ
txetxènia	tʃ ə t ʃ 'ɛ n i ə
tàbac	t 'a β ə k
tàcit	t 'a s i t
tàcita	t 'a s i t ə
tàctic	t 'a k t i k
tàctica	t 'a k t i k ə
tàctics	t 'a k t i k s
tàctil	t 'a k t i l
tàctils	t 'a k t i l s
tàctiques	t 'a k t i k ə s
tàndem	t 'a n d ə m
tàndems	t 'a n d ə m s
tàpies	t 'a p i ə s
tàrega	t 'a r ə ɣ ə
tàɾtaɾ	t 'a r t ə r
tàɾtaɾa	t 'a r t ə ɾ ə
tàvecs	t 'a β ə k s
tèbia	t 'ɛ β i ə
tècnic	t 'ɛ g n i k
tècnica	t 'ɛ g n i k ə
tècnics	t 'ɛ g n i k s
tècniques	t 'ɛ g n i k ə s
tènue	t 'ɛ n u ə
