A	'ə
subjectiu	s u b ʒ ə k t 'i w
subjectius	s u b ʒ ə k t 'i w s
subjectiva	s u b ʒ ə k t 'i β ə
subjectives	s u b ʒ ə k t 'i β ə s
subjectivisme	s u b ʒ ə k t i β 'i z m ə
subjectivitat	s u b ʒ ə k t i β i t 'a t
subjuga	s u b ʒ 'u ɣ ə
subjugació	s u b ʒ u ɣ ə s i 'o
subjugant	s u b ʒ u ɣ 'a n
subjugat	s u b ʒ u ɣ 'a t
subjuntiu	s u b ʒ u n t 'i w
sublevació	s u b l ə β ə s i 'o
sublevats	s u β l ə β 'a t s
sublim	s u β l 'i m
sublima	s u β l 'i m ə
sublimació	s u β l i m ə s i 'o
sublimar	s u β l i m 'a
subliminals	s u b l i m i n 'a l s
sublimitat	s u b l i m i t 'a t
sublims	s u β l 'i m s
sublunar	s u b l u n 'a r
subluxació	s u b l u k s ə s i 'o
submarina	s u b m ə ɾ 'i n ə
submarines	s u b m ə ɾ 'i n ə s
submarinisme	s u b m ə ɾ i n 'i z m ə
submarinista	s u b m ə ɾ i n 'i s t ə
submarinistes	s u b m ə ɾ i n 'i s t ə s
submarins	s u b m ə ɾ 'i n s
submarí	s u b m ə ɾ 'i
submenú	s u b m ə n 'u
submergeix	s u b m ə r ʒ 'ɛ ʃ
submergeixen	s u b m ə r ʒ 'ɛ ʃ ə n
submergible	s u b m ə r ʒ 'i b b l ə
submergida	s u b m ə r ʒ 'i ð ə
submergides	s u b m ə r ʒ 'i ð ə s
submergintse	s u b m ə r ʒ 'i n s ə
submergir	s u b m ə r ʒ 'i
submergirme	s u b m ə r ʒ 'i r m ə
submergirse	s u b m ə r ʒ 'i r s ə
submergirvos	s u b m ə r ʒ 'i ɾ β u s
submergit	s u b m ə r ʒ 'i t
submergits	s u b m ə r ʒ 'i t s
submergiuvos	s u b m ə r ʒ 'i w β u s
subministra	s u b m i n 'i s t ɾ ə
subministrada	s u b m i n i s t ɾ 'a ð ə
subministrades	s u b m i n i s t ɾ 'a ð ə s
subministrador	s u b m i n i s t ɾ ə ð 'o
subministradora	s u b m i n i s t ɾ ə ð 'o ɾ ə
subministradores	s u b m i n i s t ɾ ə ð 'o ɾ ə s
subministradors	s u b m i n i s t ɾ ə ð 'o s
subministrament	s u b m i n i s t ɾ ə m 'e n
subministraments	s u b m i n i s t ɾ ə m 'e n s
subministrant	s u b m i n i s t ɾ 'a n
subministrar	s u b m i n i s t ɾ 'a
subministraran	s u b m i n i s t ɾ ə ɾ 'a n
subministrarà	s u b m i n i s t ɾ ə ɾ 'a
subministrat	s u b m i n i s t ɾ 'a t
subministrats	s u b m i n i s t ɾ 'a t s
subministrava	s u b m i n i s t ɾ 'a β ə
subministraven	s u b m i n i s t ɾ 'a β ə n
subministren	s u b m i n 'i s t ɾ ə n
subministressin	s u b m i n i s t ɾ 'e s i n
submisa	s u b m 'i z ə
submissió	s u b m i s i 'o
submís	s u b m 'i s
submón	s u b m 'o n
subnormal	s u b n u r m 'a l
suboficial	s u p u f i s i 'a l
suboficials	s u p u f i s i 'a l s
subordina	s u β u ɾ ð 'i n ə
subordinacions	s u β u ɾ ð i n ə s i 'o n s
subordinació	s u β u ɾ ð i n ə s i 'o
subordinada	s u β u ɾ ð i n 'a ð ə
subordinades	s u β u ɾ ð i n 'a ð ə s
subordinat	s u β u ɾ ð i n 'a t
subordinats	s u β u ɾ ð i n 'a t s
suborn	s u β 'o r n
subornar	s u β u r n 'a
suborni	s u β 'ɔ r n i
suborns	s u β 'o r n s
subpersonalitats	s u p p ə r s u n ə l i t 'a t s
subproducte	s u p p ɾ u ð 'u k t ə
subproductes	s u p p ɾ u ð 'u k t ə s
subratlla	s u b r 'a ʎ ʎ ə
subratllada	s u b r ə ʎ ʎ 'a ð ə
subratllant	s u b r ə ʎ ʎ 'a n
subratllar	s u b r ə ʎ ʎ 'a
subratllarho	s u b r ə ʎ ʎ 'a ɾ u
subratllaries	s u b r ə ʎ ʎ ə ɾ 'i ə s
subratllat	s u b r ə ʎ ʎ 'a t
subratllats	s u b r ə ʎ ʎ 'a t s
subratllava	s u b r ə ʎ ʎ 'a β ə
subratllaven	s u b r ə ʎ ʎ 'a β ə n
subratllem	s u b r ə ʎ ʎ 'ɛ m
subratllen	s u b r 'a ʎ ʎ ə n
subratlli	s u b r 'a ʎ ʎ i
subratllo	s u b r 'a ʎ ʎ u
subrogar	s u b r u ɣ 'a
subsahariana	s u p s ə ə ɾ i 'a n ə
subsaharianes	s u p s ə ə ɾ i 'a n ə s
subsaharians	s u p s ə ə ɾ i 'a n s
subsaharià	s u p s ə ə ɾ i 'a
subsanar	s u p s ə n 'a
subscric	s u p s k ɾ 'i k
subscrigui	s u p s k ɾ 'i ɣ i
subscriguin	s u p s k ɾ 'i ɣ i n
subscripcions	s u p s k ɾ i p s i 'o n s
subscripció	s u p s k ɾ i p s i 'o
subscriptor	s u p s k ɾ i p t 'o
subscriptores	s u p s k ɾ i p t 'o ɾ ə s
subscriptors	s u p s k ɾ i p t 'o s
subscrit	s u p s k ɾ 'i t
subscrita	s u p s k ɾ 'i t ə
subscrites	s u p s k ɾ 'i t ə s
subscrits	s u p s k ɾ 'i t s
subscriu	s u p s k ɾ 'i w
subscriuen	s u p s k ɾ 'i w ə n
subscriure	s u p s k ɾ 'i w ɾ ə
subscriures	s u p s k ɾ 'i w ɾ ə s
subscriuries	s u p s k ɾ i w ɾ 'i ə s
subscriurà	s u p s k ɾ i w ɾ 'a
subsecretari	s u p s ə k ɾ ə t 'a ɾ i
subsecretaris	s u p s ə k ɾ ə t 'a ɾ i s
subsecretària	s u p s ə k ɾ ə t 'a ɾ i ə
subsector	s u p s ə k t 'o
subsectors	s u p s ə k t 'o s
subsegüent	s u p s ə ɣ w 'e n
subsidi	s u p s 'i ð i
subsidiari	s u p s i ð i 'a ɾ i
subsidiarietat	s u p s i ð i ə ɾ i ə t 'a t
subsidiaris	s u p s i ð i 'a ɾ i s
subsidis	s u p s 'i ð i s
subsidiària	s u p s i ð i 'a ɾ i ə
subsidiàries	s u p s i ð i 'a ɾ i ə s
subsisteix	s u p s i s t 'ɛ ʃ
subsisteixen	s u p s i s t 'ɛ ʃ ə n
subsistema	s u p s i s t 'e m ə
subsistint	s u p s i s t 'i n
subsistir	s u p s i s t 'i
subsistència	s u p s i s t 'ɛ n s i ə
substancial	s u p s t ə n s i 'a l
substancials	s u p s t ə n s i 'a l s
substanciar	s u p s t ə n s i 'a
substanciosa	s u p s t ə n s i 'o z ə
substancioses	s u p s t ə n s i 'o z ə s
substanciosos	s u p s t ə n s i 'o z u s
substanciós	s u p s t ə n s i 'o s
substantiu	s u p s t ə n t 'i w
substantius	s u p s t ə n t 'i w s
substantiva	s u p s t ə n t 'i β ə
substantives	s u p s t ə n t 'i β ə s
substitucions	s u p s t i t u s i 'o n s
substitució	s u p s t i t u s i 'o
substitueix	s u p s t i t u 'ɛ ʃ
substitueixen	s u p s t i t u 'ɛ ʃ ə n
substitueixi	s u p s t i t u 'ɛ ʃ i
substitueixin	s u p s t i t u 'ɛ ʃ i n
substituint	s u p s t i t u 'i n
substituir	s u p s t i t u 'i
substituiran	s u p s t i t u i ɾ 'a n
substituiria	s u p s t i t u i ɾ 'i ə
substituirla	s u p s t i t 'u j r l ə
substituirles	s u p s t i t 'u j r l ə s
substituirlo	s u p s t i t 'u j r l u
substituirlos	s u p s t i t 'u j r l u s
substituirà	s u p s t i t u i ɾ 'a
substituiré	s u p s t i t u i ɾ 'e
substitut	s u p s t i t 'u t
substituta	s u p s t i t 'u t ə
substitutiu	s u p s t i t u t 'i w
substitutius	s u p s t i t u t 'i w s
substituts	s u p s t i t 'u t s
substitutòria	s u p s t i t u t 'ɔ ɾ i ə
substituís	s u p s t i t u 'i s
substituïa	s u p s t i t u 'i ə
substituïda	s u p s t i t u 'i ð ə
substituïdes	s u p s t i t u 'i ð ə s
substituïen	s u p s t i t u 'i ə n
substituïssin	s u p s t i t u 'i s i n
substituït	s u p s t i t u 'i t
substituïts	s u p s t i t u 'i t s
substracte	s u p s t ɾ 'a k t ə
substrat	s u p s t ɾ 'a t
substància	s u p s t 'a n s i ə
substàncies	s u p s t 'a n s i ə s
subsòl	s u p s 'ɔ l
subtema	s u p t 'e m ə
subtemes	s u p t 'e m ə s
subterfugi	s u p t ə r f 'u ʒ i
subterfugis	s u p t ə r f 'u ʒ i s
subterrani	s u p t ə r 'a n i
subterranis	s u p t ə r 'a n i s
subterrània	s u p t ə r 'a n i ə
subterrànies	s u p t ə r 'a n i ə s
subtil	s u p t 'i l
subtilesa	s u p t i l 'ɛ z ə
subtileses	s u p t i l 'ɛ z ə s
subtilitat	s u p t i l i t 'a t
subtilitats	s u p t i l i t 'a t s
subtils	s u p t 'i l s
subtinent	s u p t i n 'e n
subtitula	s u p t i t 'u l ə
subtitulació	s u p t i t u l ə s i 'o
subtitulada	s u p t i t u l 'a ð ə
subtitulades	s u p t i t u l 'a ð ə s
subtitular	s u p t i t u l 'a r
subtitulat	s u p t i t u l 'a t
subtitulats	s u p t i t u l 'a t s
subtotal	s u p t u t 'a l
subtram	s u p t ɾ 'a m
subtrama	s u p t ɾ 'a m ə
subtrames	s u p t ɾ 'a m ə s
subtropical	s u p t ɾ u p i k 'a l
subtàlmic	s u p t 'a l m i k
subtítol	s u p t 'i t u l
subtítols	s u p t 'i t u l s
suburbi	s u β 'u ɾ β i
suburbial	s u β u ɾ β i 'a l
suburbials	s u β u ɾ β i 'a l s
suburbis	s u β 'u ɾ β i s
subvegueria	s u b b ə ɣ ə ɾ 'i ə
subvenciona	s u b b ə n s i 'o n ə
subvencionables	s u b b ə n s i u n 'a b b l ə s
subvencionada	s u b b ə n s i u n 'a ð ə
subvencionades	s u b b ə n s i u n 'a ð ə s
subvencionant	s u b b ə n s i u n 'a n
subvencionar	s u b b ə n s i u n 'a
subvencionaran	s u b b ə n s i u n ə ɾ 'a n
subvencionarà	s u b b ə n s i u n ə ɾ 'a
subvencionat	s u b b ə n s i u n 'a t
subvencionats	s u b b ə n s i u n 'a t s
subvencionen	s u b b ə n s i 'o n ə n
subvencioni	s u b b ə n s i 'ɔ n i
subvencions	s u b b ə n s i 'o n s
subvenció	s u b b ə n s i 'o
subversiu	s u b b ə r s 'i w
subversius	s u b b ə r s 'i w s
subversiva	s u b b ə r s 'i β ə
subversives	s u b b ə r s 'i β ə s
subversió	s u b b ə r s i 'o
subverteix	s u b b ə r t 'ɛ ʃ
subvertir	s u b b ə r t 'i
suc	s 'u k
sucar	s u k 'a
sucarhi	s u k 'a ɾ i
sucat	s u k 'a t
succedani	s u k s ə ð 'a n i
succedanis	s u k s ə ð 'a n i s
succeeix	s u k s ə 'ɛ ʃ
succeeixen	s u k s ə 'ɛ ʃ ə n
succeeixi	s u k s ə 'ɛ ʃ i
succeeixin	s u k s ə 'ɛ ʃ i n
succeint	s u k s ə 'i n
succeintse	s u k s 'ɛ j n s ə
succeir	s u k s ə 'i
succeiran	s u k s ə i ɾ 'a n
succeiria	s u k s ə i ɾ 'i ə
succeirlo	s u k s 'ɛ j r l u
succeirse	s u k s 'ɛ j r s ə
succeirà	s u k s ə i ɾ 'a
successions	s u k s ə s i 'o n s
successiu	s u k s ə s 'i w
successius	s u k s ə s 'i w s
successiva	s u k s ə s 'i β ə
successives	s u k s ə s 'i β ə s
successió	s u k s ə s i 'o
successor	s u k s ə s 'o
successora	s u k s ə s 'o ɾ ə
successori	s u k s ə s 'ɔ ɾ i
successors	s u k s ə s 'o s
successos	s u k s 'e s u s
successòria	s u k s ə s 'ɔ ɾ i ə
successòries	s u k s ə s 'ɔ ɾ i ə s
succeí	s u k s ə 'i
succeïa	s u k s ə 'i ə
succeïen	s u k s ə 'i ə n
succeït	s u k s ə 'i t
succeïts	s u k s ə 'i t s
succintes	s u k s 'i n t ə s
succés	s u k s 'e s
sucios	s u s 'i u s
sucosa	s u k 'o z ə
sucoses	s u k 'o z ə s
sucosos	s u k 'o z u s
sucre	s 'u k ɾ ə
sucs	s 'u k s
suculent	s u k u l 'e n
suculenta	s u k u l 'e n t ə
suculentes	s u k u l 'e n t ə s
suculents	s u k u l 'e n s
sucumbeix	s u k u m b 'ɛ ʃ
sucumbir	s u k u m b 'i
sucumbit	s u k u m b 'i t
sucursal	s u k u r s 'a l
sucursalisme	s u k u r s ə l 'i z m ə
sucursalista	s u k u r s ə l 'i s t ə
sucursals	s u k u r s 'a l s
sucós	s u k 'o s
sud	s 'u t
sudafricana	s u ð ə f ɾ i k 'a n ə
sudafricans	s u ð ə f ɾ i k 'a n s
sudafricà	s u ð ə f ɾ i k 'a
sudamericana	s u ð ə m ə ɾ i k 'a n ə
sudamericanes	s u ð ə m ə ɾ i k 'a n ə s
sudamericans	s u ð ə m ə ɾ i k 'a n s
sudamericà	s u ð ə m ə ɾ i k 'a
sudamèrica	s u ð ə m 'ɛ ɾ i k ə
sudan	s u ð 'a n
sudanès	s u ð ə n 'ɛ s
sudari	s u ð 'a ɾ i
sudcoreans	s u t k u ɾ e 'a n s
sudest	s u ð 'e s t
sudista	s u ð 'i s t ə
sudoest	s u ð u 'e s t
sudàfrica	s u ð 'a f ɾ i k ə
suec	s u 'ɛ k
sueca	s u 'ɛ k ə
suecs	s u 'ɛ k s
suen	s 'u ə n
sueques	s u 'ɛ k ə s
suert	s u 'ɛ r t
sues	s 'u ə s
suficient	s u f i s i 'e n
suficients	s u f i s i 'e n s
suficiència	s u f i s i 'ɛ n s i ə
sufix	s u f 'i k s
sufixos	s u f 'i k s u s
sufocant	s u f u k 'a n
sufocar	s u f u k 'a
sufocat	s u f u k 'a t
sufraga	s u f ɾ 'a ɣ ə
sufragada	s u f ɾ ə ɣ 'a ð ə
sufragar	s u f ɾ ə ɣ 'a
sufragat	s u f ɾ ə ɣ 'a t
sufragats	s u f ɾ ə ɣ 'a t s
sufragi	s u f ɾ 'a ʒ i
sufragis	s u f ɾ 'a ʒ i s
sufí	s u f 'i
suggereix	s u g ʒ ə ɾ 'ɛ ʃ
suggereixen	s u g ʒ ə ɾ 'ɛ ʃ ə n
suggereixes	s u g ʒ ə ɾ 'ɛ ʃ ə s
suggereixin	s u g ʒ ə ɾ 'ɛ ʃ i n
suggereixo	s u g ʒ ə ɾ 'ɛ ʃ u
suggerent	s u g ʒ ə ɾ 'e n
suggerents	s u g ʒ ə ɾ 'e n s
suggeria	s u g ʒ ə ɾ 'i ə
suggerida	s u g ʒ ə ɾ 'i ð ə
suggeridor	s u g ʒ ə ɾ i ð 'o
suggeridora	s u g ʒ ə ɾ i ð 'o ɾ ə
suggeridores	s u g ʒ ə ɾ i ð 'o ɾ ə s
suggeridors	s u g ʒ ə ɾ i ð 'o s
suggerien	s u g ʒ ə ɾ 'i ə n
suggeriment	s u g ʒ ə ɾ i m 'e n
suggeriments	s u g ʒ ə ɾ i m 'e n s
suggerint	s u g ʒ ə ɾ 'i n
suggerir	s u g ʒ ə ɾ 'i
suggerirho	s u g ʒ ə ɾ 'i ɾ u
suggerirnos	s u g ʒ ə ɾ 'i r n u s
suggerirà	s u g ʒ ə ɾ i ɾ 'a
suggerit	s u g ʒ ə ɾ 'i t
suggerits	s u g ʒ ə ɾ 'i t s
suggerència	s u g ʒ ə ɾ 'ɛ n s i ə
suggerències	s u g ʒ ə ɾ 'ɛ n s i ə s
suggestiu	s u g ʒ ə s t 'i w
suggestius	s u g ʒ ə s t 'i w s
suggestiva	s u g ʒ ə s t 'i β ə
suggestives	s u g ʒ ə s t 'i β ə s
suggestió	s u g ʒ ə s t i 'o
suite	s 'u j t ə
sulla	s 'u ʎ ə
sultana	s u l t 'a n ə
sultà	s u l t 'a
suma	s 'u m ə
sumada	s u m 'a ð ə
sumades	s u m 'a ð ə s
sumant	s u m 'a n
sumanthi	s u m 'a n t i
sumantne	s u m 'a n n ə
sumar	s u m 'a
sumaran	s u m ə ɾ 'a n
sumarhi	s u m 'a ɾ i
sumari	s u m 'a ɾ i
sumaria	s u m ə ɾ 'i ə
sumarien	s u m ə ɾ 'i ə n
sumaris	s u m 'a ɾ i s
sumarme	s u m 'a r m ə
sumarse	s u m 'a r s ə
sumarshi	s u m 'a r s i
sumarà	s u m ə ɾ 'a
sumaríssim	s u m ə ɾ 'i s i m
sumat	s u m 'a t
sumats	s u m 'a t s
sumava	s u m 'a β ə
sumaven	s u m 'a β ə n
sumem	s u m 'ɛ m
sumen	s 'u m ə n
sumes	s 'u m ə s
sumessin	s u m 'e s i n
sumi	s 'u m i
sumin	s 'u m i n
sumir	s u m 'i
sumit	s u m 'i t
sumits	s u m 'i t s
summa	s 'u m m ə
summe	s 'u m m ə
sumo	s 'u m u
sumptuosa	s u m t u 'o z ə
sumptuoses	s u m t u 'o z ə s
sumptuositat	s u m t u u z i t 'a t
sumptuosos	s u m t u 'o z u s
sumptuós	s u m t u 'o s
sumària	s u m 'a ɾ i ə
sumàries	s u m 'a ɾ i ə s
sumés	s u m 'e s
sunnites	s u n n 'i t ə s
sunyer	s u ɲ 'e
suo	s 'u u
suor	s u 'o
suors	s u 'o s
supedita	s u p ə ð 'i t ə
supeditació	s u p ə ð i t ə s i 'o
supeditada	s u p ə ð i t 'a ð ə
supeditar	s u p ə ð i t 'a
supeditarse	s u p ə ð i t 'a r s ə
supeditat	s u p ə ð i t 'a t
supeditats	s u p ə ð i t 'a t s
supediten	s u p ə ð 'i t ə n
supera	s u p 'e ɾ ə
superable	s u p ə ɾ 'a b b l ə
superables	s u p ə ɾ 'a b b l ə s
superació	s u p ə ɾ ə s i 'o
superada	s u p ə ɾ 'a ð ə
superades	s u p ə ɾ 'a ð ə s
superar	s u p ə ɾ 'a
superaran	s u p ə ɾ ə ɾ 'a n
superarem	s u p ə ɾ ə ɾ 'ɛ m
superareu	s u p ə ɾ ə ɾ 'ɛ w
superaria	s u p ə ɾ ə ɾ 'i ə
superarien	s u p ə ɾ ə ɾ 'i ə n
superarà	s u p ə ɾ ə ɾ 'a
superat	s u p ə ɾ 'a t
superats	s u p ə ɾ 'a t s
superava	s u p ə ɾ 'a β ə
superaven	s u p ə ɾ 'a β ə n
superb	s u p 'ɛ r p
superba	s u p 'ɛ ɾ β ə
superbs	s 'u p ə ɾ β s
superem	s u p ə ɾ 'ɛ m
superen	s u p 'e ɾ ə n
superessin	s u p ə ɾ 'e s i n
supereu	s u p ə ɾ 'ɛ w
superficial	s u p ə r f i s i 'a l
superficialitat	s u p ə r f i s i ə l i t 'a t
superficialitats	s u p ə r f i s i ə l i t 'a t s
superficials	s u p ə r f i s i 'a l s
superflu	s u p 'ɛ r f l u
superflus	s u p 'ɛ r f l u s
superfície	s u p ə r f 'i s i ə
superfícies	s u p ə r f 'i s i ə s
superi	s u p 'e ɾ i
superin	s u p 'e ɾ i n
superior	s u p ə ɾ i 'o r
superiora	s u p ə ɾ i 'o ɾ ə
superiores	s u p ə ɾ i 'o ɾ ə s
superioritat	s u p ə ɾ i u ɾ i t 'a t
superiors	s u p ə ɾ i 'o r s
superlatiu	s u p ə r l ə t 'i w
superlatius	s u p ə r l ə t 'i w s
supero	s u p 'e ɾ u
supersticions	s u p ə r s t i s i 'o n s
supersticiosa	s u p ə r s t i s i 'o z ə
supersticiosos	s u p ə r s t i s i 'o z u s
superstició	s u p ə r s t i s i 'o
supersticiós	s u p ə r s t i s i 'o s
superàvit	s u p ə ɾ 'a β i t
superàvits	s u p ə ɾ 'a β i t s
superés	s u p ə ɾ 'e s
supina	s u p 'i n ə
suplanta	s u p l 'a n t ə
suplantació	s u p l ə n t ə s i 'o
suplantar	s u p l ə n t 'a
suplantarlo	s u p l ə n t 'a r l u
supleix	s u p l 'ɛ ʃ
supleixen	s u p l 'ɛ ʃ ə n
supleixi	s u p l 'ɛ ʃ i
suplement	s u p l ə m 'e n
suplementari	s u p l ə m ə n t 'a ɾ i
suplementaris	s u p l ə m ə n t 'a ɾ i s
suplements	s u p l ə m 'e n s
suplementària	s u p l ə m ə n t 'a ɾ i ə
suplementàries	s u p l ə m ə n t 'a ɾ i ə s
suplent	s u p l 'e n
suplents	s u p l 'e n s
supletoris	s u p l ə t 'ɔ ɾ i s
supletòries	s u p l ə t 'ɔ ɾ i ə s
suplicar	s u p l i k 'a
suplicatori	s u p l i k ə t 'ɔ ɾ i
suplici	s u p l 'i s i
suplicis	s u p l 'i s i s
suplir	s u p l 'i
suplirà	s u p l i ɾ 'a
suplència	s u p l 'ɛ n s i ə
suplències	s u p l 'ɛ n s i ə s
suport	s u p 'ɔ r t
suporta	s u p 'ɔ r t ə
suportable	s u p u r t 'a b b l ə
suportables	s u p u r t 'a b b l ə s
suportant	s u p u r t 'a n
suportar	s u p u r t 'a
suportaran	s u p u r t ə ɾ 'a n
suportarho	s u p u r t 'a ɾ u
suportarien	s u p u r t ə ɾ 'i ə n
suportat	s u p u r t 'a t
suportava	s u p u r t 'a β ə
suportaven	s u p u r t 'a β ə n
suportem	s u p u r t 'ɛ m
suporten	s u p 'ɔ r t ə n
suportes	s u p 'ɔ r t ə s
suporti	s u p 'ɔ r t i
suportin	s u p 'ɔ r t i n
suporto	s u p 'ɔ r t u
suports	s u p 'ɔ r s
suposa	s u p 'ɔ z ə
suposada	s u p u z 'a ð ə
suposades	s u p u z 'a ð ə s
suposant	s u p u z 'a n
suposar	s u p u z 'a
suposaran	s u p u z ə ɾ 'a n
suposaria	s u p u z ə ɾ 'i ə
suposarien	s u p u z ə ɾ 'i ə n
suposarse	s u p u z 'a r s ə
suposarà	s u p u z ə ɾ 'a
suposat	s u p u z 'a t
suposats	s u p u z 'a t s
suposava	s u p u z 'a β ə
suposaven	s u p u z 'a β ə n
suposem	s u p u z 'ɛ m
suposen	s u p 'ɔ z ə n
suposi	s u p 'ɔ z i
suposicions	s u p u z i s i 'o n s
suposició	s u p u z i s i 'o
suposin	s u p 'ɔ z i n
supositori	s u p u z i t 'ɔ ɾ i
suposo	s u p 'ɔ z u
suposà	s u p u z 'a
suposés	s u p u z 'e s
suprem	s u p ɾ 'e m
suprema	s u p ɾ 'e m ə
supremacia	s u p ɾ ə m ə s 'i ə
supremes	s u p ɾ 'e m ə s
suprems	s u p ɾ 'e m s
supressions	s u p ɾ ə s i 'o n s
supressió	s u p ɾ ə s i 'o
suprimeix	s u p ɾ i m 'ɛ ʃ
suprimeixen	s u p ɾ i m 'ɛ ʃ ə n
suprimeixi	s u p ɾ i m 'ɛ ʃ i
suprimeixin	s u p ɾ i m 'ɛ ʃ i n
suprimia	s u p ɾ i m 'i ə
suprimida	s u p ɾ i m 'i ð ə
suprimides	s u p ɾ i m 'i ð ə s
suprimint	s u p ɾ i m 'i n
suprimir	s u p ɾ i m 'i
suprimiran	s u p ɾ i m i ɾ 'a n
suprimireu	s u p ɾ i m i ɾ 'ɛ w
suprimiria	s u p ɾ i m i ɾ 'i ə
suprimirà	s u p ɾ i m i ɾ 'a
suprimissin	s u p ɾ i m 'i s i n
suprimit	s u p ɾ i m 'i t
suprimits	s u p ɾ i m 'i t s
suprimiu	s u p ɾ i m 'i w
supura	s u p 'u ɾ ə
supèrbia	s u p 'ɛ ɾ β i ə
supèrflua	s u p 'ɛ r f l u ə
supèrflues	s u p 'ɛ r f l u ə s
supòsit	s u p 'ɔ z i t
supòsits	s u p 'ɔ z i t s
suquet	s u k 'ɛ t
suquets	s u k 'ɛ t s
sura	s 'u ɾ ə
surant	s u ɾ 'a n
surar	s u ɾ 'a
surava	s u ɾ 'a β ə
sureda	s u ɾ 'ɛ ð ə
suren	s 'u ɾ ə n
surf	s 'u r f
surfista	s u r f 'i s t ə
suro	s 'u ɾ u
surrealisme	s u r e ə l 'i z m ə
surrealista	s u r e ə l 'i s t ə
surrealistes	s u r e ə l 'i s t ə s
surt	s 'u r t
surten	s 'u r t ə n
surti	s 'u r t i
surtin	s 'u r t i n
surto	s 'u r t u
surts	s 'u r s
susceptibilitat	s u s ə p t i β i l i t 'a t
susceptibilitats	s u s ə p t i β i l i t 'a t s
susceptible	s u s ə p t 'i b b l ə
susceptibles	s u s ə p t 'i b b l ə s
suscita	s u s 'i t ə
suscitada	s u s i t 'a ð ə
suscitades	s u s i t 'a ð ə s
suscitant	s u s i t 'a n
suscitar	s u s i t 'a
suscitat	s u s i t 'a t
suscitava	s u s i t 'a β ə
suscitaven	s u s i t 'a β ə n
susciten	s u s 'i t ə n
susciti	s u s 'i t i
sushi	s 'u z i
suspectes	s u s p 'e k t ə s
suspendre	s u s p 'ɛ n d ɾ ə
suspendrel	s u s p ə n d ɾ 'ɛ l
suspendres	s u s p 'ɛ n d ɾ ə s
suspendrà	s u s p ə n d ɾ 'a
suspenen	s u s p 'ɛ n ə n
suspenent	s u s p ə n 'e n
suspenentse	s u s p ə n 'e n s ə
suspengui	s u s p 'ɛ ŋ g i
suspenguin	s u s p 'ɛ ŋ g i n
suspengués	s u s p ə ŋ g 'e s
suspenia	s u s p ə n 'i ə
suspens	s u s p 'ɛ n s
suspensions	s u s p ə n s i 'o n s
suspensius	s u s p ə n s 'i w s
suspensió	s u s p ə n s i 'o
suspesa	s u s p 'ɛ z ə
suspeses	s u s p 'ɛ z ə s
suspesos	s u s p 'ɛ z u s
suspicaç	s u s p i k 'a s
suspicàcia	s u s p i k 'a s i ə
suspicàcies	s u s p i k 'a s i ə s
suspèn	s u s p 'ɛ n
suspès	s u s p 'ɛ s
sustent	s u s t 'e n
sustenta	s u s t 'e n t ə
sustentada	s u s t ə n t 'a ð ə
sustentades	s u s t ə n t 'a ð ə s
sustentant	s u s t ə n t 'a n
sustentar	s u s t ə n t 'a
sustentarà	s u s t ə n t ə ɾ 'a
sustentat	s u s t ə n t 'a t
sustentava	s u s t ə n t 'a β ə
sustentaven	s u s t ə n t 'a β ə n
sustenten	s u s t 'e n t ə n
sustenti	s u s t 'e n t i
sustos	s 'u s t u s
sutilitza	s u t i l 'i d z ə
sutilitzen	s u t i l 'i d z ə n
sutilitzi	s u t i l 'i d z i
sutures	s u t 'u ɾ ə s
suècia	s u 'ɛ s i ə
suèter	s u 'ɛ t ə r
suís	s u 'i s
suïcida	s u i s 'i ð ə
suïcidant	s u i s i ð 'a n
suïcidantse	s u i s i ð 'a n s ə
suïcidar	s u i s i ð 'a
suïcidaria	s u i s i ð ə ɾ 'i ə
suïcidarse	s u i s i ð 'a r s ə
suïcidat	s u i s i ð 'a t
suïcides	s u i s 'i ð ə s
suïcidi	s u i s 'i ð i
suïcidis	s u i s 'i ð i s
suïssa	s u 'i s ə
suïsses	s u 'i s ə s
suïssos	s u 'i s u s
sydney	s ʔ ð n 'e j
sys	s ʔ s
sàbat	s 'a β ə t
sàdic	s 'a ð i k
sàdics	s 'a ð i k s
sàdiques	s 'a ð i k ə s
sànscrit	s 'a n s k ɾ i t
sàpiga	s 'a p i ɣ ə
sàpiguen	s 'a p i ɣ ə n
sàpigues	s 'a p i ɣ ə s
sàtira	s 'a t i ɾ ə
sàtires	s 'a t i ɾ ə s
sàtrapes	s 'a t ɾ ə p ə s
sàvia	s 'a β i ə
sàvies	s 'a β i ə s
sègol	s 'ɛ ɣ u l
sènior	s 'ɛ n i u r
sèniors	s 'ɛ n i u r s
sèquia	s 'ɛ k i ə
sèquies	s 'ɛ k i ə s
sèrbia	s 'ɛ ɾ β i ə
sèrbies	s 'ɛ ɾ β i ə s
sèrie	s 'ɛ ɾ i ə
sèries	s 'ɛ ɾ i ə s
sèrum	s 'ɛ ɾ u m
sé	s 'e
sí	s 'i
sífilis	s 'i f i l i s
sílaba	s 'i l ə β ə
sílabes	s 'i l ə β ə s
sílex	s 'i l ə k s
sílvia	s 'i l β i ə
símbol	s 'i m b u l
símbols	s 'i m b u l s
símil	s 'i m i l
símptoma	s 'i m t u m ə
símptomes	s 'i m t u m ə s
síndic	s 'i n d i k
