A	'ə
encreuament	ə ŋ k ɾ ə w ə m 'e n
encendre	ə n s 'e n d ɾ ə
emportar	ə m p u r t 'a
embolicar	ə m b u l i k 'a
elevat	ə l ə β 'a t
eines	'ɛ j n ə s
econòmica	ə k u n 'ɔ m i k ə
e	'ɛ
dut	d 'u t
drac	d ɾ 'a k
donen	d 'o n ə n
domèstic	d u m 'ɛ s t i k
dolç	d 'o l s
dolent	d u l 'e n
doctrines	d u k t ɾ 'i n ə s
diària	d i 'a ɾ i ə
distingir	d i s t i n ʒ 'i
disposem	d i s p u z 'ɛ m
disminució	d i z m i n u s i 'o
disculpes	d i s k 'u l p ə s
dirigeix	d i ɾ i ʒ 'ɛ ʃ
dimonis	d i m 'ɔ n i s
diguem-ne	d i ɣ 'ɛ m n ə
digital	d i ʒ i t 'a l
dificultats	d i f i k u l t 'a t s
diccionari	d i k s i u n 'a ɾ i
devia	d ə β 'i ə
deuen	d 'ɛ w ə n
detingut	d ə t i ŋ g 'u t
determinada	d ə t ə r m i n 'a ð ə
detallada	d ə t ə ʎ 'a ð ə
desè	d ə z 'ɛ
destaca	d ə s t 'a k ə
despert	d ə s p 'ɛ r t
desfan	d ə s f 'a n
desenvolupar	d ə z ə m b u l u p 'a
descobert	d ə s k u β 'ɛ r t
descens	d ə s 'ɛ n s
descansar	d ə s k ə n s 'a
desastres	d ə z 'a s t ɾ ə s
desa	d 'e z ə
demostren	d ə m 'ɔ s t ɾ ə n
demostrar	d ə m u s t ɾ 'a
demanà	d ə m ə n 'a
demanem	d ə m ə n 'ɛ m
delicte	d ə l 'i k t ə
deixi	d 'e ʃ i
defensa	d ə f 'ɛ n s ə
dedicats	d ə ð i k 'a t s
d'ànim	d 'a n i m
d'utilitzar	d u t i l i d z 'a
d'unitats	d u n i t 'a t s
d'unes	d 'u n ə s
d'internet	d i n t ə r n 'ɛ t
d'indicar	d i n d i k 'a
d'imatges	d i m 'a d ʒ ə s
d'hora	d 'ɔ ɾ ə
d'espècies	d ə s p 'ɛ s i ə s
d'espasa	d ə s p 'a z ə
d'entrar	d ə n t ɾ 'a
d'educació	d ə ð u k ə s i 'o
d'arrencada	d ə r ə ŋ k 'a ð ə
d'animació	d ə n i m ə s i 'o
d'agafar	d ə ɣ ə f 'a
d'accessibilitat	d ə k s ə s i β i l i t 'a t
d'abans	d ə β 'a n s
cúbics	k 'u β i k s
curiós	k u ɾ i 'o s
cruïlla	k ɾ u 'i ʎ ə
cridava	k ɾ i ð 'a β ə
cridant	k ɾ i ð 'a n
creix	k ɾ 'e ʃ
correspongui	k u r ə s p 'ɔ ŋ g i
convoquen	k u m b 'o k ə n
continuï	k u n t i n 'u i
continuava	k u n t i n u 'a β ə
contenta	k u n t 'e n t ə
contenir	k u n t ə n 'i
contenidor	k u n t ə n i ð 'o
consumidors	k u n s u m i ð 'o s
consistori	k u n s i s t 'ɔ ɾ i
coneguda	k u n ə ɣ 'u ð ə
concerts	k u n s 'ɛ r s
comuns	k u m 'u n s
compta	k 'o m t ə
compro	k 'o m p ɾ u
compravenda	k u m p ɾ ə β 'ɛ n d ə
comparseria	k u m p ə r s ə ɾ 'i ə
columna	k u l 'u m n ə
coloms	k u l 'o m s
colom	k u l 'o m
cobertura	k u β ə r t 'u ɾ ə
clàssica	k l 'a s i k ə
classificació	k l ə s i f i k ə s i 'o
circuit	s i r k 'u j t
cine	s 'i n ə
científic	s i ə n t 'i f i k
celebrar	s ə l ə β ɾ 'a
casualitat	k ə z u ə l i t 'a t
cartes	k 'a r t ə s
característics	k ə ɾ ə k t ə ɾ 'i s t i k s
capa	k 'a p ə
canviarà	k ə m b i ə ɾ 'a
cantant	k ə n t 'a n
cansada	k ə n s 'a ð ə
candidats	k ə n d i ð 'a t s
campió	k ə m p i 'o
camins	k ə m 'i n s
calçada	k ə l s 'a ð ə
calent	k ə l 'e n
caldrà	k ə l d ɾ 'a
calcula	k ə l k 'u l ə
caducitat	k ə ð u s i t 'a t
cadires	k ə ð 'i ɾ ə s
cadenes	k ə ð 'ɛ n ə s
cadena	k ə ð 'ɛ n ə
cabòries	k ə β 'ɔ ɾ i ə s
cabal	k ə β 'a l
béns	b 'e n s
bruta	b ɾ 'u t ə
benefici	b ə n ə f 'i s i
beguda	b ə ɣ 'u ð ə
bastant	b ə s t 'a n
barres	b 'a r ə s
bany	b 'a ɲ
balancí	b ə l ə n s 'i
baixant	b ə ʃ 'a n
avís	ə β 'i s
atura	ə t 'u ɾ ə
atracció	ə t ɾ ə k s i 'o
associats	ə s u s i 'a t s
assenteix	ə s ə n t 'ɛ ʃ
arribes	ə r 'i β ə s
arribava	ə r i β 'a β ə
aroma	ə ɾ 'o m ə
apuntat	ə p u n t 'a t
aprofitant	ə p ɾ u f i t 'a n
aplicació	ə p l i k ə s i 'o
apareixeran	ə p ə ɾ ə ʃ ə ɾ 'a n
anés	ə n 'e s
anunciar	ə n u n s i 'a
aniria	ə n i ɾ 'i ə
anirem	ə n i ɾ 'ɛ m
animalons	ə n i m ə l 'o n s
amistat	ə m i s t 'a t
ambiental	ə m b i ə n t 'a l
alternativa	ə l t ə r n ə t 'i β ə
aliment	ə l i m 'e n
alemanya	ə l ə m 'a ɲ ə
ajustar	ə ʒ u s t 'a
aixecar	ə ʃ ə k 'a
agenda	ə ʒ 'e n d ə
adequada	ə ð ə k w 'a ð ə
acull	ə k 'u ʎ
acompanya	ə k u m p 'a ɲ ə
acceptem	ə k s ə p t 'ɛ m
acabi	ə k 'a β i
abandonar	ə β ə n d u n 'a
Viladecans	b i l ə ð ə k 'a n s
Victòria	b i k t 'ɔ ɾ i ə
Tristany	t ɾ i s t 'a ɲ
Tenerife	t ə n ə ɾ 'i f ə
Teclat	t ə k l 'a t
Sol	s 'ɔ l
Sitges	s 'i d ʒ ə s
Sevilla	s ə β 'i ʎ ə
Set	s 'ɛ t
Seguint	s ə ɣ 'i n
Sants	s 'a n s
Santander	s ə n t ə n d 'e r
S'havia	s ə β 'i ə
Ràdio	r 'a ð i u
Rubí	r u β 'i
Roma	r 'o m ə
Ripollès	r i p u ʎ 'ɛ s
Ripollet	r i p u ʎ 'ɛ t
Respecte	r ə s p 'e k t ə
Resolució	r ə z u l u s i 'o
Res	r 'ɛ s
Reglament	r ə g g l ə m 'e n
Recollida	r ə k u ʎ 'i ð ə
Rambla	r 'a m b l ə
Proposició	p ɾ u p u z i s i 'o
Premià	p ɾ ə m i 'a
Portal	p u r t 'a l
Pineda	p i n 'ɛ ð ə
Pietat	p i ə t 'a t
Persones	p ə r s 'o n ə s
Pensa	p 'ɛ n s ə
Passen	p 'a s ə n
Parc	p 'a r k
Palència	p ə l 'ɛ n s i ə
Ni	n 'i
Navarra	n ə β 'a r ə
Mijaran	m i ʒ ə ɾ 'a n
Maragall	m ə ɾ ə ɣ 'a ʎ
Mapa	m 'a p ə
M'assec	m ə s 'ɛ k
Lugo	l 'u ɣ u
Londres	l 'o n d ɾ ə s
Lluís	ʎ u 'i s
Lloret	ʎ u ɾ 'ɛ t
Jaén	ʒ ə 'e n
Intento	i n t 'e n t u
Imatge	i m 'a d ʒ ə
Huelva	u 'ɛ l β ə
Horts	'ɔ r s
Han	'a n
Gramenet	g ɾ ə m ə n 'ɛ t
França	f ɾ 'a n s ə
Ferran	f ə r 'a n
Farners	f ə r n 'e s
Família	f ə m 'i l i ə
Evita	ə β 'i t ə
Evidentment	ə β i ð ə m m 'e n
Estimada	ə s t i m 'a ð ə
Estats	ə s t 'a t s
Esperem	ə s p ə ɾ 'ɛ m
Eines	'ɛ j n ə s
Edita	ə ð 'i t ə
Divendres	d i β 'ɛ n d ɾ ə s
Diuen	d 'i w ə n
Deixo	d 'e ʃ u
Darrera	d ə r 'e ɾ ə
D'on	d 'o n
D'aquesta	d ə k 'ɛ s t ə
Càlcul	k 'a l k u l
Cugat	k u ɣ 'a t
Costa	k 'ɔ s t ə
Convocatòria	k u m b u k ə t 'ɔ ɾ i ə
Comparació	k u m p ə ɾ ə s i 'o
Coll	k 'ɔ ʎ
Clica	k l 'i k ə
Castelló	k ə s t ə ʎ 'o
Castellers	k ə s t ə ʎ 'e s
Carmel	k ə r m 'ɛ l
Carles	k 'a r l ə s
Carla	k 'a r l ə
Bèlgica	b 'ɛ l ʒ i k ə
Bona	b 'ɔ n ə
Benidorm	b ə n i ð 'o r m
Aromes	ə ɾ 'o m ə s
Aragó	ə ɾ ə ɣ 'o
Andorra	ə n d 'o r ə
Anar	ə n 'a
o	'ɔ
àvia	'a β i ə
per	p 'ə r
Quins	k 'i n s
Quines	k 'i n ə s
Has	'a s
Quina	k 'i n ə
xip	ʃ 'i p
xifrar	ʃ i f ɾ 'a
vídeos	b 'i ð ə u s
vàries	b 'a ɾ i ə s
votar	b u t 'a
voluntariat	b u l u n t ə ɾ i 'a t
visible	b i z 'i b b l ə
visibilitat	b i z i β i l i t 'a t
vides	b 'i ð ə s
vianants	b i ə n 'a n s
vestida	b ə s t 'i ð ə
venedor	b ə n ə ð 'o
vall	b 'a ʎ
vagons	b ə ɣ 'o n s
usos	'u z u s
urnes	'u r n ə s
universitari	u n i β ə r s i t 'a ɾ i
túnel	t 'u n ə l
tècnic	t 'ɛ g n i k
txec	t ʃ 'ɛ k
trobin	t ɾ 'ɔ β i n
trobaven	t ɾ u β 'a β ə n
tristor	t ɾ i s t 'o
tristesa	t ɾ i s t 'ɛ z ə
trista	t ɾ 'i s t ə
triangle	t ɾ i 'a ŋ g l ə
tremolosa	t ɾ ə m u l 'o z ə
treballaven	t ɾ ə β ə ʎ 'a β ə n
transparents	t ɾ ə n s p ə ɾ 'e n s
transaccions	t ɾ ə n z ə k s i 'o n s
tractat	t ɾ ə k t 'a t
tractaria	t ɾ ə k t ə ɾ 'i ə
tovallola	t u β ə ʎ 'ɔ l ə
torni	t 'o r n i
tons	t 'ɔ n s
tinguem	t i ŋ g 'ɛ m
tindré	t i n d ɾ 'e
tindria	t i n d ɾ 'i ə
testimonis	t ə s t i m 'ɔ n i s
terminis	t ə r m 'i n i s
termini	t ə r m 'i n i
te	t 'ə
tapar	t ə p 'a
tancades	t ə ŋ k 'a ð ə s
talla	t 'a ʎ ə
tabac	t ə β 'a k
t'hi	t 'i
són	s 'o n
sòl	s 'ɔ l
suspendre	s u s p 'ɛ n d ɾ ə
suposa	s u p 'ɔ z ə
suor	s u 'o
sortia	s u r t 'i ə
societats	s u s i ə t 'a t s
socialistes	s u s i ə l 'i s t ə s
socialista	s u s i ə l 'i s t ə
silueta	s i l u 'ɛ t ə
serien	s ə ɾ 'i ə n
sentint	s ə n t 'i n
sencera	s ə n s 'ɛ ɾ ə
semblances	s ə m b l 'a n s ə s
selecciona	s ə l ə k s i 'o n ə
seguint	s ə ɣ 'i n
seguidors	s ə ɣ i ð 'o s
segueixen	s ə ɣ 'ɛ ʃ ə n
saló	s ə l 'o
sabria	s ə β ɾ 'i ə
sabor	s ə β 'o r
s'indica	s i n d 'i k ə
s'hagin	s 'a ʒ i n
s'arriba	s ə r 'i β ə
s'adonessin	s ə ð u n 'e s i n
s'acaba	s ə k 'a β ə
rècord	r 'ɛ k u r t
rus	r 'u s
rotllana	r u ʎ ʎ 'a n ə
ros	r 'o s
revolució	r ə β u l u s i 'o
retrobo	r ə t ɾ 'o β u
retirat	r ə t i ɾ 'a t
resum	r ə z 'u m
resolució	r ə z u l u s i 'o
renda	r 'e n d ə
remitent	r ə m i t 'e n
remei	r ə m 'ɛ j
relacionats	r ə l ə s i u n 'a t s
regulació	r ə ɣ u l ə s i 'o
registres	r ə ʒ 'i s t ɾ ə s
regidor	r ə ʒ i ð 'o
regalat	r ə ɣ ə l 'a t
reduïda	r ə ð u 'i ð ə
reduir	r ə ð u 'i
recuperat	r ə k u p ə ɾ 'a t
rector	r ə k t 'o
recollits	r ə k u ʎ 'i t s
rebutjar	r ə β u d ʒ 'a
rebentar	r ə β ə n t 'a
reaccionar	r e ə k s i u n 'a
puntual	p u n t u 'a l
prudent	p ɾ u ð 'e n
provar	p ɾ u β 'a
profund	p ɾ u f 'u n
privats	p ɾ i β 'a t s
privat	p ɾ i β 'a t
privades	p ɾ i β 'a ð ə s
prima	p ɾ 'i m ə
presó	p ɾ ə z 'o
preparació	p ɾ ə p ə ɾ ə s i 'o
prendrà	p ə n d ɾ 'a
preferent	p ɾ ə f ə ɾ 'e n
practicar	p ɾ ə k t i k 'a
postres	p 'ɔ s t ɾ ə s
posaven	p u z 'a β ə n
porto	p 'ɔ r t u
pollancres	p u ʎ 'a ŋ k ɾ ə s
plans	p l 'a n s
petroli	p ə t ɾ 'ɔ l i
pestanya	p ə s t 'a ɲ ə
pesca	p 'ɛ s k ə
periodista	p ə ɾ i u ð 'i s t ə
perfídia	p ə r f 'i ð i ə
península	p ə n 'i n s u l ə
pensem	p ə n s 'ɛ m
patronat	p ə t ɾ u n 'a t
patiment	p ə t i m 'e n
pateixis	p ə t 'ɛ ʃ i s
passi	p 'a s i
passaven	p ə s 'a β ə n
paràmetres	p ə ɾ 'a m ə t ɾ ə s
parlarà	p ə r l ə ɾ 'a
parer	p ə ɾ 'ɛ
paraven	p ə ɾ 'a β ə n
paperera	p ə p ə ɾ 'e ɾ ə
paga	p 'a ɣ ə
pacient	p ə s i 'e n
ossos	'ɔ s u s
orinal	u ɾ i n 'a l
oportunitat	u p u r t u n i t 'a t
operadores	u p ə ɾ ə ð 'o ɾ ə s
operador	u p ə ɾ ə ð 'o
oli	'ɔ l i
oferir	u f ə ɾ 'i
ocupar	u k u p 'a
oberts	u β 'ɛ r s
notificació	n u t i f i k ə s i 'o
notava	n u t 'a β ə
nocturna	n u k t 'u r n ə
nevera	n ə β 'e ɾ ə
netejant	n ə t ə ʒ 'a n
neteja	n ə t 'ɛ ʒ ə
neix	n 'e ʃ
nedar	n ə ð 'a
n'he	n 'e
n'adona	n ə ð 'o n ə
músiques	m 'u z i k ə s
màxima	m 'a k s i m ə
màgia	m 'a ʒ i ə
murmura	m u r m 'u ɾ ə
municipals	m u n i s i p 'a l s
motor	m u t 'o r
mostres	m 'ɔ s t ɾ ə s
mostrat	m u s t ɾ 'a t
morera	m u ɾ 'e ɾ ə
moneder	m u n ə ð 'e
modifica	m u ð i f 'i k ə
modern	m u ð 'ɛ r n
mobilitat	m u β i l i t 'a t
missatgeria	m i s ə d ʒ ə ɾ 'i ə
miren	m 'i ɾ ə n
ministres	m i n 'i s t ɾ ə s
mineral	m i n ə ɾ 'a l
mestre	m 'ɛ s t ɾ ə
meravellós	m ə ɾ ə β ə ʎ 'o s
menjo	m 'e n ʒ u
membre	m 'e m b ɾ ə
marcat	m ə r k 'a t
marca	m 'a r k ə
manté	m ə n t 'e
mantenen	m ə n t 'e n ə n
manetes	m ə n 'ɛ t ə s
malson	m ə l s 'ɔ n
malestar	m ə l ə s t 'a
males	m 'a l ə s
malalt	m ə l 'a l
m'escapa	m ə s k 'a p ə
m'agradava	m ə ɣ ɾ ə ð 'a β ə
lògic	l 'ɔ ʒ i k
llàstima	ʎ 'a s t i m ə
lluent	ʎ u 'e n
lloguen	ʎ 'ɔ ɣ ə n
llits	ʎ 'i t s
llistes	ʎ 'i s t ə s
llibertats	ʎ i β ə r t 'a t s
llençar	ʎ ə n s 'a
lleixa	ʎ 'e ʃ ə
llegia	ʎ ə ʒ 'i ə
llegeix	ʎ ə ʒ 'ɛ ʃ
llana	ʎ 'a n ə
lladres	ʎ 'a ð ɾ ə s
laborals	l ə β u ɾ 'a l s
l'Èlia	l 'ɛ l i ə
l'ull	l 'u ʎ
l'oposició	l u p u z i s i 'o
l'obertura	l u β ə r t 'u ɾ ə
l'institut	l i n s t i t 'u t
l'illa	l 'i ʎ ə
l'hem	l 'ɛ m
l'exposició	l ə k s p u z i s i 'o
l'etapa	l ə t 'a p ə
l'estratègia	l ə s t ɾ ə t 'ɛ ʒ i ə
l'espatlla	l ə s p 'a ʎ ʎ ə
l'educació	l ə ð u k ə s i 'o
l'economia	l ə k u n u m 'i ə
l'art	l 'a r t
l'angle	l 'a ŋ g l ə
l'alumne	l ə l 'u m n ə
l'agulla	l ə ɣ 'u ʎ ə
l'activitat	l ə k t i β i t 'a t
l'abril	l ə β ɾ 'i l
l'Estat	l ə s t 'a t
l'Associació	l ə s u s i ə s i 'o
justícia	ʒ u s t 'i s i ə
jurídica	ʒ u ɾ 'i ð i k ə
jugadors	ʒ u ɣ ə ð 'o s
judicial	ʒ u ð i s i 'a l
ironia	i ɾ u n 'i ə
interès	i n t ə ɾ 'ɛ s
intents	i n t 'e n s
intensitat	i n t ə n s i t 'a t
instrument	i n s t ɾ u m 'e n
iniciat	i n i s i 'a t
ingràvid	i ŋ g ɾ 'a β i t
indiferència	i n d i f ə ɾ 'ɛ n s i ə
independència	i n d ə p ə n d 'ɛ n s i ə
independent	i n d ə p ə n d 'e n
incorrecta	i ŋ k u r 'ɛ k t ə
inclouen	i ŋ k l 'ɔ w ə n
impulsar	i m p u l s 'a
impressionant	i m p ɾ ə s i u n 'a n
imposat	i m p u z 'a t
immobles	i m m 'ɔ b b l ə s
illes	'i ʎ ə s
idees	i ð 'e ə s
hotel	u t 'ɛ l
hospitals	u s p i t 'a l s
guerrers	g ə r 'e s
gruixudes	g ɾ u ʃ 'u ð ə s
grossa	g ɾ 'ɔ s ə
grogues	g ɾ 'ɔ ɣ ə s
grega	g ɾ 'e ɣ ə
gosat	g u z 'a t
goig	g 'ɔ t ʃ
gestor	ʒ ə s t 'o
gestionar	ʒ ə s t i u n 'a
garantia	g ə ɾ ə n t 'i ə
galtes	g 'a l t ə s
gala	g 'a l ə
fóssim	f 'o s i m
foscos	f 'o s k u s
forts	f 'ɔ r s
forn	f 'o r n
foren	f 'o ɾ ə n
fluix	f l 'u ʃ
fixa	f 'i k s ə
fitxa	f 'i t ʃ ə
festival	f ə s t i β 'a l
fer-nos	f 'e r n u s
fer-li	f 'e r l i
fax	f 'a k s
farigola	f ə ɾ i ɣ 'o l ə
farien	f ə ɾ 'i ə n
faldilla	f ə l d 'i ʎ ə
factura	f ə k t 'u ɾ ə
facilitar	f ə s i l i t 'a
exòtica	ə g z 'ɔ t i k ə
exterior	ə k s t ə ɾ i 'o r
extensió	ə k s t ə n s i 'o
expressions	ə k s p ɾ ə s i 'o n s
exposicions	ə k s p u z i s i 'o n s
explicant	ə k s p l i k 'a n
explicacions	ə k s p l i k ə s i 'o n s
exercici	ə g z ə r s 'i s i
excusa	ə k s k 'u z ə
examen	ə g z 'a m ə n
etapes	ə t 'a p ə s
estrenar	ə s t ɾ ə n 'a
estrangers	ə s t ɾ ə n ʒ 'e s
estaria	ə s t ə ɾ 'i ə
espès	ə s p 'ɛ s
espècies	ə s p 'ɛ s i ə s
espuma	ə s p 'u m ə
esperit	ə s p ə ɾ 'i t
esperen	ə s p 'e ɾ ə n
escàndol	ə s k 'a n d u l
escrivint	ə s k ɾ i β 'i n
escopinyes	ə s k u p 'i ɲ ə s
escombraries	ə s k u m b ɾ ə ɾ 'i ə s
escolar	ə s k u l 'a r
esbrinar	ə z β ɾ i n 'a
entrat	ə n t ɾ 'a t
enginyers	ə n ʒ i ɲ 'e s
enganxats	ə ŋ g ə n ʃ 'a t s
endur-se	ə n d 'u r s ə
empleats	ə m p l e 'a t s
emocionant	ə m u s i u n 'a n
element	ə l ə m 'e n
eix	'e ʃ
efectiva	ə f ə k t 'i β ə
dutxar-se	d u t ʃ 'a r s ə
dutxa	d 'u t ʃ ə
dubto	d 'u p t u
dubti	d 'u p t i
dono	d 'o n u
donaven	d u n 'a β ə n
dolents	d u l 'e n s
distribuïdor	d i s t ɾ i β u i ð 'o
distreta	d i s t ɾ 'e t ə
disquet	d i s k 'ɛ t
disposar	d i s p u z 'a
diria	d i ɾ 'i ə
dimoni	d i m 'ɔ n i
digués	d i ɣ 'e s
digué	d i ɣ 'e
diguin	d 'i ɣ i n
determinen	d ə t ə r m 'i n ə n
despertava	d ə s p ə r t 'a β ə
despertador	d ə s p ə r t ə ð 'o
desgràcia	d ə z ɣ ɾ 'a s i ə
desconegudes	d ə s k u n ə ɣ 'u ð ə s
desconcert	d ə s k u n s 'ɛ r t
descobriment	d ə s k u β ɾ i m 'e n
desaparèixer	d ə z ə p ə ɾ 'ɛ ʃ ə
departament	d ə p ə r t ə m 'e n
denuncien	d ə n u n s 'i ə n
demostra	d ə m 'ɔ s t ɾ ə
demani	d ə m 'a n i
demanen	d ə m 'a n ə n
declaracions	d ə k l ə ɾ ə s i 'o n s
decimals	d ə s i m 'a l s
decideixo	d ə s i ð 'ɛ ʃ u
darrer	d ə r 'e
d'obra	d 'ɔ β ɾ ə
d'introduir	d i n t ɾ u ð u 'i
d'inici	d i n 'i s i
d'expressió	d ə k s p ɾ ə s i 'o
d'estudiants	d ə s t u ð i 'a n s
d'espatlles	d ə s p 'a ʎ ʎ ə s
d'equip	d ə k 'i p
d'emmagatzematge	d ə m m ə ɣ ə d z ə m 'a d ʒ ə
d'eines	d 'ɛ j n ə s
d'algunes	d ə l ɣ 'u n ə s
d'aconseguir	d ə k u n s ə ɣ 'i
d'Iniciativa	d i n i s i ə t 'i β ə
cívic	s 'i β i k
càrrega	k 'a r ə ɣ ə
curt	k 'u r t
cuca	k 'u k ə
crítica	k ɾ 'i t i k ə
crida	k ɾ 'i ð ə
creixi	k ɾ 'e ʃ i
costi	k 'ɔ s t i
cortina	k u r t 'i n ə
corria	k u r 'i ə
corrents	k u r 'e n s
corren	k 'o r ə n
convidats	k u m b i ð 'a t s
convertia	k u m b ə r t 'i ə
conveni	k u m b 'ɛ n i
contribuents	k u n t ɾ i β u 'e n s
continuïtat	k u n t i n u i t 'a t
continuo	k u n t i n 'u u
contestar	k u n t ə s t 'a
content	k u n t 'e n
contemplar	k u n t ə m p l 'a
consolar	k u n s u l 'a
consol	k u n s 'ɔ l
conseqüències	k u n s ə k w 'ɛ n s i ə s
conglomerat	k u ŋ g l u m ə ɾ 'a t
conec	k u n 'ɛ k
comunitat	k u m u n i t 'a t
comprar-se	k u m p ɾ 'a r s ə
component	k u m p u n 'e n
compondre	k u m p 'ɔ n d ɾ ə
complementaris	k u m p l ə m ə n t 'a ɾ i s
compartits	k u m p ə r t 'i t s
comparseros	k u m p ə r s 'e ɾ u s
comparació	k u m p ə ɾ ə s i 'o
companyes	k u m p 'a ɲ ə s
comiat	k u m i 'a t
combinació	k u m b i n ə s i 'o
comarques	k u m 'a r k ə s
colpejar	k u l p ə ʒ 'a
cognom	k u g n 'ɔ m
client	k l i 'e n
cigarreta	s i ɣ ə r 'ɛ t ə
cercar	s ə r k 'a
centenar	s ə n t ə n 'a
cendra	s 'ɛ n d ɾ ə
celles	s 'ɛ ʎ ə s
celebra	s ə l 'e β ɾ ə
cavall	k ə β 'a ʎ
catifa	k ə t 'i f ə
caràcters	k ə ɾ 'a k t ə r s
carnet	k ə r n 'ɛ t
canviant	k ə m b i 'a n
caminant	k ə m i n 'a n
cambrer	k ə m b ɾ 'e
calaixera	k ə l ə ʃ 'e ɾ ə
caiguda	k ə j ɣ 'u ð ə
cadàvers	k ə ð 'a β ə r s
cadascuna	k ə ð ə s k 'u n ə
bàsquet	b 'a s k ə t
bàndols	b 'a n d u l s
burla	b 'u r l ə
buits	b 'u j t s
brogit	b ɾ u ʒ 'i t
boscos	b 'ɔ s k u s
bicis	b 'i s i s
bella	b 'e ʎ ə
begut	b ə ɣ 'u t
begudes	b ə ɣ 'u ð ə s
bateria	b ə t ə ɾ 'i ə
bars	b 'a r s
bancàries	b ə ŋ k 'a ɾ i ə s
baixi	b 'a ʃ i
baixen	b 'a ʃ ə n
avançar	ə β ə n s 'a
atents	ə t 'e n s
assignat	ə s i g n 'a t
assequibles	ə s ə k 'i b b l ə s
assenyalar	ə s ə ɲ ə l 'a
aparells	ə p ə ɾ 'ɛ ʎ s
aparcat	ə p ə r k 'a t
anònimes	ə n 'ɔ n i m ə s
antiga	ə n t 'i ɣ ə
anglès	ə ŋ g l 'ɛ s
analitzar	ə n ə l i d z 'a
amarat	ə m ə ɾ 'a t
amant	ə m 'a n
amanida	ə m ə n 'i ð ə
ales	'a l ə s
ajudes	ə ʒ 'u ð ə s
aigües	'a j ɣ w ə s
agulles	ə ɣ 'u ʎ ə s
agradaven	ə ɣ ɾ ə ð 'a β ə n
agradar	ə ɣ ɾ ə ð 'a
agafo	ə ɣ 'a f u
agafar-la	ə ɣ ə f 'a r l ə
agafant	ə ɣ ə f 'a n
aficionats	ə f i s i u n 'a t s
afectades	ə f ə k t 'a ð ə s
advocat	ə d b u k 'a t
adolescent	ə ð u l ə s 'e n
admetre	ə d m 'ɛ t ɾ ə
activar	ə k t i β 'a
acte	'a k t ə
acostumats	ə k u s t u m 'a t s
aconseguit	ə k u n s ə ɣ 'i t
aconsegueixen	ə k u n s ə ɣ 'ɛ ʃ ə n
acollir	ə k u ʎ 'i
acadèmic	ə k ə ð 'ɛ m i k
absoluta	ə p s u l 'u t ə
abandonats	ə β ə n d u n 'a t s
Xina	ʃ 'i n ə
Vés	b 'e s
Volen	b 'ɔ l ə n
Volem	b u l 'ɛ m
Ventura	b ə n t 'u ɾ ə
Vall	b 'a ʎ
Tunis	t 'u n i s
Tomàs	t u m 'a s
Tens	t 'e n s
Talgo	t 'a l ɣ u
Sota	s 'o t ə
Senyor	s ə ɲ 'o
Seguretat	s ə ɣ u ɾ ə t 'a t
Sebastià	s ə β ə s t i 'a
Santer	s ə n t 'e
Sabia	s ə β 'i ə
S'han	s 'a n
Robert	r u β 'ɛ r t
Quines	k 'i n ə s
Quim	k 'i m
Quantes	k w 'a n t ə s
Pujol	p u ʒ 'ɔ l
Preferències	p ɾ ə f ə ɾ 'ɛ n s i ə s
Poques	p 'ɔ k ə s
Pontevedra	p u n t ə β 'e ð ɾ ə
Peris	p 'ɛ ɾ i s
Pensàvem	p ə n s 'a β ə m
Pels	p 'ə l s
Partit	p ə r t 'i t
Municipal	m u n i s i p 'a l
Miro	m 'i ɾ u
Ministeri	m i n i s t 'ɛ ɾ i
Menjo	m 'e n ʒ u
L'únic	l 'u n i k
L'havien	l ə β 'i ə n
Intenta	i n t 'e n t ə
Industrial	i n d u s t ɾ i 'a l
Home	'ɔ m ə
Gràcia	g ɾ 'a s i ə
Fidel	f i ð 'ɛ l
Estimo	ə s t 'i m u
Estem	ə s t 'ɛ m
Espero	ə s p 'e ɾ u
Espanyola	ə s p ə ɲ 'ɔ l ə
Enric	ə n r 'i k
Dimarts	d i m 'a r s
Començo	k u m 'ɛ n s u
Centre	s 'e n t ɾ ə
Catalana	k ə t ə l 'a n ə
Cambra	k 'a m b ɾ ə
Bretanya	b ɾ ə t 'a ɲ ə
Brasil	b ɾ ə z 'i l
Aviat	ə β i 'a t
Arribo	ə r 'i β u
Agafo	ə ɣ 'a f u
útil	'u t i l
ígnia	'i g n i ə
és	'e s
àrabs	'a ɾ ə p s
àpat	'a p ə t
ànsies	'a n s i ə s
ànims	'a n i m s
ànimes	'a n i m ə s
àlies	'a l i ə s
Àvila	'a β i l ə
no	n 'o
Quina	k 'i n ə
Quan	k w 'a n
Podria	p u ð ɾ 'i ə
No	n 'o
xinès	ʃ i n 'ɛ s
xic	ʃ 'i k
vàlids	b 'a l i t s
vàlid	b 'a l i t
voluntat	b u l u n t 'a t
voluntaris	b u l u n t 'a ɾ i s
voltants	b u l t 'a n s
volent	b u l 'ɛ n
vitalitat	b i t ə l i t 'a t
visualitza	b i z u ə l 'i d z ə
vistes	b 'i s t ə s
visió	b i z i 'o
visibles	b i z 'i b b l ə s
virtuals	b i r t u 'a l s
vintè	b i n t 'ɛ
vinga	b 'i ŋ g ə
vinagre	b i n 'a ɣ ɾ ə
vila	b 'i l ə
vigor	b i ɣ 'o r
